Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Paige Prejean,UNC,VT,9.775,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.80,9.75
1,2,Neve King,UNC,VT,9.800,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.80,9.80
1,3,Gwen Fink,UNC,VT,9.825,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.80
1,4,Sydney Seabrooks,UNC,VT,9.825,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.85,9.80
1,5,JoJo Valahovic,UNC,VT,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.90
1,6,Kaya Forbes,UNC,VT,9.925,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.90,9.95
1,7,Anna Pearl Stanley,UNC,VT,9.750,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.80,9.70
1,1,Sarah Moraw,Minnesota,VT,9.775,,,,,,,3/6/2026,UNC vs Minnesota,9.95,9.95,9.75,9.80
1,2,Teryn Crump,Minnesota,VT,9.775,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.75,9.80
1,3,Sophia Nguyen,Minnesota,VT,9.750,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.70
1,4,Gianna Gerdes,Minnesota,VT,9.750,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.70
1,5,Arianna Ostrum,Minnesota,VT,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.85
1,6,Ava Stewart,Minnesota,VT,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.80
2,1,Claire Stippich,UNC,UB,9.750,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.75,9.75
2,2,Sydney Seabrooks,UNC,UB,9.825,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.85
2,3,Anna Pearl Stanley,UNC,UB,9.825,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.85
2,4,Paige Prejean,UNC,UB,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.85
2,5,Gwen Fink,UNC,UB,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.85
2,6,Camryn Rueda,UNC,UB,9.800,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.80
2,7,Amy Wozniak,UNC,UB,9.700,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.70,9.70
2,1,Gianna Gerdes,Minnesota,UB,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.90
2,2,Teryn Crump,Minnesota,UB,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.90
2,3,Arianna Ostrum,Minnesota,UB,9.825,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.85
2,4,Emma Slevin,Minnesota,UB,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.85
2,5,Lacie Saltzmann,Minnesota,UB,8.900,,,,,,Y,3/6/2026,UNC vs Minnesota,9.80,9.60,8.90,8.90
2,6,Jordyn Lyden,Minnesota,UB,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.90
2,7,Ava Stewart,Minnesota,UB,9.675,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.75,9.60
3,1,Sydney Seabrooks,UNC,BB,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.90
3,2,Claire Stippich,UNC,BB,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.95
3,3,Hannah Aoki,UNC,BB,9.800,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.80
3,4,Camryn Rueda,UNC,BB,9.800,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.80
3,5,Jessica Naranjo,UNC,BB,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.90
3,6,JoJo Valahovic,UNC,BB,9.950,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.95,9.95
3,7,Gwen Fink,UNC,BB,9.700,,,,,,Y,3/6/2026,UNC vs Minnesota,10.00,10.00,9.70,9.70
3,1,Arianna Ostrum,Minnesota,BB,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.85
3,2,Ava Stewart,Minnesota,BB,9.825,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.80
3,3,Sarah Moraw,Minnesota,BB,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.95
3,4,Brooklyn Rowray,Minnesota,BB,9.925,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.95
3,5,Lauren Pearl,Minnesota,BB,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.90
3,6,Jordyn Lyden,Minnesota,BB,9.925,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.95
3,7,Megan Steensland,Minnesota,BB,9.725,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.65,9.80
4,1,Jessica Naranjo,UNC,FX,9.850,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.85
4,2,Claire Stippich,UNC,FX,9.800,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.75,9.85
4,3,Hannah Aoki,UNC,FX,9.775,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.75
4,4,Kaya Forbes,UNC,FX,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.90
4,5,Sydney Seabrooks,UNC,FX,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.90
4,6,Camryn Rueda,UNC,FX,9.925,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.95,9.90
4,1,Megan Steensland,Minnesota,FX,9.775,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.80,9.75
4,2,Gianna Gerdes,Minnesota,FX,9.600,,,0.1,,,Y,3/6/2026,UNC vs Minnesota,10.00,10.00,9.75,9.65
4,3,Sophie Swartzmiller,Minnesota,FX,9.700,,,,,,,3/6/2026,UNC vs Minnesota,9.90,9.90,9.70,9.70
4,4,Leah Gonsiorowski,Minnesota,FX,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.90,9.85
4,5,Arianna Ostrum,Minnesota,FX,9.900,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.95,9.85
4,6,Jordyn Lyden,Minnesota,FX,9.875,,,,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.85,9.90
4,7,Brooklyn Rowray,Minnesota,FX,9.550,,,0.1,,,,3/6/2026,UNC vs Minnesota,10.00,10.00,9.65,9.65
