Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ashley Dalton,UWL,VT,9.675,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.75,9.60
1,2,Cobi Powell,UWL,VT,9.675,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.65,9.70
1,3,Sarah Pastore,UWL,VT,9.650,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.65,9.65
1,4,Ava Kaspryzcki,UWL,VT,9.700,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.70,9.70
1,5,Grace Kehr,UWL,VT,9.775,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.80,9.75
1,6,Paige Breckwoldt,UWL,VT,9.675,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.60,9.75
1,1,Haley Zampella,UW-Eau Claire,VT,9.550,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.75,9.75,9.55,9.55
1,2,Ava Obermoller,UW-Eau Claire,VT,9.300,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.35,9.25
1,3,Grace Gerster,UW-Eau Claire,VT,9.525,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.50,9.55
1,4,Cadence Cordova,UW-Eau Claire,VT,9.650,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.65,9.65
1,5,Abigail Berens,UW-Eau Claire,VT,9.525,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.55,9.50
1,6,Emily Leese,UW-Eau Claire,VT,9.550,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.65,9.45
1,1,Maliyah Pound,UW-Whitewater,VT,9.650,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.80,9.80,9.65,9.65
1,2,Danielle Dudziak,UW-Whitewater,VT,9.625,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.65,9.60
1,3,Elaine Copeland,UW-Whitewater,VT,9.675,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.70,9.65
1,4,Paige Magel,UW-Whitewater,VT,9.650,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.65,9.65
1,5,Siena Vavala,UW-Whitewater,VT,9.700,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.70,9.70
1,6,Sofia Spadafora,UW-Whitewater,VT,9.600,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.60,9.60
1,1,Amaya McConkay,UW-Oshkosh,VT,9.750,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.70,9.80
1,2,Kasha Muraski,UW-Oshkosh,VT,9.750,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.90,9.90,9.75,9.75
1,3,Averie Evans,UW-Oshkosh,VT,9.450,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.50,9.40
1,4,Kris Phillips,UW-Oshkosh,VT,9.775,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.80,9.75
1,5,Hannah Hughes,UW-Oshkosh,VT,9.650,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.65,9.65
1,6,Reanna McGibboney,UW-Oshkosh,VT,9.850,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,9.95,9.95,9.85,9.85
2,1,Ashlyn Barker,UWL,UB,9.675,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,10.00,10.00,9.65,9.70
2,2,Ava Sitek,UWL,UB,9.450,,,,,,,3/7/2026,WIAC Championship 2026 - Session #2,10.00,10.00,9.35,9.55
