Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Levi Jung-Ruivivar,Stanford,VT,9.750,,,,,,,3/7/2026,Stanford vs UCLA,9.95,9.95,9.75,9.75
1,2,Jaime Dugan,Stanford,VT,9.775,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.75,9.80
1,3,Summer Gronski,Stanford,VT,9.900,,,,,,,3/7/2026,Stanford vs UCLA,9.95,9.95,9.90,9.90
1,4,Ui Soma,Stanford,VT,9.800,,,,,,,3/7/2026,Stanford vs UCLA,9.95,9.95,9.80,9.80
1,5,Anna Roberts,Stanford,VT,9.800,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.75,9.85
1,6,Taralyn Nguyen,Stanford,VT,9.750,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.70,9.80
1,1,Tiana Sumanasekera,UCLA,VT,9.825,,,,,,,3/7/2026,Stanford vs UCLA,9.95,9.95,9.85,9.80
1,2,Madisyn Anyimi,UCLA,VT,9.800,,,,,,,3/7/2026,Stanford vs UCLA,9.95,9.95,9.75,9.85
1,3,Mika Webster-Longin,UCLA,VT,9.775,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.75,9.80
1,4,Riley Jenkins,UCLA,VT,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
1,5,Ashlee Sullivan,UCLA,VT,9.800,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.80
1,6,Jordan Chiles,UCLA,VT,9.925,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.95
1,7,Bronwyn Hoffman,UCLA,VT,9.200,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.20,9.20
2,1,Levi Jung-Ruivivar,Stanford,UB,9.925,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.95
2,2,Ava Sorrento,Stanford,UB,9.825,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.85
2,3,Sienna Robinson,Stanford,UB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
2,4,Anna Roberts,Stanford,UB,9.975,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.95,10.00
2,5,Ana Barbosu,Stanford,UB,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.90
2,6,Ui Soma,Stanford,UB,9.925,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.95,9.90
2,7,Jaime Dugan,Stanford,UB,9.850,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.85
2,8,Natalie Siljander,Stanford,UB,8.650,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,8.90,8.40
2,1,Ciena Alipio,UCLA,UB,9.800,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.80
2,2,Mika Webster-Longin,UCLA,UB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
2,3,Nola Matthews,UCLA,UB,9.950,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.95,9.95
2,4,Sydney Barros,UCLA,UB,9.825,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.85
2,5,Ashlee Sullivan,UCLA,UB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
2,6,Jordan Chiles,UCLA,UB,10.000,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,10.00,10.00
2,7,Madisyn Anyimi,UCLA,UB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
3,1,Claire Dean,Stanford,BB,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.90
3,2,Temple Landry,Stanford,BB,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.85
3,3,Sienna Robinson,Stanford,BB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
3,4,Jennifer Williams,Stanford,BB,9.575,,,,,,,3/7/2026,Stanford vs UCLA,10.00,9.80,9.65,9.50
3,5,Anna Roberts,Stanford,BB,9.850,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.85
3,6,Ana Barbosu,Stanford,BB,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
3,7,Levi Jung-Ruivivar,Stanford,BB,9.900,,,,,,Y,3/7/2026,Stanford vs UCLA,10.00,1.00,9.85,9.95
3,8,Porsche Trinidad,Stanford,BB,9.600,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.50,9.70
3,1,Ashlee Sullivan,UCLA,BB,9.725,,,,,Y,,3/7/2026,Stanford vs UCLA,9.80,10.00,9.65,9.80
3,2,Sydney Barros,UCLA,BB,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.90
3,3,Mika Webster-Longin,UCLA,BB,9.825,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.85
3,4,Tiana Sumanasekera,UCLA,BB,9.950,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,10.00
3,5,Jordan Chiles,UCLA,BB,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.85
3,6,Ciena Alipio,UCLA,BB,9.950,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.95,9.95
3,7,Jordis Eichman,UCLA,BB,9.825,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.80,9.85
4,1,Levi Jung-Ruivivar,Stanford,FX,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
4,2,Alana Walker,Stanford,FX,9.875,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.85
4,3,Sienna Robinson,Stanford,FX,9.800,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.85,9.75
4,4,Taralyn Nguyen,Stanford,FX,9.525,,,0.1,,,Y,3/7/2026,Stanford vs UCLA,10.00,10.00,9.70,9.55
4,5,Anna Roberts,Stanford,FX,9.925,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.95,9.90
4,6,Ana Barbosu,Stanford,FX,9.900,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.90
4,7,Claire Dean,Stanford,FX,9.850,,,,,,,3/7/2026,Stanford vs UCLA,10.00,10.00,9.90,9.80
