Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Garrett Alexander,Simpson: Simpson / Nebraska / Greenville,FX,13.100,4.2,8.900,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.2,1.2,1.0
1,2,Noah Doiron,Simpson: Simpson / Nebraska / Greenville,FX,12.950,4.4,8.550,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,1.6,1.3
1,3,Braxton Jones,Simpson: Simpson / Nebraska / Greenville,FX,13.000,4.7,8.400,0.1,,,,3/7/2026,Simpson / Greenville / Nebraska,4.7,1.5,1.7
1,4,Christopher Duane,Simpson: Simpson / Nebraska / Greenville,FX,12.550,4.5,8.350,0.3,,,,3/7/2026,Simpson / Greenville / Nebraska,4.5,1.7,1.6
1,1,Beau Bice,Greenville: Simpson / Nebraska / Greenville,FX,12.100,4.6,7.500,,,,Y,3/7/2026,Simpson / Greenville / Nebraska,4.6,2.3,2.7
1,2,Andrew Ricard,Greenville: Simpson / Nebraska / Greenville,FX,13.150,4.7,8.550,0.1,,,,3/7/2026,Simpson / Greenville / Nebraska,4.7,1.4,1.5
1,3,Rylan Richards,Greenville: Simpson / Nebraska / Greenville,FX,12.950,4.5,8.750,0.3,,,,3/7/2026,Simpson / Greenville / Nebraska,4.5,1.4,1.1
1,4,Zach Connelly,Greenville: Simpson / Nebraska / Greenville,FX,12.200,5.0,7.400,0.2,,,,3/7/2026,Simpson / Greenville / Nebraska,5.0,2.7,2.5
1,5,Ryan Barela,Greenville: Simpson / Nebraska / Greenville,FX,12.400,4.1,8.300,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.1,1.9,1.5
1,1,Ethan Cox,Nebraska: Simpson / Nebraska / Greenville,FX,13.550,4.7,8.750,,0.1,,,3/7/2026,Simpson / Greenville / Nebraska,4.7,1.1,1.4
1,2,Sam Rakita,Nebraska: Simpson / Nebraska / Greenville,FX,13.350,4.9,8.750,0.3,,,,3/7/2026,Simpson / Greenville / Nebraska,4.9,1.3,1.2
1,3,Chase Mondi,Nebraska: Simpson / Nebraska / Greenville,FX,13.650,5.3,8.350,,,,,3/7/2026,Simpson / Greenville / Nebraska,5.3,1.6,1.7
1,4,Luke James,Nebraska: Simpson / Nebraska / Greenville,FX,13.300,5.0,8.300,,,,,3/7/2026,Simpson / Greenville / Nebraska,5.0,1.7,1.7
2,1,Brennan Voss,Simpson: Simpson / Nebraska / Greenville,PH,12.350,3.9,8.450,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.9,1.6,1.5
2,2,Milo Staley,Simpson: Simpson / Nebraska / Greenville,PH,12.600,4.1,8.500,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.1,1.4,1.6
2,3,Jake Sweeten,Simpson: Simpson / Nebraska / Greenville,PH,11.700,3.7,8.000,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.7,1.9,2.1
2,4,Garrett Alexander,Simpson: Simpson / Nebraska / Greenville,PH,12.500,4.2,8.300,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.2,1.7,1.7
2,5,Noah Doiron,Simpson: Simpson / Nebraska / Greenville,PH,11.500,3.4,8.100,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.4,1.9,1.9
2,1,Henry Silva,Greenville: Simpson / Nebraska / Greenville,PH,11.850,4.4,7.450,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,2.4,2.7
2,2,Ian Laughlin,Greenville: Simpson / Nebraska / Greenville,PH,11.250,4.4,6.850,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,3.2,3.1
2,3,Major Bain,Greenville: Simpson / Nebraska / Greenville,PH,12.750,4.1,8.650,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.1,1.4,1.3
2,4,Koby Cantu,Greenville: Simpson / Nebraska / Greenville,PH,11.800,4.4,7.400,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,2.5,2.7
2,5,Ryan Barela,Greenville: Simpson / Nebraska / Greenville,PH,11.000,3.7,7.300,,,,,3/7/2026,Simpson / Greenville / Nebraska,3.7,2.8,2.6
2,1,Wyatt Reynolds,Nebraska: Simpson / Nebraska / Greenville,PH,13.350,4.6,8.750,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.6,1.2,1.3
2,2,Ethan Cox,Nebraska: Simpson / Nebraska / Greenville,PH,12.300,4.4,7.900,,,,,3/7/2026,Simpson / Greenville / Nebraska,4.4,2.2,2.0
