Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Camie Winger,Utah,VT,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.85
1,2,Ella Zirbes,Utah,VT,9.925,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.95,9.90
1,3,Zoe Johnson,Utah,VT,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
1,4,Makenna Smith,Utah,VT,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
1,5,Ashley Glynn,Utah,VT,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
1,6,Avery Neff,Utah,VT,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
1,7,Poppy-Grace Stickler,Utah,VT,9.675,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.70,9.65
1,1,Emerson Smith,WVU,VT,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.80,9.65
1,2,Kayla Smith,WVU,VT,9.825,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.85,9.80
1,3,Carlee Nelson,WVU,VT,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.80,9.80
1,4,Taylor Tuohy,WVU,VT,9.700,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.70,9.70
1,5,Karleigh DiCello,WVU,VT,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.70,9.75
1,6,Sophia Rice,WVU,VT,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.85
1,7,Amber Lowe,WVU,VT,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.80,9.70
1,1,Daisy Stephenson,BYU,VT,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.75,9.75
1,2,Mya Kirkham,BYU,VT,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.85,9.75
1,3,Scarlett Sonnenberg,BYU,VT,9.825,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.85
1,4,Deb Silva,BYU,VT,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.75,9.70
1,5,Ava Jorgensen,BYU,VT,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.80
1,6,Kylie Eaquinto,BYU,VT,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.85,9.85
1,7,Zoe Hale,BYU,VT,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,9.95,9.95,9.75,9.70
2,1,Makenna Smith,Utah,UB,9.925,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.95,9.90
2,2,Ashley Glynn,Utah,UB,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
2,3,Abbi Ryssman,Utah,UB,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.90
2,4,Ella Zirbes,Utah,UB,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
2,5,Ana Padurariu,Utah,UB,9.975,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,10.00,9.95
2,6,Avery Neff,Utah,UB,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.80
2,7,Clara Raposo,Utah,UB,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.75
2,1,Kaelyn Skeel,WVU,UB,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.70
2,2,Kayla Smith,WVU,UB,9.675,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.70,9.65
2,3,Haley Mendoza,WVU,UB,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.65,9.80
2,4,Amber Lowe,WVU,UB,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.70
2,5,Jayden McDonnell,WVU,UB,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.70
2,6,Jurnee Lane,WVU,UB,9.775,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.75
2,7,Miranda Smith,WVU,UB,9.650,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.70,9.60
2,1,Mya Kirkham,BYU,UB,9.775,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.80
2,2,Addilyn Glazier,BYU,UB,9.775,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.75
2,3,Deb Silva,BYU,UB,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
2,4,Kylie Eaquinto,BYU,UB,9.825,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.80
2,5,Ava Jorgensen,BYU,UB,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
2,6,Alilah Alvarado,BYU,UB,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.85
2,7,Kauri Hunsaker,BYU,UB,9.625,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.65,9.60
3,1,Elizabeth Gantner,Utah,BB,9.725,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.70,9.75
3,2,Ella Zirbes,Utah,BB,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.75
3,3,Abbi Ryssman,Utah,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.90
3,4,Ana Padurariu,Utah,BB,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.75
3,5,Avery Neff,Utah,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.85
3,6,Camie Winger,Utah,BB,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
3,7,Sarah Krump,Utah,BB,9.825,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.85
3,8,Ashley Glynn,Utah,BB,9.825,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.85
3,1,Kayla Smith,WVU,BB,9.700,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.65
3,2,Amber Lowe,WVU,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.90
3,3,Haley Mendoza,WVU,BB,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.80
3,4,Miranda Smith,WVU,BB,9.700,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.70,9.70
3,5,Jurnee Lane,WVU,BB,9.650,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.65,9.65
3,6,Auden Pederson,WVU,BB,9.700,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.65,9.75
3,1,Scarlett Sonnenberg,BYU,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.90
3,2,Ava Jorgensen,BYU,BB,8.900,,,,,,,3/7/2026,Utah / WVU / BYU,9.70,9.70,8.90,8.90
3,3,Alilah Alvarado,BYU,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.90
3,4,Kylie Eaquinto,BYU,BB,9.800,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.80
3,5,Brynlee Andersen-Broekman,BYU,BB,9.875,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.85
3,6,Chloee Hoke,BYU,BB,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
3,7,Deb Silva,BYU,BB,9.675,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.70,9.65
4,1,Sarah Krump,Utah,FX,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
4,2,Zoe Johnson,Utah,FX,9.775,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.80,9.75
4,3,Avery Neff,Utah,FX,9.850,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.85,9.85
4,4,Ella Zirbes,Utah,FX,9.925,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.95
4,5,Makenna Smith,Utah,FX,9.975,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.95,10.00
4,6,Sage Curtis,Utah,FX,9.900,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.90,9.90
4,7,Poppy-Grace Stickler,Utah,FX,8.625,,,0.1,,,,3/7/2026,Utah / WVU / BYU,9.10,9.10,8.75,8.70
4,1,Carlee Nelson,WVU,FX,9.750,,,,,,,3/7/2026,Utah / WVU / BYU,10.00,10.00,9.75,9.75
