Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Mikayla Clements,Wilberforce,VT,8.150,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.60,9.60,8.10,8.20
1,2,Mackenzie Butler,Wilberforce,VT,8.550,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.60,9.60,8.30,8.80
1,3,Promise Jean-Marie,Wilberforce,VT,9.300,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.60,9.75,9.20,9.40
1,4,Kaleigh Garner,Wilberforce,VT,9.200,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.75,9.75,9.35,9.05
1,5,Mya Caines,Wilberforce,VT,9.375,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.75,9.75,9.45,9.30
1,6,Sydney Smith,Wilberforce,VT,9.425,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.75,9.75,9.50,9.35
1,7,Sadara Mayhorn,Wilberforce,VT,9.375,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.75,9.75,9.30,9.45
1,1,Kennedi Johnson,Fisk,VT,9.475,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.45,9.50
1,2,Zyia Coleman,Fisk,VT,9.425,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.75,9.75,9.45,9.40
1,3,Hadassah Diggs,Fisk,VT,9.625,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.60,9.65
1,4,Ciniah Rosby,Fisk,VT,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.65,9.65
1,5,Aliyah Reed-Hammon,Fisk,VT,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.70,9.60
1,6,Allie Berkley,Fisk,VT,9.675,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.70,9.65
1,1,Sally Wood,William & Mary,VT,9.700,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.75,9.65
1,2,Melissa Gao,William & Mary,VT,9.725,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.80,9.65
1,3,Catherine Bare,William & Mary,VT,9.675,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.70,9.65
1,4,Sophia Summers,William & Mary,VT,9.625,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.65,9.60
1,5,Hannah Burke,William & Mary,VT,9.775,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.80,9.75
1,6,McKenna Mullins,William & Mary,VT,9.750,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.95,9.95,9.80,9.70
2,1,Mya Caines,Wilberforce,UB,8.725,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.50,9.50,8.60,8.85
2,2,Promise Jean-Marie,Wilberforce,UB,8.550,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.50,9.50,8.60,8.50
2,3,Saniah Smith,Wilberforce,UB,9.250,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,9.70,9.20,9.30
2,4,Madison Kelly,Wilberforce,UB,9.450,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,9.90,9.40,9.50
2,5,Sydney Smith,Wilberforce,UB,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.60,9.70
2,1,Kennedi Johnson,Fisk,UB,7.750,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.50,9.60,7.50,8.00
2,2,Zyia Coleman,Fisk,UB,9.550,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.60,9.50
2,3,Ciniah Rosby,Fisk,UB,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.65,9.65
2,4,Aiyana Thomas,Fisk,UB,9.375,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,9.70,9.50,9.25
2,5,Sophia Pratt,Fisk,UB,8.800,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.40,9.40,9.00,8.60
2,6,Hadassah Diggs,Fisk,UB,9.050,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,9.80,9.00,9.10
2,1,Ascha Laird,William & Mary,UB,9.500,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.40,9.60
2,2,Kate Peebles,William & Mary,UB,9.050,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.10,9.00
2,3,Melissa Gao,William & Mary,UB,9.550,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.50,9.60
2,4,Michelle Ngo,William & Mary,UB,9.450,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.40,9.50
2,5,Catherine Bare,William & Mary,UB,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.60,9.70
2,6,Brynn Vetrano,William & Mary,UB,9.375,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,9.90,9.30,9.45
2,7,Melanie Faulkner,William & Mary,UB,9.500,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.50,9.50
3,1,Mackenzie Butler,Wilberforce,BB,9.525,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.50,9.55
3,2,Sydney Smith,Wilberforce,BB,9.200,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.10,9.30
3,3,Kaleigh Garner,Wilberforce,BB,9.125,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.80,9.00,9.25
3,4,Madison Kelly,Wilberforce,BB,9.475,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.55,9.40
3,5,Promise Jean-Marie,Wilberforce,BB,7.900,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.50,9.50,7.80,8.00
3,6,Saniah Smith,Wilberforce,BB,9.600,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,10.00,9.60,9.60
3,7,Sadara Mayhorn,Wilberforce,BB,8.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.60,9.80,8.50,8.80
3,1,Aliyah Reed-Hammon,Fisk,BB,9.775,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.70,9.85
3,2,Hadassah Diggs,Fisk,BB,9.550,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,9.90,10.00,9.50,9.60
3,3,Kennedi Johnson,Fisk,BB,8.050,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.60,9.60,8.00,8.10
3,4,Ciniah Rosby,Fisk,BB,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,10.00,9.60,9.70
3,5,Sophia Pratt,Fisk,BB,9.500,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.50,9.50
3,6,Allie Berkley,Fisk,BB,9.075,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,9.80,9.05,9.10
3,1,Summer Penzi,William & Mary,BB,8.975,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.00,8.95
3,2,Madeline Frazier,William & Mary,BB,9.350,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.35,9.35
3,3,Jasmine Hou,William & Mary,BB,9.700,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.70,9.70
3,4,Sophia Summers,William & Mary,BB,9.750,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.70,9.80
3,5,Melanie Faulkner,William & Mary,BB,9.025,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.90,9.90,9.00,9.05
3,6,Ashley Ruedy,William & Mary,BB,8.625,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.70,9.50,8.80,8.45
3,7,Sally Wood,William & Mary,BB,9.500,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.40,9.60
4,1,Kaleigh Garner,Wilberforce,FX,9.175,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.50,9.90,9.05,9.30
4,2,Promise Jean-Marie,Wilberforce,FX,9.500,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,9.80,9.50,9.50
4,3,Mya Caines,Wilberforce,FX,8.825,,,,,,,3/8/2026,Isla HBCU Classic 2026,9.80,9.80,8.80,8.85
4,4,Madison Kelly,Wilberforce,FX,9.525,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.50,9.55
4,5,Saniah Smith,Wilberforce,FX,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.70,9.60
4,6,Diamond Cook,Wilberforce,FX,9.825,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.85,9.80
4,1,Kennedi Johnson,Fisk,FX,9.725,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.80,9.65
4,2,Aliyah Reed-Hammon,Fisk,FX,9.800,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.75,9.85
4,3,Liberty Mora,Fisk,FX,9.650,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.65,9.65
4,4,Allie Berkley,Fisk,FX,9.625,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.55,9.70
4,5,Ciniah Rosby,Fisk,FX,9.675,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.75,9.60
4,6,Zyia Coleman,Fisk,FX,9.450,,,,,,Y,3/8/2026,Isla HBCU Classic 2026,9.70,9.70,9.45,9.45
4,1,Sophia Summers,William & Mary,FX,9.650,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.60,9.70
4,2,Michelle Ngo,William & Mary,FX,9.700,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.80,9.60
4,3,Sally Wood,William & Mary,FX,9.775,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.80,9.75
4,4,Ashley Ruedy,William & Mary,FX,9.875,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.90,9.85
4,5,Hannah Burke,William & Mary,FX,9.900,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.90,9.90
4,6,Summer Penzi,William & Mary,FX,9.525,,,0.1,,,,3/8/2026,Isla HBCU Classic 2026,10.00,10.00,9.60,9.65
4,7,Brynn Vetrano,William & Mary,FX,9.550,,,,,,,3/8/2026,Isla HBCU Classic 2026,10.00,9.80,9.65,9.45
