Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Amanda Hargraves,Denver,VT,9.725,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.75,9.70
1,2,Sevana Kasparian,Denver,VT,9.525,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.50,9.55
1,3,Maddison Reidenbach,Denver,VT,9.850,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.85,9.85
1,4,Addie Hewitt,Denver,VT,9.825,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.85,9.80
1,5,Mila Brusch,Denver,VT,9.900,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.90,9.90
1,6,Shyla Bhatia,Denver,VT,9.975,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,10.00,9.95
1,7,Cecilia Cooley,Denver,VT,9.725,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.75,9.70
1,1,Caroline Walker,Air Force,VT,9.775,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.75
1,2,Rosa Juarez Baez,Air Force,VT,9.575,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.50,9.65
1,3,Kylee Greene,Air Force,VT,9.750,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.80,9.70
1,4,Olivia Raife,Air Force,VT,9.725,,,,,,,3/9/2026,Denver vs Air Force,9.95,9.95,9.70,9.75
1,5,Maggie Slife,Air Force,VT,9.925,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.95,9.90
1,6,Alyssa Bigler,Air Force,VT,9.850,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.85
2,1,Kaitlynd Kastl,Denver,UB,9.725,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.65,9.80
2,2,Maddison Reidenbach,Denver,UB,9.800,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.80
2,3,Kiley Rorich,Denver,UB,9.950,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.95,9.95
2,4,Shyla Bhatia,Denver,UB,9.775,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.70,9.85
2,5,Mila Brusch,Denver,UB,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.95,9.85
2,6,Cecilia Cooley,Denver,UB,9.925,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.95
2,7,Sevana Kasparian,Denver,UB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.85
2,8,Abby Steeley,Denver,UB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.80
2,1,Chelsea Boyer,Air Force,UB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.80
2,2,Gabriella Hartley,Air Force,UB,9.550,,,,,Y,Y,3/9/2026,Denver vs Air Force,10.00,10.00,9.60,9.50
2,3,Anna Kristianson,Air Force,UB,9.775,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.70,9.85
2,4,Alyssa Bigler,Air Force,UB,9.150,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.10,9.20
2,5,Kylee Greene,Air Force,UB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.80
2,6,Maggie Slife,Air Force,UB,9.850,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.85
2,7,Erin McDermott,Air Force,UB,8.975,,,,,,,3/9/2026,Denver vs Air Force,9.80,9.80,8.95,9.00
3,1,Megan Aamold,Denver,BB,9.800,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.75,9.85
3,2,Terra Rutter,Denver,BB,9.475,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.45,9.50
3,3,Ashley Gallen,Denver,BB,9.800,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.80
3,4,Maddison Reidenbach,Denver,BB,8.975,,,,,,,3/9/2026,Denver vs Air Force,9.70,9.70,8.95,9.00
3,5,Amanda Hargraves,Denver,BB,9.875,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.85
3,6,Cecilia Cooley,Denver,BB,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.95
3,7,Abby Steeley,Denver,BB,9.850,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.90
3,8,Kaitlynd Kastl,Denver,BB,9.750,,,,,,,3/9/2026,Denver vs Air Force,9.90,10.00,9.70,9.80
3,1,Erin McDermott,Air Force,BB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.85
3,2,Gabriella Hartley,Air Force,BB,9.750,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.70,9.80
3,3,Anna Bacott,Air Force,BB,9.725,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.65
3,4,Alyssa Bigler,Air Force,BB,9.700,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.60,9.80
3,5,Maggie Slife,Air Force,BB,9.825,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.80,9.85
3,6,Kylee Greene,Air Force,BB,9.650,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.70,9.60
3,7,Rosa Juarez Baez,Air Force,BB,8.800,,,,,,,3/9/2026,Denver vs Air Force,9.70,9.70,8.85,8.75
4,1,Ashley Gallen,Denver,FX,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.95,9.85
4,2,Amanda Hargraves,Denver,FX,9.950,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.95,9.95
4,3,Kiley Rorich,Denver,FX,9.850,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.80
4,4,Shyla Bhatia,Denver,FX,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.95
4,5,Maddison Reidenbach,Denver,FX,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.90
4,6,Cecilia Cooley,Denver,FX,9.950,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,10.00
4,7,Addie Hewitt,Denver,FX,9.850,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.85
4,1,Anna Bacott,Air Force,FX,9.775,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.70,9.85
4,2,Erin McDermott,Air Force,FX,9.800,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.85,9.75
4,3,Rosa Juarez Baez,Air Force,FX,9.750,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.75,9.75
4,4,Kylee Greene,Air Force,FX,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.90
4,5,Maggie Slife,Air Force,FX,9.875,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.85
4,6,Alyssa Bigler,Air Force,FX,9.900,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.90,9.90
4,7,Anna Kristianson,Air Force,FX,8.500,,,,,,,3/9/2026,Denver vs Air Force,9.70,9.80,8.50,8.50
4,8,Elizabeth Lassila,Air Force,FX,9.725,,,,,,,3/9/2026,Denver vs Air Force,10.00,10.00,9.75,9.70
