Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Elizabeth LaRusso,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.80,9.75
1,2,Sophie Derr,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.550,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.55,9.55
1,3,Ainsley Greever,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.85,9.85
1,4,Abigayle Martin,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.675,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.70,9.65
1,5,Jessa Janicke,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.725,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.70,9.75
1,6,Tirzah Wise,Arizona: Arizona / TWU / Ohio State / SEMO,VT,9.650,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.70,9.60
1,1,Kaitlyn Grimes,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.75,9.65
1,2,Jaylyn Pomager,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.900,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.90,9.90
1,3,Cameron Smith,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.825,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.80
1,4,Natalie Martin,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.70,9.70
1,5,Tory Vetter,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.80,9.90
1,6,JJ Coleman,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.90,9.80
1,7,Mary Green,Ohio State: Arizona / TWU / Ohio State / SEMO,VT,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.75,9.75
1,1,Alaina Reid,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.650,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.65,9.65
1,2,Jordan Loock,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.65
1,3,Juliaunna Baker,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.75,9.75
1,4,Maddy Murphy,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.65
1,5,Kyleigh Ghanbari,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.675,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.65,9.70
1,6,Sophia Isbell,TWU: Arizona / TWU / Ohio State / SEMO,VT,9.800,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.85
1,1,Kailyn Hamilton,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.90,9.90,9.65,9.75
1,2,Ailey Kuehn,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.625,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.65,9.60
1,3,Nyah Reader,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.675,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.65,9.70
1,4,Joselene Hernandez,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.75,9.75
1,5,Jaidan Kossuth,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.800,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.80,9.80
1,6,Taylor Ingle,SEMO: Arizona / TWU / Ohio State / SEMO,VT,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.95,9.95,9.80,9.75
2,1,Hillary Puleo,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.75
2,2,Sadie Smith,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.85
2,3,Delaney Mead,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.90
2,4,Abigayle Martin,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.800,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.80,9.80
2,5,Sophie Derr,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.90
2,6,Aubrey Krohnfeldt,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.90
2,7,Sophia Maisel,Arizona: Arizona / TWU / Ohio State / SEMO,UB,9.600,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.70,9.50
2,1,Jaylyn Pomager,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.80,9.75
2,2,Sadie Jane Berry,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.85
2,3,Maisyn Rader,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.90
2,4,Tory Vetter,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.90,9.85
2,5,Ava Jackson,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.70
2,6,JJ Coleman,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.80
2,7,Samara Buchanan,Ohio State: Arizona / TWU / Ohio State / SEMO,UB,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.75
2,1,Jordan Loock,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.80
2,2,Kami Zarlengo,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.650,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.65,9.65
2,3,Sofia Steffan,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.625,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.65,9.60
2,4,Alaina Reid,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.725,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.70
2,5,Caroline Bowns,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.90
2,6,Brooke Ferrari,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.250,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.25,9.25
2,7,Juliaunna Baker,TWU: Arizona / TWU / Ohio State / SEMO,UB,9.625,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.60,9.65
2,1,Joselene Hernandez,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.625,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.65,9.60
2,2,Amelia May,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.125,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.90,9.90,9.15,9.10
2,3,Kailyn Hamilton,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.500,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.55,9.45
2,4,Gracie Jones,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.575,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.65,9.50
2,5,Ava Johnston,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.650,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.60,9.70
2,6,Taylor Ingle,SEMO: Arizona / TWU / Ohio State / SEMO,UB,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.65,9.85
3,1,Gianna Lenczner,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.800,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.75
3,2,Aubrey Krohnfeldt,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.825,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.80
3,3,Jessa Janicke,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.90,9.85
3,4,Sophie Derr,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.80,9.75
3,5,Tirzah Wise,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.800,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.80,9.80
3,6,Abigayle Martin,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.90,9.85
3,7,Sophia Stephens,Arizona: Arizona / TWU / Ohio State / SEMO,BB,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.70,9.70
3,1,Rylee Guevara,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.80
3,2,Ava Jackson,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.875,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.90,9.85
3,3,Cameron Smith,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.825,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.80,9.85
3,4,Natalie Martin,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.600,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.60,9.60
3,5,Tory Vetter,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.925,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.90,9.95
3,6,Courtney McCann,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,8.950,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.60,9.60,9.00,8.90
3,7,Grace Walker,Ohio State: Arizona / TWU / Ohio State / SEMO,BB,9.700,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.90,10.00,9.65,9.75
3,1,Sophie Hernandez,TWU: Arizona / TWU / Ohio State / SEMO,BB,8.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,8.75,8.80
3,2,Alaina Reid,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.575,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.55,9.60
3,3,Sofia Steffan,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.750,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.75
3,4,Caroline Bowns,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.625,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.90,10.00,9.60,9.65
3,5,Ruby Goad,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.825,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.80
3,6,Sophia Isbell,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.650,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.70,9.60
3,7,Kylie Minard,TWU: Arizona / TWU / Ohio State / SEMO,BB,9.150,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,9.90,9.90,9.20,9.10
3,1,Nyah Reader,SEMO: Arizona / TWU / Ohio State / SEMO,BB,9.850,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.85,9.85
3,2,Kennedy Fisher,SEMO: Arizona / TWU / Ohio State / SEMO,BB,9.775,,,,,,,3/13/2026,Arizona / Ohio State / TWU / SEMO,10.00,10.00,9.75,9.80
