Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jasmine Cawley,Alabama,VT,9.775,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.75,9.80
1,2,Jamison Sears,Alabama,VT,9.900,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.90
1,3,McKenzie Matters,Alabama,VT,9.750,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.75,9.75
1,4,Gabby Gladieux,Alabama,VT,9.800,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.75,9.85
1,5,Jordyn Paradise,Alabama,VT,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.85
1,6,Azaraya Ra-Akbar,Alabama,VT,9.350,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.30,9.40
1,7,Chloe LaCoursiere,Alabama,VT,9.775,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.75,9.80
1,1,Ja' Free Scott,Georgia,VT,9.875,,,,,,,3/13/2026,Alabama vs Georgia,9.95,10.00,9.90,9.85
1,2,Brooke Pierson,Georgia,VT,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.80,9.90
1,3,Avery Moll,Georgia,VT,9.925,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.95
1,4,Nyla Aquino,Georgia,VT,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.90
1,5,CaMarah Williams,Georgia,VT,9.925,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.95,9.90
1,6,Ady Wahl,Georgia,VT,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.90
2,1,Paityn Walker,Alabama,UB,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.85
2,2,Gabby Gladieux,Alabama,UB,9.950,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.95,9.95
2,3,Natalia Pawlak,Alabama,UB,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.85
2,4,Ryan Fuller,Alabama,UB,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.90
2,5,Chloe LaCoursiere,Alabama,UB,9.950,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.95,9.95
2,6,Azaraya Ra-Akbar,Alabama,UB,9.950,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.95,9.95
2,7,Jordyn Paradise,Alabama,UB,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.90
2,1,Csenge Bacskay,Georgia,UB,9.750,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.70,9.80
2,2,Ady Wahl,Georgia,UB,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.85
2,3,Brooke Pierson,Georgia,UB,9.825,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.80
2,4,Kelise Woolford,Georgia,UB,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.85
2,5,Ja' Free Scott,Georgia,UB,9.900,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.90
2,6,Autumn Reingold,Georgia,UB,9.950,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.95,9.95
3,1,Rachel Rybicki,Alabama,BB,9.625,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.65,9.60
3,2,Love Birt,Alabama,BB,9.825,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.80
3,3,Gabby Gladieux,Alabama,BB,9.650,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.70,9.60
3,4,Chloe LaCoursiere,Alabama,BB,9.900,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.90
3,5,Kylee Kvamme,Alabama,BB,9.850,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.85
3,6,Ryan Fuller,Alabama,BB,9.875,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.90,9.85
3,7,Jasmine Cawley,Alabama,BB,9.125,,,,,,,3/13/2026,Alabama vs Georgia,9.80,9.80,9.20,9.05
3,1,Brooke Gleichowski,Georgia,BB,9.825,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.80,9.85
3,2,Harley Tomlin,Georgia,BB,9.825,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.80,9.85
3,3,Kelise Woolford,Georgia,BB,9.800,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.80,9.80
3,4,Jaydah Battle,Georgia,BB,9.825,,,,,,,3/13/2026,Alabama vs Georgia,10.00,10.00,9.85,9.80
3,5,CaMarah Williams,Georgia,BB,9.325,,,,,,Y,3/13/2026,Alabama vs Georgia,10.00,10.00,9.30,9.35
