Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jenna Germond,CMU,VT,9.775,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.75,9.80
1,2,Alexandra Reddick,CMU,VT,9.775,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.80,9.75
1,3,Luciana Alvarado-Reid,CMU,VT,9.850,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.85,9.85
1,4,Avah Bootz,CMU,VT,9.675,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.75,9.60
1,5,Ava Wellmeier,CMU,VT,9.750,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.70,9.80
1,6,Lia Kmieciak,CMU,VT,9.825,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.80,9.85
1,7,Paige Hasling,CMU,VT,9.700,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.70,9.70
1,1,Jordanna Phillis,Ball State,VT,9.675,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.60,9.75
1,2,Karli Mercer,Ball State,VT,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.75
1,3,Ava Thurston,Ball State,VT,9.775,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.80,9.75
1,4,Mary Rose Bellan,Ball State,VT,9.650,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.65,9.65
1,5,Zoe Middleton,Ball State,VT,9.800,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.80,9.80
1,6,Carley Stalder,Ball State,VT,9.650,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.65,9.65
1,7,Kinlee Bare,Ball State,VT,9.650,,,,,,,3/13/2026,CMU vs Ball State,9.95,9.95,9.75,9.55
2,1,Samantha Shannon,CMU,UB,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.75
2,2,Ava Wellmeier,CMU,UB,9.650,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.65,9.65
2,3,Gabrielle Johnson,CMU,UB,9.750,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.80
2,4,Kaitlyn Schwab,CMU,UB,9.850,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.90
2,5,Luciana Alvarado-Reid,CMU,UB,9.850,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.90
2,6,Lia Kmieciak,CMU,UB,9.875,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.90,9.85
2,7,Maylee Wendle,CMU,UB,9.575,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.55,9.60
2,1,Ava Molina,Ball State,UB,9.750,,,,,,Y,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.80
2,2,Delaney McMahon,Ball State,UB,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.70
2,3,Karli Mercer,Ball State,UB,9.700,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.70
2,4,Zoe Middleton,Ball State,UB,9.750,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.70
2,5,Mary Rose Bellan,Ball State,UB,9.775,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.80
2,6,Ashley Szymanski,Ball State,UB,9.825,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.80
2,7,Jordanna Phillis,Ball State,UB,9.600,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.65,9.55
2,8,Viviana Campuzano,Ball State,UB,9.625,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.60,9.65
3,1,Jenna Germond,CMU,BB,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.70
3,2,Avah Bootz,CMU,BB,9.750,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.80
3,3,Gabrielle Johnson,CMU,BB,9.775,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.85
3,4,Zoë Zimmerman,CMU,BB,9.700,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.60
3,5,Zoie Pelfrey,CMU,BB,9.650,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.60
3,6,Luciana Alvarado-Reid,CMU,BB,9.700,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.70
3,7,Samantha Shannon,CMU,BB,9.675,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.60,9.75
3,8,Ashlyn Richards,CMU,BB,9.675,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.65
3,1,Karli Mercer,Ball State,BB,9.800,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.75
3,2,Carley Stalder,Ball State,BB,9.825,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.85
3,3,Lindsay Fuller,Ball State,BB,9.700,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.65
3,4,Zoe Middleton,Ball State,BB,9.600,,,,,,,3/13/2026,CMU vs Ball State,10.00,9.90,9.50,9.70
3,5,Delaney McMahon,Ball State,BB,9.650,,,,,,,3/13/2026,CMU vs Ball State,9.90,9.90,9.70,9.60
3,6,Ashley Szymanski,Ball State,BB,9.850,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.85
3,7,Ava Molina,Ball State,BB,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.70
4,1,Jenna Germond,CMU,FX,9.875,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.90
4,2,Heather Parker,CMU,FX,9.925,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.90,9.95
4,3,Avah Bootz,CMU,FX,9.850,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.85
4,4,Zoë Zimmerman,CMU,FX,9.875,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.90,9.85
4,5,Ava Wellmeier,CMU,FX,9.875,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.90
4,6,Luciana Alvarado-Reid,CMU,FX,9.875,,,,,,Y,3/13/2026,CMU vs Ball State,10.00,10.00,9.90,9.85
4,7,Abby Izaks,CMU,FX,9.825,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.85,9.80
4,1,Viviana Campuzano,Ball State,FX,9.800,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.80
4,2,Avery Kantor,Ball State,FX,9.725,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.70,9.75
4,3,Alauna Simms,Ball State,FX,9.625,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.65,9.60
4,4,Carley Stalder,Ball State,FX,9.725,,,,,,Y,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.70
4,5,Ava Molina,Ball State,FX,9.800,,,,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.80,9.80
4,6,Zoe Middleton,Ball State,FX,9.700,,,0.1,,,,3/13/2026,CMU vs Ball State,10.00,10.00,9.75,9.85
4,7,Ava Thurston,Ball State,FX,9.000,,,,,,,3/13/2026,CMU vs Ball State,9.80,9.80,9.00,9.00
