Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Paige Prejean,UNC,VT,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.75
1,2,Neve King,UNC,VT,9.750,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.70,9.80
1,3,Gwen Fink,UNC,VT,9.875,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.90,9.85
1,4,Sydney Seabrooks,UNC,VT,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.85,9.85
1,5,JoJo Valahovic,UNC,VT,9.875,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.90,9.85
1,6,Kaya Forbes,UNC,VT,9.900,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.90,9.90
1,7,Anna Pearl Stanley,UNC,VT,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.75
1,1,Karys Griffin,Nebraska,VT,9.725,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.75,9.70
1,2,Molly Peterson,Nebraska,VT,9.700,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.70,9.70
1,3,Reese Baechle,Nebraska,VT,9.225,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.20,9.25
1,4,Peyton Pech,Nebraska,VT,9.675,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.70,9.65
1,5,Isabel Sikon,Nebraska,VT,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.80
1,6,Tegan Shaver,Nebraska,VT,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.85
1,7,Katelyn Barth,Nebraska,VT,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.75
1,1,Elizabeth Leary,Penn State,VT,9.750,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.75,9.75
1,2,Dani Latronica,Penn State,VT,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.80
1,3,Allison Kaempfer,Penn State,VT,9.875,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.90,9.85
1,4,Ava Cash,Penn State,VT,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.80
1,5,Jessica Johanson,Penn State,VT,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.85,9.85
1,6,Ava Piedrahita,Penn State,VT,9.900,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.90,9.90
1,7,Bella Misiura,Penn State,VT,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.80,9.75
1,8,Kayla Bender,Penn State,VT,9.650,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.95,9.95,9.65,9.65
2,1,Claire Stippich,UNC,UB,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.80
2,2,Sydney Seabrooks,UNC,UB,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.80
2,3,Anna Pearl Stanley,UNC,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.80
2,4,Paige Prejean,UNC,UB,9.925,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.95,9.90
2,5,Gwen Fink,UNC,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.80
2,6,Camryn Rueda,UNC,UB,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.85
2,7,Amy Wozniak,UNC,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.80
2,8,Neve King,UNC,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.85
2,1,Olivia Burns,Nebraska,UB,9.725,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.70,9.75
2,2,Isabel Sikon,Nebraska,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.85
2,3,Tegan Shaver,Nebraska,UB,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.85
2,4,Nya Kraus,Nebraska,UB,9.875,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.90
2,5,Molly Peterson,Nebraska,UB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.80
2,6,Whitney Jencks,Nebraska,UB,9.925,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.90,9.95
2,7,Karys Griffin,Nebraska,UB,9.650,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.65,9.65
2,8,Emalee Frost,Nebraska,UB,9.725,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.75,9.70
2,1,Jessica Johanson,Penn State,UB,9.750,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.75,9.75
2,2,Ellie Monahan,Penn State,UB,9.800,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.80
2,3,Elizabeth Leary,Penn State,UB,9.875,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.90
2,4,Ava Piedrahita,Penn State,UB,9.950,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.95,9.95
2,5,Ava Cash,Penn State,UB,9.925,,,,,,Y,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.95,9.90
2,6,Dani Latronica,Penn State,UB,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.90
2,7,Allison Kaempfer,Penn State,UB,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.75,9.80
3,1,Sydney Seabrooks,UNC,BB,9.200,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.90,9.90,9.20,9.20
3,2,Claire Stippich,UNC,BB,8.950,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.70,9.80,8.85,9.05
3,3,Hannah Aoki,UNC,BB,9.700,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.70,9.70
3,4,Camryn Rueda,UNC,BB,9.000,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.80,9.80,9.00,9.00
3,5,Jessica Naranjo,UNC,BB,9.000,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.60,9.80,8.90,9.10
3,6,JoJo Valahovic,UNC,BB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.85,9.80
3,7,Gwen Fink,UNC,BB,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.90
3,8,Regan McBride,UNC,BB,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.75,9.80
3,1,Whitney Jencks,Nebraska,BB,9.725,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.70,9.75
3,2,Lauren Homecillo,Nebraska,BB,9.775,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.75,9.80
3,3,Nya Kraus,Nebraska,BB,9.850,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.90
3,4,Olivia Burns,Nebraska,BB,9.100,,,,,,,3/13/2026,UNC / Nebraska / Penn State,9.80,9.90,9.00,9.20
3,5,Isabel Sikon,Nebraska,BB,9.825,,,,,,,3/13/2026,UNC / Nebraska / Penn State,10.00,10.00,9.80,9.85
