Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Peyton Davis,Michigan,VT,9.750,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.75,9.75
1,2,Reyna Guggino,Michigan,VT,9.950,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.95,9.95
1,3,Audrey Sanger,Michigan,VT,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.80,9.90
1,4,Ava Jordan,Michigan,VT,9.900,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.90,9.90
1,5,Sophia Diaz,Michigan,VT,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.85
1,6,Jahzara Ranger,Michigan,VT,9.925,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.95,9.90
1,7,Lily Clapper,Michigan,VT,9.750,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.75,9.75
1,1,Elizabeth Blessey,Oklahoma,VT,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.85
1,2,Keira Wells,Oklahoma,VT,9.925,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.90,9.95
1,3,Hannah Scheible,Oklahoma,VT,9.975,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,10.00,9.95
1,4,Mackenzie Estep,Oklahoma,VT,9.900,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.95
1,5,Elle Mueller,Oklahoma,VT,9.975,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.95,10.00
1,6,Addison Fatta,Oklahoma,VT,9.875,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.90
1,7,Kelsey Slade,Oklahoma,VT,9.825,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.80,9.85
1,1,Abby Brushwood,Eastern Michigan,VT,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.75,9.70
1,2,Kyrie Lowe,Eastern Michigan,VT,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.70,9.75
1,3,Gwendelyn Cantu,Eastern Michigan,VT,9.700,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.65,9.75
1,4,Georgie Slack,Eastern Michigan,VT,9.675,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.70,9.65
1,5,Kendall Landry,Eastern Michigan,VT,9.800,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.80,9.80
1,6,Genae Daniel,Eastern Michigan,VT,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.95,9.95,9.70,9.75
1,7,Macy Nihart,Eastern Michigan,VT,9.650,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.90,9.90,9.70,9.60
2,1,Ava Jordan,Michigan,UB,8.950,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.70,9.70,8.90,9.00
2,2,Lily Clapper,Michigan,UB,9.750,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.75,9.75
2,3,Sophia Diaz,Michigan,UB,9.775,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.80,9.75
2,4,Myli Lew,Michigan,UB,9.775,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.75,9.80
2,5,Carly Bauman,Michigan,UB,9.825,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.80,9.85
2,6,Audrey Sanger,Michigan,UB,9.875,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.90
2,7,Jahzara Ranger,Michigan,UB,8.875,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.80,9.60,9.00,8.75
2,8,Paige Thaxton,Michigan,UB,9.650,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,9.90,10.00,9.60,9.70
2,1,Ella Murphy,Oklahoma,UB,9.775,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.80,9.75
2,2,Hannah Scheible,Oklahoma,UB,9.825,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.80
2,3,Addison Fatta,Oklahoma,UB,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.85,9.85
2,4,Mackenzie Estep,Oklahoma,UB,9.900,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.90,9.90
2,5,Caitlin Smith,Oklahoma,UB,9.800,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.80,9.80
2,6,Faith Torrez,Oklahoma,UB,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.90,9.80
2,7,Kelsey Slade,Oklahoma,UB,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.70,9.75
2,1,Analiah Solorio,Eastern Michigan,UB,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.75,9.70
2,2,Jacquelyn Patterson,Eastern Michigan,UB,9.725,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.75,9.70
2,3,Keeley Kohler,Eastern Michigan,UB,9.700,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.70,9.70
2,4,Gwendelyn Cantu,Eastern Michigan,UB,9.625,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.60,9.65
2,5,Genae Daniel,Eastern Michigan,UB,9.100,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.05,9.15
2,6,Kyrie Lowe,Eastern Michigan,UB,9.850,,,,,,,3/13/2026,Michigan / Oklahoma / Eastern Michigan,10.00,10.00,9.80,9.90
