Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Olivia Greaves,Auburn,VT,9.800,,,,,,,3/13/2026,Auburn vs Missouri,9.95,9.95,9.80,9.80
1,2,Mia Leverton,Auburn,VT,9.800,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.80
1,3,Marissa Neal,Auburn,VT,9.850,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.85,9.85
1,4,Julianne Huff,Auburn,VT,9.850,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.85,9.85
1,5,Paige Zancan,Auburn,VT,9.900,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.90
1,6,Jersie Woolsey,Auburn,VT,9.250,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.30,9.20
1,7,Kaylee Bluffstone,Auburn,VT,9.100,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.15,9.05
1,1,Kaia Tanskanen,Missouri,VT,9.800,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.80
1,2,Railey Jackson,Missouri,VT,9.875,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.85,9.90
1,3,Kennedy Griffin,Missouri,VT,9.800,,,,,,,3/13/2026,Auburn vs Missouri,9.95,9.95,9.80,9.80
1,4,Hannah Horton,Missouri,VT,9.900,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.90
1,5,Kimarra Echols,Missouri,VT,9.875,,,,,,,3/13/2026,Auburn vs Missouri,9.95,9.95,9.85,9.90
1,6,Elise Tisler,Missouri,VT,9.875,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.85
1,7,Dakota Essenpries,Missouri,VT,9.750,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.75,9.75
2,1,Julianne Huff,Auburn,UB,9.800,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.80
2,2,Charlotte Booth,Auburn,UB,9.725,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.70,9.75
2,3,Katelyn Jong,Auburn,UB,9.300,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.30,9.30
2,4,Olivia Greaves,Auburn,UB,9.875,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.85
2,5,Emma Grace Boyd,Auburn,UB,9.800,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.80
2,6,Alex Irvine,Auburn,UB,9.950,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.95,9.95
2,7,Bryn Bartman,Auburn,UB,9.825,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.85,9.80
2,1,Makayla Green,Missouri,UB,9.900,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.90
2,2,Lauren Macpherson,Missouri,UB,9.800,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.80
2,3,Olivia Kelly,Missouri,UB,9.875,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.85
2,4,Maiya Terry,Missouri,UB,9.900,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.90,9.90
2,5,Hannah Horton,Missouri,UB,9.825,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.85,9.80
2,6,Kimarra Echols,Missouri,UB,9.925,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.95,9.90
2,7,Kaia Tanskanen,Missouri,UB,9.775,,,,,,,3/13/2026,Auburn vs Missouri,10.00,10.00,9.80,9.75
