Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lauren Wright,NC State,VT,9.775,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.80,9.75
1,2,Emerson Fisk,NC State,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.75,9.75
1,3,Autumn Rardin,NC State,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.70,9.80
1,4,Maddie Hall,NC State,VT,9.850,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.85,9.85
1,5,Ava Myers,NC State,VT,9.800,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.80,9.80
1,6,Syniya Thomas,NC State,VT,9.825,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.80,9.85
1,7,Meg Adler,NC State,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.75,9.75
1,1,Emerson Smith,WVU,VT,9.800,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.80,9.80
1,2,Kayla Smith,WVU,VT,9.800,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.80,9.80
1,3,Carlee Nelson,WVU,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.75,9.75
1,4,Taylor Tuohy,WVU,VT,9.625,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.55,9.70
1,5,Karleigh DiCello,WVU,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.75,9.75
1,6,Sophia Rice,WVU,VT,9.750,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.70,9.80
1,7,Amber Lowe,WVU,VT,9.650,,,,,,,3/13/2026,NC State vs WVU,9.95,9.95,9.70,9.60
2,1,Ava Myers,NC State,UB,9.850,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.90,9.80
2,2,Emerson Fisk,NC State,UB,9.875,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.85,9.90
2,3,Madeline Reid,NC State,UB,9.875,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.90,9.85
2,4,Caroline Volk,NC State,UB,9.900,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.90,9.90
2,5,Elle Hadrick,NC State,UB,9.975,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.95,10.00
2,6,Katie Harper,NC State,UB,9.875,,,,,,,3/13/2026,NC State vs WVU,10.00,10.00,9.90,9.85
