Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Sydney Kho,Boise State,VT,9.725,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.75,9.70
1,2,Miraya Nero,Boise State,VT,9.725,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.70,9.75
1,3,Bridget Kemp,Boise State,VT,9.725,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.75,9.70
1,4,Noelle Ball,Boise State,VT,9.775,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.80,9.75
1,5,Julia Krzywanski,Boise State,VT,9.600,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.60,9.60
1,6,Isabella Delarosa,Boise State,VT,9.825,,,,,,,3/13/2026,Boise State vs Southern Utah,9.90,9.95,9.80,9.85
1,1,Mackenzie Kelly,Southern Utah,VT,9.750,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.75,9.75
1,2,Elliot Bringhurst,Southern Utah,VT,9.800,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.80,9.80
1,3,Kayla Pardue,Southern Utah,VT,9.900,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.95,9.85
1,4,Niya Randolph,Southern Utah,VT,9.750,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.70,9.80
1,5,Vinciane Le Pen,Southern Utah,VT,9.775,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.80,9.75
1,6,Sage Paladino,Southern Utah,VT,9.700,,,,,,,3/13/2026,Boise State vs Southern Utah,9.95,9.95,9.75,9.65
2,1,Carly Buell,Boise State,UB,9.775,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.75,9.80
2,2,Noelle Ball,Boise State,UB,9.900,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.95
2,3,Delaney Reeves,Boise State,UB,9.625,,,,,,,3/13/2026,Boise State vs Southern Utah,9.90,9.90,9.70,9.55
2,4,Mahleea Werline,Boise State,UB,9.900,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.90,9.90
2,5,Kristina Shchennikova,Boise State,UB,9.875,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.90,9.85
2,6,Kylee Hamby,Boise State,UB,9.700,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.70,9.70
2,7,Sydney Leitch,Boise State,UB,9.850,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.80,9.90
2,1,Alex Routsis,Southern Utah,UB,9.875,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.90
2,2,Mia Hampton,Southern Utah,UB,9.575,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.50,9.65
2,3,Niya Randolph,Southern Utah,UB,9.875,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.90
2,4,Rylee Miller,Southern Utah,UB,9.300,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.25,9.35
2,5,Kendall McGuire,Southern Utah,UB,9.800,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.75
2,6,Ariel Collum,Southern Utah,UB,9.875,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.90
2,7,Maria Ferguson,Southern Utah,UB,9.025,,,,,,,3/13/2026,Boise State vs Southern Utah,9.80,9.80,9.00,9.05
3,1,Brantley Lucas,Boise State,BB,9.725,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.75,9.70
3,2,Isabella Delarosa,Boise State,BB,9.075,,,,,,,3/13/2026,Boise State vs Southern Utah,9.90,9.90,9.10,9.05
3,3,Sydnie Whipple,Boise State,BB,9.850,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.90,9.80
3,4,Miraya Nero,Boise State,BB,9.825,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.85,9.80
3,5,Kristina Shchennikova,Boise State,BB,9.850,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.90,9.80
3,6,Sydney Kho,Boise State,BB,9.850,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.80,9.90
3,7,Sydney Leitch,Boise State,BB,9.100,,,,,,,3/13/2026,Boise State vs Southern Utah,9.90,9.80,9.10,9.10
3,8,Blake Pascal,Boise State,BB,9.600,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.60,9.60
3,1,Niya Randolph,Southern Utah,BB,9.825,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.80,9.85
3,2,Mia Hampton,Southern Utah,BB,9.750,,,,,,,3/13/2026,Boise State vs Southern Utah,10.00,10.00,9.70,9.80
