Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Karah Vargo,West Chester,VT,8.750,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,8.60,8.90
1,2,Ava Griffith,West Chester,VT,9.500,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.50,9.50
1,3,Alyson Sobczak,West Chester,VT,9.600,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.65,9.55
1,4,Gianna Smith,West Chester,VT,9.650,,,,,,,3/14/2026,West Chester vs Cornell,9.80,9.80,9.60,9.70
1,5,Jaslyn McComeskey,West Chester,VT,9.625,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.60,9.65
1,6,Sarah Eskew,West Chester,VT,9.675,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,9.70,9.65
1,7,Katelynne Tatum,West Chester,VT,8.650,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,8.55,8.75
1,1,Addy Rothstein,Cornell,VT,9.550,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,9.55,9.55
1,2,Sarah Goetter,Cornell,VT,9.475,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,9.45,9.50
1,3,Dahlia Jhaveri,Cornell,VT,9.600,,,,,,Y,3/14/2026,West Chester vs Cornell,9.95,9.95,9.60,9.60
1,4,Grace McLean,Cornell,VT,9.625,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,9.65,9.60
1,5,Michaela DeFrancisco,Cornell,VT,9.500,,,,,,,3/14/2026,West Chester vs Cornell,9.95,9.95,9.55,9.45
1,6,Cami Whitaker,Cornell,VT,9.775,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.80,9.75
1,7,Macy Armstrong,Cornell,VT,9.450,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.45,9.45
2,1,Maddie McCullough,West Chester,UB,9.750,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.75,9.75
2,2,Karah Vargo,West Chester,UB,9.500,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.50,9.50
2,3,Lianna Schultz,West Chester,UB,9.625,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.70,9.55
2,4,Grace McNamara,West Chester,UB,9.225,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.20,9.25
2,5,Melina Ringas,West Chester,UB,9.550,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.65,9.45
2,6,Sarah Eskew,West Chester,UB,9.700,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.70,9.70
2,1,Josie Moylan,Cornell,UB,9.450,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.55,9.35
2,2,Ava Schenck-Davis,Cornell,UB,6.875,,,,,,Y,3/14/2026,West Chester vs Cornell,7.50,7.50,6.90,6.85
2,3,Addy Rothstein,Cornell,UB,8.175,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,8.10,8.25
2,4,Morgen Shambo,Cornell,UB,9.500,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.60,9.40
2,5,Dahlia Jhaveri,Cornell,UB,9.225,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.25,9.20
2,6,Sarah Goetter,Cornell,UB,9.700,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.70,9.70
2,7,Nora Sherman,Cornell,UB,9.075,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.00,9.15
3,1,Anna Lacey,West Chester,BB,8.950,,,,,,,3/14/2026,West Chester vs Cornell,9.80,9.80,9.00,8.90
3,2,Macarthy Keane,West Chester,BB,9.600,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.65,9.55
3,3,Gianna Smith,West Chester,BB,9.550,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.50,9.60
3,4,EmmaGrace Kelly,West Chester,BB,8.850,,,,,,,3/14/2026,West Chester vs Cornell,9.70,9.70,8.70,9.00
3,5,Lydia Stoner,West Chester,BB,9.325,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.40,9.25
3,6,Tatum McGuinn,West Chester,BB,9.750,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.75,9.75
3,7,Maddie McCullough,West Chester,BB,9.400,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.50,9.30
3,1,Grace McLean,Cornell,BB,9.675,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.60,9.75
3,2,Noelle Wojcik,Cornell,BB,9.500,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.60,9.40
3,3,Lauren Golioto,Cornell,BB,9.600,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.60,9.60
3,4,Anne MacKenzie,Cornell,BB,9.550,,,,,,,3/14/2026,West Chester vs Cornell,10.00,10.00,9.50,9.60
3,5,Mikayla Burton,Cornell,BB,7.775,,,,,,,3/14/2026,West Chester vs Cornell,9.20,9.20,7.70,7.85
3,6,Natalia Tehrani,Cornell,BB,9.550,,,,,,,3/14/2026,West Chester vs Cornell,9.90,9.90,9.50,9.60
