Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Max Odden,Nebraska,FX,13.700,4.8,8.900,,,,,3/14/2026,Nebraska vs Illinois,4.8,1.0,1.2
1,2,Nathan York,Nebraska,FX,13.400,5.3,8.100,,,,,3/14/2026,Nebraska vs Illinois,5.3,2.0,1.8
1,3,Luke James,Nebraska,FX,13.900,5.0,8.900,,,,,3/14/2026,Nebraska vs Illinois,5.0,1.2,1.0
1,4,Chase Mondi,Nebraska,FX,13.800,5.3,8.500,,,,,3/14/2026,Nebraska vs Illinois,5.3,1.6,1.4
1,1,Vahe Petrosyan,Illinois,FX,12.800,4.7,8.200,0.1,,,,3/14/2026,Nebraska vs Illinois,4.7,1.9,1.7
1,2,Tate Costa,Illinois,FX,12.250,4.6,7.650,,,,,3/14/2026,Nebraska vs Illinois,4.6,2.5,2.2
1,3,Sam Phillips,Illinois,FX,12.700,4.9,7.800,,,,,3/14/2026,Nebraska vs Illinois,4.9,2.2,2.2
1,4,Garrett Schooley,Illinois,FX,14.100,5.4,8.700,,,,,3/14/2026,Nebraska vs Illinois,5.4,1.4,1.2
2,1,Wyatt Reynolds,Nebraska,PH,12.750,4.2,8.550,,,,,3/14/2026,Nebraska vs Illinois,4.2,1.4,1.5
2,2,Caden Clinton,Nebraska,PH,13.800,4.8,9.000,,,,Y,3/14/2026,Nebraska vs Illinois,4.8,1.1,0.9
2,3,Nik Tarca,Nebraska,PH,13.400,5.1,8.300,,,,,3/14/2026,Nebraska vs Illinois,5.1,1.6,1.8
2,4,Nathan York,Nebraska,PH,14.000,5.5,8.500,,,,,3/14/2026,Nebraska vs Illinois,5.5,1.5,1.5
2,1,Connor Micklos,Illinois,PH,12.000,4.8,7.200,,,,,3/14/2026,Nebraska vs Illinois,4.8,2.9,2.7
2,2,Alex Karadzhov,Illinois,PH,9.950,4.9,5.050,,,,,3/14/2026,Nebraska vs Illinois,4.9,5.3,4.6
2,3,Preston Ngai,Illinois,PH,14.600,5.6,9.000,,,,,3/14/2026,Nebraska vs Illinois,5.6,0.9,1.1
2,4,Brandon Dang,Illinois,PH,13.600,5.6,8.000,,,,,3/14/2026,Nebraska vs Illinois,5.6,1.9,2.1
3,1,Anthony Koppie,Nebraska,SR,11.650,3.8,8.150,0.3,,,Y,3/14/2026,Nebraska vs Illinois,3.8,1.7,2.0
3,2,Max Odden,Nebraska,SR,13.050,3.7,9.350,,,,,3/14/2026,Nebraska vs Illinois,3.7,0.6,0.7
3,3,Sam Rakita,Nebraska,SR,13.850,4.5,9.250,,0.1,,,3/14/2026,Nebraska vs Illinois,4.5,0.8,0.7
3,4,Asher Cohen,Nebraska,SR,14.150,5.4,8.750,,,,,3/14/2026,Nebraska vs Illinois,5.4,1.2,1.3
3,1,Logan Myers,Illinois,SR,13.600,4.5,9.000,,0.1,,,3/14/2026,Nebraska vs Illinois,4.5,1.1,0.9
3,2,Sam Phillips,Illinois,SR,12.250,4.5,7.750,,,,,3/14/2026,Nebraska vs Illinois,4.5,2.1,2.4
3,3,Hasan Aydogdu,Illinois,SR,13.300,5.1,8.200,,,,,3/14/2026,Nebraska vs Illinois,5.1,1.9,1.7
3,4,Preston Ngai,Illinois,SR,13.250,4.8,8.450,,,,,3/14/2026,Nebraska vs Illinois,4.8,1.4,1.7
4,1,Nathan York,Nebraska,VT,14.150,4.8,9.350,,,,,3/14/2026,Nebraska vs Illinois,4.8,0.7,0.6
