Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Carl Jacob Soederqvist,Springfield: Springfield / Navy / Temple,FX,13.500,4.7,8.800,,,,,3/14/2026,Springfield / Temple / Navy,4.7,1.3,1.1
1,2,Evan Reichert,Springfield: Springfield / Navy / Temple,FX,13.400,4.6,8.800,,,,,3/14/2026,Springfield / Temple / Navy,4.6,1.1,1.3
1,3,Owen Carney,Springfield: Springfield / Navy / Temple,FX,13.700,4.8,8.900,,,,,3/14/2026,Springfield / Temple / Navy,4.8,1.2,1.0
1,4,Will Wilson,Springfield: Springfield / Navy / Temple,FX,12.900,4.9,8.000,,,Y,Y,3/14/2026,Springfield / Temple / Navy,4.9,2.0,2.0
1,1,Nabil Pardhan,Temple: Springfield / Navy / Temple,FX,10.600,4.2,6.400,,,,,3/14/2026,Springfield / Temple / Navy,4.2,3.5,3.7
1,2,Cian Baillie,Temple: Springfield / Navy / Temple,FX,12.150,4.0,8.150,,,,,3/14/2026,Springfield / Temple / Navy,4.0,1.9,1.8
1,3,Taidhg Baillie,Temple: Springfield / Navy / Temple,FX,12.600,4.8,7.800,,,,,3/14/2026,Springfield / Temple / Navy,4.8,2.0,2.4
1,4,Nate Davies,Temple: Springfield / Navy / Temple,FX,12.300,4.1,8.200,,,,,3/14/2026,Springfield / Temple / Navy,4.1,1.7,1.9
1,5,Landon Brady,Temple: Springfield / Navy / Temple,FX,12.800,4.3,8.500,,,,,3/14/2026,Springfield / Temple / Navy,4.3,1.4,1.6
1,1,Daniel Gurevich,Navy: Springfield / Navy / Temple,FX,13.750,4.9,8.850,,,,,3/14/2026,Springfield / Temple / Navy,4.9,1.2,1.1
1,2,Benjamin Thurlow Lam,Navy: Springfield / Navy / Temple,FX,14.000,4.9,9.100,,,,,3/14/2026,Springfield / Temple / Navy,4.9,1.0,0.8
1,3,Danilo Viciana,Navy: Springfield / Navy / Temple,FX,14.000,5.0,9.000,,,,,3/14/2026,Springfield / Temple / Navy,5.0,1.0,1.0
1,4,Brian Solomon,Navy: Springfield / Navy / Temple,FX,13.350,5.1,8.250,,,,,3/14/2026,Springfield / Temple / Navy,5.1,1.6,1.9
2,1,Carl Jacob Soederqvist,Springfield: Springfield / Navy / Temple,PH,11.450,4.0,7.450,,,,,3/14/2026,Springfield / Temple / Navy,4.0,2.4,2.7
2,2,Evan Reichert,Springfield: Springfield / Navy / Temple,PH,12.800,4.2,8.600,,,,,3/14/2026,Springfield / Temple / Navy,4.2,1.4,1.4
2,3,Devon Felsenstein,Springfield: Springfield / Navy / Temple,PH,13.700,4.8,8.900,,,,,3/14/2026,Springfield / Temple / Navy,4.8,1.1,1.1
2,4,Peyton Cramer,Springfield: Springfield / Navy / Temple,PH,13.150,5.0,8.150,,,,,3/14/2026,Springfield / Temple / Navy,5.0,1.8,1.9
2,1,Scott Faust,Temple: Springfield / Navy / Temple,PH,9.300,2.9,6.400,,,,,3/14/2026,Springfield / Temple / Navy,2.9,3.6,3.6
2,2,Landon Brady,Temple: Springfield / Navy / Temple,PH,11.300,3.5,7.800,,,,,3/14/2026,Springfield / Temple / Navy,3.5,2.3,2.1
2,3,Evan Alsop,Temple: Springfield / Navy / Temple,PH,11.000,2.9,8.100,,,,,3/14/2026,Springfield / Temple / Navy,2.9,1.9,1.9
2,4,Evan Zakrewski,Temple: Springfield / Navy / Temple,PH,11.650,4.4,7.250,,,,,3/14/2026,Springfield / Temple / Navy,4.4,2.8,2.7
2,1,Kody Tokunaga,Navy: Springfield / Navy / Temple,PH,13.100,4.3,8.800,,,,,3/14/2026,Springfield / Temple / Navy,4.3,1.2,1.2
2,2,Jonah Soltz,Navy: Springfield / Navy / Temple,PH,12.750,4.5,8.250,,,,,3/14/2026,Springfield / Temple / Navy,4.5,1.8,1.7
2,3,Daniel Gurevich,Navy: Springfield / Navy / Temple,PH,13.300,4.5,8.800,,,,,3/14/2026,Springfield / Temple / Navy,4.5,1.2,1.2
2,4,Brian Solomon,Navy: Springfield / Navy / Temple,PH,12.150,4.5,7.650,,,,Y,3/14/2026,Springfield / Temple / Navy,4.5,2.4,2.3
3,1,Will Wilson,Springfield: Springfield / Navy / Temple,SR,12.400,3.9,8.500,,,,,3/14/2026,Springfield / Temple / Navy,3.9,1.5,1.5
3,2,Brian Delf,Springfield: Springfield / Navy / Temple,SR,11.700,3.8,7.900,,,,,3/14/2026,Springfield / Temple / Navy,3.8,2.2,2.0
3,3,Gustavin Suess,Springfield: Springfield / Navy / Temple,SR,12.350,3.9,8.450,,,,,3/14/2026,Springfield / Temple / Navy,3.9,1.6,1.5
3,4,Blaise Rousseau,Springfield: Springfield / Navy / Temple,SR,13.600,4.8,8.800,,,,,3/14/2026,Springfield / Temple / Navy,4.8,1.1,1.3
3,1,Scott Faust,Temple: Springfield / Navy / Temple,SR,10.500,2.9,7.600,,,,,3/14/2026,Springfield / Temple / Navy,2.9,2.3,2.5
3,2,Aiden Militello,Temple: Springfield / Navy / Temple,SR,11.200,3.4,7.700,,0.1,,,3/14/2026,Springfield / Temple / Navy,3.4,2.2,2.4
3,3,Evan Zakrewski,Temple: Springfield / Navy / Temple,SR,11.650,3.3,8.250,,0.1,,Y,3/14/2026,Springfield / Temple / Navy,3.3,1.8,1.7
3,4,Nate Davies,Temple: Springfield / Navy / Temple,SR,11.900,3.9,8.000,,,,Y,3/14/2026,Springfield / Temple / Navy,3.9,2.1,1.9
3,5,Landon Brady,Temple: Springfield / Navy / Temple,SR,11.650,2.9,8.750,,,,,3/14/2026,Springfield / Temple / Navy,2.9,1.3,1.2
3,1,Aaron Stein,Navy: Springfield / Navy / Temple,SR,12.350,4.4,7.950,,,,,3/14/2026,Springfield / Temple / Navy,4.4,2.0,2.1
3,2,Michael Romo,Navy: Springfield / Navy / Temple,SR,12.300,3.8,8.500,,,,,3/14/2026,Springfield / Temple / Navy,3.8,1.4,1.6
3,3,Brian Solomon,Navy: Springfield / Navy / Temple,SR,12.700,4.4,8.300,,,,,3/14/2026,Springfield / Temple / Navy,4.4,1.6,1.8
3,4,Julian Galvez,Navy: Springfield / Navy / Temple,SR,13.000,4.0,8.900,,0.1,,Y,3/14/2026,Springfield / Temple / Navy,4.0,1.1,1.1
4,1,Michael Dalton,Springfield: Springfield / Navy / Temple,VT,13.550,4.4,9.150,,,,,3/14/2026,Springfield / Temple / Navy,4.4,0.7,1.0
4,2,Will Wilson,Springfield: Springfield / Navy / Temple,VT,13.200,4.4,8.900,0.1,,,,3/14/2026,Springfield / Temple / Navy,4.4,1.1,1.1
4,3,Owen Carney,Springfield: Springfield / Navy / Temple,VT,11.550,4.0,7.550,,,,Y,3/14/2026,Springfield / Temple / Navy,4.0,2.5,2.4
4,4,Evan Reichert,Springfield: Springfield / Navy / Temple,VT,14.200,4.4,9.700,,0.1,,,3/14/2026,Springfield / Temple / Navy,4.4,0.3,0.3
4,1,Taidhg Baillie,Temple: Springfield / Navy / Temple,VT,12.750,3.6,9.250,0.1,,,,3/14/2026,Springfield / Temple / Navy,3.6,0.7,0.8
4,2,Aidan Whittier,Temple: Springfield / Navy / Temple,VT,13.000,4.0,9.100,0.1,,,,3/14/2026,Springfield / Temple / Navy,4.0,0.9,0.9
4,3,Amir El-Moslemany,Temple: Springfield / Navy / Temple,VT,13.900,4.4,9.400,,0.1,,,3/14/2026,Springfield / Temple / Navy,4.4,0.6,0.6
4,4,Landon Brady,Temple: Springfield / Navy / Temple,VT,12.950,3.6,9.550,0.3,0.1,,,3/14/2026,Springfield / Temple / Navy,3.6,0.4,0.5
4,1,Benjamin Thurlow Lam,Navy: Springfield / Navy / Temple,VT,13.450,4.4,9.150,0.1,,,,3/14/2026,Springfield / Temple / Navy,4.4,0.9,0.8
4,2,Jonah Soltz,Navy: Springfield / Navy / Temple,VT,13.800,4.4,9.400,,,,,3/14/2026,Springfield / Temple / Navy,4.4,0.5,0.7
4,3,Brian Solomon,Navy: Springfield / Navy / Temple,VT,13.900,4.4,9.500,,,,,3/14/2026,Springfield / Temple / Navy,4.4,0.5,0.5
4,4,Matthew Petros,Navy: Springfield / Navy / Temple,VT,13.900,4.8,9.100,,,,,3/14/2026,Springfield / Temple / Navy,4.8,1.0,0.8
5,1,Skyler Cook,Springfield: Springfield / Navy / Temple,PB,12.850,4.0,8.850,,,,,3/14/2026,Springfield / Temple / Navy,4.0,1.2,1.1
5,2,Brian Delf,Springfield: Springfield / Navy / Temple,PB,12.250,3.6,8.650,,,,,3/14/2026,Springfield / Temple / Navy,3.6,1.3,1.4
5,3,Blaise Rousseau,Springfield: Springfield / Navy / Temple,PB,11.700,4.1,7.600,,,,,3/14/2026,Springfield / Temple / Navy,4.1,2.5,2.3
5,4,Devon Felsenstein,Springfield: Springfield / Navy / Temple,PB,11.900,2.9,9.000,,,,,3/14/2026,Springfield / Temple / Navy,2.9,0.9,1.1
5,1,Taidhg Baillie,Temple: Springfield / Navy / Temple,PB,11.050,3.1,7.950,,,,,3/14/2026,Springfield / Temple / Navy,3.1,2.1,2.0
5,2,Evan Zakrewski,Temple: Springfield / Navy / Temple,PB,11.600,3.0,8.600,,,,,3/14/2026,Springfield / Temple / Navy,3.0,1.4,1.4
5,3,Landon Brady,Temple: Springfield / Navy / Temple,PB,11.750,3.3,8.450,,,,,3/14/2026,Springfield / Temple / Navy,3.3,1.5,1.6
5,4,Ayden Thelen-Perry,Temple: Springfield / Navy / Temple,PB,11.650,3.1,8.550,,,,,3/14/2026,Springfield / Temple / Navy,3.1,1.6,1.3
5,1,Cody Phillips,Navy: Springfield / Navy / Temple,PB,11.900,3.8,8.100,,,,,3/14/2026,Springfield / Temple / Navy,3.8,2.0,1.8
5,2,Brian Solomon,Navy: Springfield / Navy / Temple,PB,13.150,4.3,8.750,,0.1,,,3/14/2026,Springfield / Temple / Navy,4.3,1.3,1.2
5,3,Jonah Soltz,Navy: Springfield / Navy / Temple,PB,13.100,4.6,8.500,,,,,3/14/2026,Springfield / Temple / Navy,4.6,1.5,1.5
5,4,Matthew Petros,Navy: Springfield / Navy / Temple,PB,13.400,4.5,8.800,,0.1,,,3/14/2026,Springfield / Temple / Navy,4.5,1.2,1.2
6,1,Will Wilson,Springfield: Springfield / Navy / Temple,HB,10.750,3.8,6.950,,,,,3/14/2026,Springfield / Temple / Navy,3.8,3.1,3.0
6,2,Skyler Cook,Springfield: Springfield / Navy / Temple,HB,12.300,3.8,8.500,,,,,3/14/2026,Springfield / Temple / Navy,3.8,1.4,1.6
6,3,Kaleb Palacio,Springfield: Springfield / Navy / Temple,HB,12.650,3.7,8.950,,,,,3/14/2026,Springfield / Temple / Navy,3.7,1.0,1.1
6,4,Owen Carney,Springfield: Springfield / Navy / Temple,HB,13.400,4.2,9.200,,,,,3/14/2026,Springfield / Temple / Navy,4.2,0.8,0.8
6,1,Nate Davies,Temple: Springfield / Navy / Temple,HB,9.900,2.7,7.200,,,,,3/14/2026,Springfield / Temple / Navy,2.7,2.6,3.0
6,2,Ayden Thelen-Perry,Temple: Springfield / Navy / Temple,HB,11.200,2.8,8.900,0.5,,,,3/14/2026,Springfield / Temple / Navy,2.8,1.0,1.2
6,3,Evan Zakrewski,Temple: Springfield / Navy / Temple,HB,12.100,3.6,8.500,,,,,3/14/2026,Springfield / Temple / Navy,3.6,1.5,1.5
