Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Zoe Safran,GW: GW / Maryland / Temple / Towson,VT,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.75,9.75
1,2,Alexia Zakaryan,GW: GW / Maryland / Temple / Towson,VT,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.80
1,3,Lola Montevago,GW: GW / Maryland / Temple / Towson,VT,9.650,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.65,9.65
1,4,Deana Sheremeta,GW: GW / Maryland / Temple / Towson,VT,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.80
1,5,Alison Mun,GW: GW / Maryland / Temple / Towson,VT,9.775,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.80
1,6,Aspen Tucker,GW: GW / Maryland / Temple / Towson,VT,9.600,,,,,,Y,3/15/2026,GW / Temple / Maryland / Towson,9.90,9.90,9.60,9.60
1,1,Hailey Best,Temple: GW / Maryland / Temple / Towson,VT,9.650,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.70,9.60
1,2,Brooklyn Thomas,Temple: GW / Maryland / Temple / Towson,VT,9.625,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.60,9.65
1,3,Kyrstin Johnson,Temple: GW / Maryland / Temple / Towson,VT,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.75,9.75
1,4,Jade Harden,Temple: GW / Maryland / Temple / Towson,VT,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.80
1,5,Nikki Rengifo,Temple: GW / Maryland / Temple / Towson,VT,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.85,9.85
1,6,Amelia Budd,Temple: GW / Maryland / Temple / Towson,VT,9.875,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.85,9.90
1,7,Ava Sutphen,Temple: GW / Maryland / Temple / Towson,VT,9.575,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.50,9.65
1,1,Josephine Kogler,Maryland: GW / Maryland / Temple / Towson,VT,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.80
1,2,Rayna Engelmayer,Maryland: GW / Maryland / Temple / Towson,VT,9.675,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.70,9.65
1,3,Aine Reade,Maryland: GW / Maryland / Temple / Towson,VT,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.65,9.75
1,4,Taylor Rech,Maryland: GW / Maryland / Temple / Towson,VT,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.85,9.85
1,5,Logan Buckmon,Maryland: GW / Maryland / Temple / Towson,VT,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.90
1,6,Katrina Mendez-Abolnik,Maryland: GW / Maryland / Temple / Towson,VT,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.75
1,7,Madeline Gershuny,Maryland: GW / Maryland / Temple / Towson,VT,9.775,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.75,9.80
1,1,Reese Toland,Towson: GW / Maryland / Temple / Towson,VT,9.725,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.70,9.75
1,2,Adriana Hoffman,Towson: GW / Maryland / Temple / Towson,VT,9.825,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.80,9.85
1,3,Isabella Minervini,Towson: GW / Maryland / Temple / Towson,VT,9.825,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.85
1,4,Isabella DeCroo,Towson: GW / Maryland / Temple / Towson,VT,9.900,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.90,9.90
1,5,Polina Belanovski,Towson: GW / Maryland / Temple / Towson,VT,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.95,9.95,9.85,9.85
1,6,Jocelyn Lannon,Towson: GW / Maryland / Temple / Towson,VT,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.80
1,7,Faye Rodio,Towson: GW / Maryland / Temple / Towson,VT,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.65,9.75
2,1,Alexia Zakaryan,GW: GW / Maryland / Temple / Towson,UB,9.775,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.80
2,2,Sophia Tyeryar,GW: GW / Maryland / Temple / Towson,UB,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.70
2,3,Deana Sheremeta,GW: GW / Maryland / Temple / Towson,UB,8.775,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.80,9.80,8.95,8.60
2,4,Maya Peters,GW: GW / Maryland / Temple / Towson,UB,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.70
2,5,Zoe Safran,GW: GW / Maryland / Temple / Towson,UB,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,9.90,9.75,9.65
2,6,Lola Montevago,GW: GW / Maryland / Temple / Towson,UB,9.900,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.90,9.90
2,1,Reese DeHaan,Temple: GW / Maryland / Temple / Towson,UB,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.65,9.75
2,2,Mariella Brueck,Temple: GW / Maryland / Temple / Towson,UB,9.625,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.65,9.60
2,3,Ava Sutphen,Temple: GW / Maryland / Temple / Towson,UB,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.70,9.70
2,4,Megan White,Temple: GW / Maryland / Temple / Towson,UB,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.65
2,5,Robyn Dunne,Temple: GW / Maryland / Temple / Towson,UB,9.875,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.90,9.85
2,6,Ella Beck,Temple: GW / Maryland / Temple / Towson,UB,9.650,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.70,9.60
2,1,Sarah Saville,Maryland: GW / Maryland / Temple / Towson,UB,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.80
2,2,Megan Bingham,Maryland: GW / Maryland / Temple / Towson,UB,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.90,9.80
2,3,Gianna Ruffing,Maryland: GW / Maryland / Temple / Towson,UB,9.825,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.85
2,4,Aine Reade,Maryland: GW / Maryland / Temple / Towson,UB,9.775,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.85,9.70
2,5,Chelsey Dennis,Maryland: GW / Maryland / Temple / Towson,UB,8.725,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,8.55,8.90
2,6,Madeline Komoroski,Maryland: GW / Maryland / Temple / Towson,UB,9.875,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.85,9.90
2,7,Nicollette Crochet,Maryland: GW / Maryland / Temple / Towson,UB,9.250,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.40,9.10
2,8,Emily DeFrees,Maryland: GW / Maryland / Temple / Towson,UB,7.950,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.00,9.10,7.60,8.30
2,1,Hayden Gough,Towson: GW / Maryland / Temple / Towson,UB,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.80
2,2,Polina Belanovski,Towson: GW / Maryland / Temple / Towson,UB,9.275,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.25,9.30
2,3,Piper Slocum,Towson: GW / Maryland / Temple / Towson,UB,9.750,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.75
2,4,Lauren Greene,Towson: GW / Maryland / Temple / Towson,UB,9.800,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.80,9.80
2,5,Brissa Portillo,Towson: GW / Maryland / Temple / Towson,UB,9.375,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.40,9.35
2,6,Isabella Minervini,Towson: GW / Maryland / Temple / Towson,UB,9.850,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.85,9.85
2,7,Natalie Lindgren,Towson: GW / Maryland / Temple / Towson,UB,8.550,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.40,9.40,8.40,8.70
3,1,Lola Montevago,GW: GW / Maryland / Temple / Towson,BB,9.275,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,9.60,9.60,9.25,9.30
3,2,Brooke Izzo,GW: GW / Maryland / Temple / Towson,BB,9.700,,,,,,,3/15/2026,GW / Temple / Maryland / Towson,10.00,10.00,9.75,9.65
