Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Levi Jung-Ruivivar,Stanford,VT,9.850,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.85,9.85
1,2,Jaime Dugan,Stanford,VT,9.700,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.75,9.65
1,3,Summer Gronski,Stanford,VT,9.850,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.85,9.85
1,4,Ui Soma,Stanford,VT,9.875,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.90,9.85
1,5,Anna Roberts,Stanford,VT,10.000,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,10.00,10.00
1,6,Taralyn Nguyen,Stanford,VT,9.900,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.90,9.90
1,1,Sydney Kho,Boise State,VT,9.775,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.80,9.75
1,2,Miraya Nero,Boise State,VT,9.750,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.75,9.75
1,3,Bridget Kemp,Boise State,VT,9.800,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.80,9.80
1,4,Noelle Ball,Boise State,VT,9.750,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.75,9.75
1,5,Julia Krzywanski,Boise State,VT,9.700,,,,,,,3/15/2026,Stanford vs Boise State,9.95,9.95,9.70,9.70
1,6,Isabella Delarosa,Boise State,VT,9.775,,,,,,,3/15/2026,Stanford vs Boise State,9.90,9.90,9.80,9.75
2,1,Levi Jung-Ruivivar,Stanford,UB,9.925,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.95,9.90
2,2,Ava Sorrento,Stanford,UB,9.800,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.80,9.80
2,3,Sienna Robinson,Stanford,UB,9.950,,,,,,,3/15/2026,Stanford vs Boise State,10.00,10.00,9.95,9.95
