Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Shyann Bootman,Cortland,VT,9.450,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.45,9.45
1,2,Tessa Sutton,Cortland,VT,9.650,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.65
1,3,Kyleigh Brown,Cortland,VT,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.70,9.70
1,4,Gianna Mirigliano,Cortland,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.70
1,5,Tayah Graham,Cortland,VT,9.775,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.80,9.75
1,6,Olivia Chapman,Cortland,VT,9.100,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.10,9.10
1,1,Brianna Balian,UW-Whitewater,VT,9.625,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.60
1,2,Elaine Copeland,UW-Whitewater,VT,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.65,9.50
1,3,Kaleigh Summers,UW-Whitewater,VT,9.550,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.50,9.60
1,4,Siena Vavala,UW-Whitewater,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.75,9.60
1,5,Sofia Spadafora,UW-Whitewater,VT,9.625,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.55,9.70
1,6,Juliette Rider,UW-Whitewater,VT,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.65
1,1,Ashley Dalton,UWL,VT,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.70,9.70
1,2,Cobi Powell,UWL,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.70
1,3,Sarah Pastore,UWL,VT,9.725,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.75,9.70
1,4,Ava Kaspryzcki,UWL,VT,9.425,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.35,9.50
1,5,Grace Kehr,UWL,VT,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.60,9.55
1,6,Paige Breckwoldt,UWL,VT,9.800,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.80,9.80
1,1,Amaya McConkay,UW-Oshkosh,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.60,9.75
1,2,Kasha Muraski,UW-Oshkosh,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.70,9.65
1,3,Averie Evans,UW-Oshkosh,VT,9.725,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.75,9.70
1,4,Kris Phillips,UW-Oshkosh,VT,9.500,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.40,9.60
1,5,Hannah Hughes,UW-Oshkosh,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.60,9.75
1,6,Reanna McGibboney,UW-Oshkosh,VT,9.800,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.80,9.80
1,1,Shannon Gibbs,Brockport,VT,9.525,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.60,9.45
1,2,Jamarie Saravia,Brockport,VT,9.550,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,9.55,9.55
1,3,Lienna Kay,Brockport,VT,9.675,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.65,9.70
1,4,Maria Pell,Brockport,VT,9.275,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,9.30,9.25
1,5,Emma Langdon,Brockport,VT,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.75
1,6,Kiara Hockman,Brockport,VT,9.800,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.80,9.80
1,1,Haley Zampella,UW-Eau Claire,VT,9.500,,,,,,,3/20/2026,NCGA Championship 2026,9.75,9.75,9.50,9.50
1,2,Ava Obermoller,UW-Eau Claire,VT,9.400,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.30,9.50
1,3,Grace Gerster,UW-Eau Claire,VT,9.425,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.45,9.40
1,4,Cadence Cordova,UW-Eau Claire,VT,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.65,9.50
1,5,Abigail Berens,UW-Eau Claire,VT,9.375,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.35,9.40
1,6,Emily Leese,UW-Eau Claire,VT,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.55,9.60
1,1,Grace Murray,Ithaca: Ithaca (Individuals),VT,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
1,1,Payton Greene,RIC: RIC (AA),VT,9.300,,,,,,Y,3/20/2026,NCGA Championship 2026,9.90,9.90,9.30,9.30
1,2,Aaliyah Krause,RIC: RIC (AA),VT,9.550,,,,,,Y,3/20/2026,NCGA Championship 2026,9.80,9.80,9.50,9.60
1,1,Emmie Barton,Simpson: Simpson (FX/VT/UB),VT,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.70,9.70
1,2,Kaelyn Tally,Simpson: Simpson (FX/VT/UB),VT,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
1,1,Irene Kearney,Winona State: Winona State (VT),VT,9.025,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.00,9.05
1,1,Jamie Beatty,UW-Stout: UW-Stout (Individuals),VT,9.375,,,,,,,3/20/2026,NCGA Championship 2026,9.75,9.75,9.35,9.40
1,2,Jessica Qualich,UW-Stout: UW-Stout (Individuals),VT,9.800,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.85,9.75
1,1,Erin Roe,Ursinus: Ursinus (Individuals),VT,9.750,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.80,9.70
1,2,Sidney Schreiber,Ursinus: Ursinus (Individuals),VT,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.65,9.75
1,1,Amara Nelson,Greenville: Greenville (Individuals),VT,9.600,,,,,,,3/20/2026,NCGA Championship 2026,9.95,9.95,9.50,9.70
1,1,Cara Wong,Gustavus: Gustavus (Individuals),VT,9.550,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.55,9.55
2,1,Kiana Wong,Cortland,UB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.60
2,2,Aria Roberts,Cortland,UB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.75
2,3,Olivia Chapman,Cortland,UB,9.000,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.00,9.00
2,4,Emily Baradic,Cortland,UB,8.950,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,8.90,9.00
2,5,Kathryn McSweeney,Cortland,UB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.75
2,6,Autumn Adkins,Cortland,UB,9.675,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.70
2,1,Brianna Balian,UW-Whitewater,UB,9.675,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.70
2,2,Caroline Saenz,UW-Whitewater,UB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.70
2,3,Ariana Goodwin,UW-Whitewater,UB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.70
2,4,Jane Heffernan,UW-Whitewater,UB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
2,5,Elaine Copeland,UW-Whitewater,UB,9.675,,,,,,Y,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.65
2,6,Paige Magel,UW-Whitewater,UB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.80
2,1,Ashlyn Barker,UWL,UB,9.050,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.00,9.10
2,2,Sarah Best,UWL,UB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.75,9.65
2,3,Azia Hawkins,UWL,UB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
2,4,Lauren Main,UWL,UB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.70
2,5,Claire Robbins,UWL,UB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.75
2,6,Madalyn McCormick,UWL,UB,8.975,,,,,,,3/20/2026,NCGA Championship 2026,9.70,9.70,8.95,9.00
2,1,Hannah Hughes,UW-Oshkosh,UB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.75
2,2,Hadley Bretschneider,UW-Oshkosh,UB,8.950,,,,,,,3/20/2026,NCGA Championship 2026,9.70,9.70,8.90,9.00
2,3,Reanna McGibboney,UW-Oshkosh,UB,9.850,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.85
2,4,Lydia Hayden,UW-Oshkosh,UB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.80
2,5,Amaya McConkay,UW-Oshkosh,UB,9.825,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.85
2,6,Averie Evans,UW-Oshkosh,UB,9.900,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.90,9.90
2,1,Alexis Schulman,Brockport,UB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,9.90,9.70,9.60
2,2,Julia Klucinec,Brockport,UB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.45,9.60
2,3,Jamarie Saravia,Brockport,UB,8.900,,,,,,,3/20/2026,NCGA Championship 2026,9.70,9.70,8.90,8.90
2,4,Celina Satter,Brockport,UB,9.450,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.50,9.40
2,5,Lienna Kay,Brockport,UB,9.750,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.80
2,6,Emma Brookins,Brockport,UB,9.750,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.75
2,1,Ava Obermoller,UW-Eau Claire,UB,9.575,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.60
2,2,Ella Montgomery,UW-Eau Claire,UB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
2,3,Cadence Cordova,UW-Eau Claire,UB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.80
2,4,Rachel Hettiarachchy,UW-Eau Claire,UB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.60,9.65
2,5,Kinley Rose,UW-Eau Claire,UB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.85
2,6,Linnea Vasali,UW-Eau Claire,UB,6.850,,,,,,Y,3/20/2026,NCGA Championship 2026,7.30,7.50,6.70,7.00
2,1,Mya John,Ithaca: Ithaca (Individuals),UB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.70
2,2,Lauren Babineaux,Ithaca: Ithaca (Individuals),UB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.80
2,1,Payton Greene,RIC: RIC (AA),UB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.55,9.50
2,2,Aaliyah Krause,RIC: RIC (AA),UB,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.65,9.50
2,1,Abigail Bunch,RIC: RIC (BB),UB,9.000,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,8.90,9.10
2,1,Liz Sisler,Simpson: Simpson (FX/VT/UB),UB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
2,1,Alyssa Langston,Utica: Utica (UB/FX),UB,9.850,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.85
2,1,Jamie Beatty,UW-Stout: UW-Stout (Individuals),UB,9.825,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.85
2,2,Sarah Lutz,UW-Stout: UW-Stout (Individuals),UB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
2,1,Erin Roe,Ursinus: Ursinus (Individuals),UB,9.825,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.80
2,1,Amara Nelson,Greenville: Greenville (Individuals),UB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.70
2,1,Cara Wong,Gustavus: Gustavus (Individuals),UB,9.350,,,,,,,3/20/2026,NCGA Championship 2026,9.90,9.90,9.30,9.40
3,1,Gianna Mirigliano,Cortland,BB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.50
3,2,Anna Lee Dobson,Cortland,BB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.60,9.45
3,3,Shyann Bootman,Cortland,BB,9.500,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.50,9.50
3,4,Tayah Graham,Cortland,BB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.60
3,5,Tessa Sutton,Cortland,BB,9.400,,,,,,,3/20/2026,NCGA Championship 2026,9.90,10.00,9.45,9.35
3,6,Samantha Meadows,Cortland,BB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.60
3,1,Sofia Spadafora,UW-Whitewater,BB,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.70,9.70,9.55,9.60
3,2,Jane Heffernan,UW-Whitewater,BB,8.625,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,8.70,8.55
3,3,Tegan Haberstock,UW-Whitewater,BB,8.725,,,,,,,3/20/2026,NCGA Championship 2026,9.50,9.70,8.70,8.75
3,4,Ashnaya Gupta,UW-Whitewater,BB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.55
3,5,Kristen Swiebocki,UW-Whitewater,BB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.55
3,6,Paige Magel,UW-Whitewater,BB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.60
3,1,Lucy Warren,UWL,BB,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.65
3,2,Lainey Vogt,UWL,BB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.85
3,3,Darby Savage,UWL,BB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.60,9.45
3,4,Lauren Main,UWL,BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.75
3,5,Raina Christenson,UWL,BB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.60
3,6,Claire Robbins,UWL,BB,9.750,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.75
3,1,Jurnee Warkentien,UW-Oshkosh,BB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.70
3,2,Sam Dorrity,UW-Oshkosh,BB,9.675,,,,,,,3/20/2026,NCGA Championship 2026,10.00,9.90,9.75,9.60
3,3,Lydia Hayden,UW-Oshkosh,BB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.70
3,4,Ome Ellis,UW-Oshkosh,BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
3,5,Hannah Hughes,UW-Oshkosh,BB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.70
3,6,Kristina Jakubiak,UW-Oshkosh,BB,9.450,,,,,,,3/20/2026,NCGA Championship 2026,10.00,9.60,9.60,9.30
3,1,Lienna Kay,Brockport,BB,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.55
3,2,Alexis Schulman,Brockport,BB,8.950,,,,,,,3/20/2026,NCGA Championship 2026,9.60,9.60,8.95,8.95
3,3,Emma Brookins,Brockport,BB,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.50
3,4,Alyssa Strain,Brockport,BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.85
3,5,Kayla Gleason,Brockport,BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
3,6,Kiara Hockman,Brockport,BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.70
3,1,Grace Gerster,UW-Eau Claire,BB,8.825,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,8.90,8.75
3,2,Jozie Armos,UW-Eau Claire,BB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.65
3,3,Linnea Vasali,UW-Eau Claire,BB,9.575,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,9.50,9.65
3,4,Hareet Gehlon,UW-Eau Claire,BB,9.650,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.65
3,5,Georgia Guynn,UW-Eau Claire,BB,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.75
3,6,Meghan Dahlin,UW-Eau Claire,BB,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.60,9.60
3,1,Leanne Desjardins,Ithaca: Ithaca (Individuals),BB,9.800,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.85
3,2,Emily Kobusky,Ithaca: Ithaca (Individuals),BB,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
3,1,Payton Greene,RIC: RIC (AA),BB,7.375,,,,,,,3/20/2026,NCGA Championship 2026,9.10,9.10,7.25,7.50
3,2,Aaliyah Krause,RIC: RIC (AA),BB,9.550,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.55,9.55
3,1,Evalyn Resnick,Simpson: Simpson (BB),BB,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.50
3,1,Gabby Kraft,Winona State: Winona State (BB),BB,8.975,,,,,,,3/20/2026,NCGA Championship 2026,9.80,9.80,9.05,8.90
3,2,Harper Hamilton,Winona State: Winona State (BB),BB,9.100,,,,,,,3/20/2026,NCGA Championship 2026,9.60,9.60,9.05,9.15
3,1,Alisya Dorman,Utica: Utica (BB),BB,9.525,,,,,,,3/20/2026,NCGA Championship 2026,10.00,9.70,9.55,9.50
3,1,Jamie Beatty,UW-Stout: UW-Stout (Individuals),BB,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.50
3,1,Erin Roe,Ursinus: Ursinus (Individuals),BB,9.400,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.30,9.50
3,1,Amara Nelson,Greenville: Greenville (Individuals),BB,9.850,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.85
3,1,Cara Wong,Gustavus: Gustavus (Individuals),BB,8.800,,,,,,,3/20/2026,NCGA Championship 2026,9.50,9.40,8.85,8.75
4,1,Gianna Mirigliano,Cortland,FX,9.500,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.50,9.50
4,2,Rylee Fishkin,Cortland,FX,9.725,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.75
4,3,Shyann Bootman,Cortland,FX,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.70
4,4,Autumn Adkins,Cortland,FX,9.750,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.80,9.70
4,5,Aria Roberts,Cortland,FX,9.700,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.65
4,6,Tessa Sutton,Cortland,FX,9.525,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.50,9.55
4,1,Danielle Dudziak,UW-Whitewater,FX,9.600,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.50
4,2,Paige Magel,UW-Whitewater,FX,9.625,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.60
4,3,Jane Heffernan,UW-Whitewater,FX,9.575,,,0.1,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.65,9.70
4,4,Elaine Copeland,UW-Whitewater,FX,9.825,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.80
4,5,Siena Vavala,UW-Whitewater,FX,8.450,,,,,,,3/20/2026,NCGA Championship 2026,9.60,9.60,8.50,8.40
4,6,Juliette Rider,UW-Whitewater,FX,9.825,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.85,9.80
4,1,Ashlyn Barker,UWL,FX,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.75,9.80
4,2,Hunter Matulka,UWL,FX,9.775,,,,,,,3/20/2026,NCGA Championship 2026,10.00,10.00,9.70,9.85
