Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Hannah Milton,Western Michigan,VT,9.700,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.70,9.70,9.70,9.70
1,2,Casey Mooney,Western Michigan,VT,9.775,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.70,9.80,9.80,9.75
1,3,Kennedy Cooper,Western Michigan,VT,9.725,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.80,9.70,9.75,9.70
1,4,Brooke Gelesko,Western Michigan,VT,9.800,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.80,9.75,9.80,9.80
1,5,Isabella Ciolfi,Western Michigan,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.85,9.70,9.75
1,6,Makenna King,Western Michigan,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.75,9.65,9.75
1,1,Keira Thornton,Bowling Green,VT,9.700,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.70,9.70,9.70,9.75
1,2,Emily Gianfrancesco,Bowling Green,VT,9.650,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.65,9.65,9.55,9.65
1,3,Madison Coburn,Bowling Green,VT,9.675,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.70,9.75,9.65,9.65
1,4,Megan Dzialo,Bowling Green,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.80,9.70,9.70,9.80
1,5,Teegan Milligan,Bowling Green,VT,9.650,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.65,9.65,9.65,9.60
1,6,Natasha Lopez,Bowling Green,VT,9.175,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.20,8.95,9.30,9.15
1,1,Abby Brushwood,Eastern Michigan,VT,9.825,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.80,9.85,9.85
1,2,Kyrie Lowe,Eastern Michigan,VT,9.175,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.15,9.10,9.20,9.25
1,3,Gwendelyn Cantu,Eastern Michigan,VT,9.800,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.80
1,4,Georgie Slack,Eastern Michigan,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.75,9.75,9.80
1,5,Genae Daniel,Eastern Michigan,VT,9.725,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.70,9.75,9.80,9.70
1,6,Kendall Landry,Eastern Michigan,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.75,9.75,9.80
1,1,Sophia Balko,Kent State,VT,9.800,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.85,9.75,9.75,9.85
1,2,Avery Compson,Kent State,VT,9.600,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.45,9.60,9.65,9.60
1,3,Allie Call,Kent State,VT,9.800,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.85
1,4,Jersey Bingman,Kent State,VT,9.825,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.85,9.75,9.80,9.85
1,5,Taylor Archambeau,Kent State,VT,9.750,,,,,,,3/21/2026,MAC Championships 2026,9.95,9.95,9.95,9.95,9.75,9.65,9.75,9.80
