Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Elizabeth Blessey,Oklahoma,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.95,9.90,9.85
1,2,Keira Wells,Oklahoma,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90
1,3,Hannah Scheible,Oklahoma,VT,9.800,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.75,9.90,9.80
1,4,Mackenzie Estep,Oklahoma,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90
1,5,Elle Mueller,Oklahoma,VT,9.825,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.85,9.80,9.80
1,6,Addison Fatta,Oklahoma,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.95,9.90,9.90,9.90
1,1,Lexi Zeiss,LSU,VT,9.875,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.85,9.95,9.80
1,2,Konnor McClain,LSU,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,9.95,9.95,9.95,9.95,9.85,9.90,9.85,9.85
1,3,Victoria Roberts,LSU,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.90,9.85,9.90
1,4,Kaliya Lincoln,LSU,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.85,9.80,9.85
1,5,Amari Drayton,LSU,VT,9.800,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.80
1,6,Kailin Chio,LSU,VT,9.975,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,10.00,9.90,10.00,9.95
1,1,Anya Pilgrim,Florida,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.85
1,2,eMjae Frazier,Florida,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85
1,3,Kayla DiCello,Florida,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.95,9.90,9.90
1,4,Danie Ferris,Florida,VT,9.875,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.85
1,5,Skye Blakely,Florida,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.95,9.85,9.90
1,6,Selena Harris-Miranda,Florida,VT,9.800,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.70,9.85,9.75
1,1,Chloe LaCoursiere,Alabama,VT,9.825,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.80
1,2,Jamison Sears,Alabama,VT,9.800,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.80,9.80,9.80
1,3,Gabby Gladieux,Alabama,VT,9.800,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.90,9.80,9.80
1,4,Jordyn Paradise,Alabama,VT,9.750,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.80,9.70,9.75,9.75
1,5,Azaraya Ra-Akbar,Alabama,VT,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.90,9.85,9.90
1,6,Kylee Kvamme,Alabama,VT,9.850,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.85,9.90,9.85,9.85
2,1,Lily Pederson,Oklahoma,UB,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.95
2,2,Ella Murphy,Oklahoma,UB,9.950,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.90,9.95,9.95,9.95
2,3,Addison Fatta,Oklahoma,UB,9.900,,,,,,,3/21/2026,SEC Championship 2026 Session #2,10.00,10.00,10.00,10.00,9.95,9.90,9.90,9.90
