Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Lexi Zeiss,LSU,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.90,9.80,9.85
1,2,Konnor McClain,LSU,VT,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.90,9.95,9.90,9.90
1,3,Victoria Roberts,LSU,VT,9.875,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.90,9.85,9.85
1,4,Kaliya Lincoln,LSU,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.85,9.80,9.90
1,5,Amari Drayton,LSU,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.90,9.85,9.80
1,6,Kailin Chio,LSU,VT,10.000,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.95,10.00,10.00,10.00
1,1,Brie Clark,Clemson,VT,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.90,9.85,9.90
1,2,Madison Minner,Clemson,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.90,9.85,9.85
1,3,Maggie Holman,Clemson,VT,9.825,,,,,,Y,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.90
1,4,Ella Cesario,Clemson,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.85,9.85,9.85,9.80
1,5,Tara Walsh,Clemson,VT,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.85,9.75,9.75
1,6,Paige Anastasi,Clemson,VT,9.800,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.80,9.80,9.75,9.85
1,1,Kaylee Bluffstone,Auburn,VT,9.825,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.85,9.75,9.80
1,2,Mia Leverton,Auburn,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85
1,3,Marissa Neal,Auburn,VT,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.95
1,4,Julianne Huff,Auburn,VT,9.300,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.25,9.35,9.25,9.35
1,5,Paige Zancan,Auburn,VT,9.825,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.85,9.75,9.85
1,6,Brynn Torry,Auburn,VT,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.85,9.85,9.85
1,1,Karys Griffin,Nebraska,VT,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.70,9.65,9.70,9.75
1,2,Molly Peterson,Nebraska,VT,9.600,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.65,9.60,9.55,9.60
1,3,Reese Baechle,Nebraska,VT,9.625,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.65,9.70,9.60,9.60
1,4,Peyton Pech,Nebraska,VT,9.650,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.70,9.65,9.65,9.55
1,5,Isabel Sikon,Nebraska,VT,9.725,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.70,9.75,9.75,9.70
1,6,Tegan Shaver,Nebraska,VT,9.650,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.60,9.70,9.70,9.60
1,1,Kylee Greene,Air Force: Air Force (Individuals) - LSU [AA],VT,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,9.95,9.95,9.95,9.95,9.75,9.85,9.75,9.80
1,1,Maggie Slife,Air Force: Air Force (Individuals) - Auburn [AA},VT,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.80
1,1,Alyssa Bigler,Air Force: Air Force (Individuals) - Clemson [AA},VT,9.700,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.70,9.80,9.70,9.70
1,1,Sophia Rice,"WVU: WVU (Individuals) - Nebraska [Fx, VT, BB]",VT,9.775,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.80,9.75,9.75
2,1,Lexi Zeiss,LSU,UB,9.900,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90
2,2,Ashley Cowan,LSU,UB,9.950,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.95,9.95,9.90,9.95
2,3,Madison Ulrich,LSU,UB,9.850,,,,,,,4/2/2026,NCAA Regional '26 @ LSU: Second Round #2,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.80
