Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Tiana Sumanasekera,UCLA,VT,9.875,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.90,9.85,9.90,9.85
1,2,Katelyn Rosen,UCLA,VT,9.675,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.60,9.65,9.75,9.70
1,3,Mika Webster-Longin,UCLA,VT,9.800,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.60,9.80,9.80,9.90
1,4,Riley Jenkins,UCLA,VT,9.800,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.70
1,5,Ashlee Sullivan,UCLA,VT,9.925,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.90,9.95,9.95,9.90
1,6,Jordan Chiles,UCLA,VT,9.950,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.95,9.95,9.90,9.95
1,1,Avery Chambers,Iowa,VT,9.750,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.80,9.75,9.75,9.70
1,2,Stella DePoala,Iowa,VT,9.775,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.75,9.75,9.85,9.80
1,3,Sydney Turner,Iowa,VT,9.825,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.85
1,4,Sophie Schriever,Iowa,VT,9.800,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,10.00,10.00,10.00,10.00,9.75,9.80,9.80,9.80
1,5,Aurélie Tran,Iowa,VT,9.850,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.85,9.90,9.85,9.85
1,6,JerQuavia Henderson,Iowa,VT,9.800,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.70,9.80,9.80,9.85
1,1,Lana Navarro,Washington,VT,9.750,,,,,,,4/3/2026,NCAA Regional '26 @ Oregon State: Second Round #2,9.95,9.95,9.95,9.95,9.75,9.80,9.75,9.75
