Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Anya Pilgrim,Florida,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.80
1,2,Skylar Draser,Florida,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,3,eMjae Frazier,Florida,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.90,9.80,9.80,9.90
1,4,Kayla DiCello,Florida,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.90,9.95,9.90,9.90
1,5,Danie Ferris,Florida,VT,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.90,9.85,9.85,9.90
1,6,Selena Harris-Miranda,Florida,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.95,9.85,9.90,9.90
1,1,Ja' Free Scott,Georgia,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,9.95,9.95,9.95,9.95,9.85,9.90,9.85,9.85
1,2,Csenge Bacskay,Georgia,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.80
1,3,Avery Moll,Georgia,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,4,Nyla Aquino,Georgia,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.90
1,5,Ady Wahl,Georgia,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90
1,6,CaMarah Williams,Georgia,VT,9.925,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.95,9.90,9.95,9.90
1,1,Casey Brown,California,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,9.95,9.95,9.95,9.95,9.85,9.85,9.85,9.85
1,2,Sage Melkonian,California,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,9.95,9.95,9.95,9.95,9.85,9.80,9.75,9.80
1,3,Jayden Silvers,California,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.75,9.85,9.80,9.80
1,4,Annalise Newman-Achee,California,VT,9.750,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,9.95,9.95,9.95,9.95,9.75,9.75,9.75,9.80
1,5,Kyen Mayhew,California,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85
1,6,Mya Wiley,California,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85
1,1,Cady Duplissis,Michigan State,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,2,Korynne Marquart,Michigan State,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.80,9.90,9.85,9.85
1,3,Isabella Trostel,Michigan State,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.85,9.80,9.80,9.85
1,4,MaKayla Tucker,Michigan State,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ Arizona State: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.80
