Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,J1,J2,J3,J4
1,1,Lexi Zeiss,LSU,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,2,Konnor McClain,LSU,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.85,9.85,9.80,9.85
1,3,Victoria Roberts,LSU,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.90
1,4,Kaliya Lincoln,LSU,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.80
1,5,Amari Drayton,LSU,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85
1,6,Kailin Chio,LSU,VT,10.000,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,10.00,9.95,10.00,10.00
1,1,Levi Jung-Ruivivar,Stanford,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.70,9.75,9.85,9.85
1,2,Ana Barbosu,Stanford,VT,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.90
1,3,Summer Gronski,Stanford,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.80,9.90,9.85,9.85
1,4,Ui Soma,Stanford,VT,9.775,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.75,9.80,9.80,9.75
1,5,Anna Roberts,Stanford,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85
1,6,Taralyn Nguyen,Stanford,VT,9.950,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.95,9.95,9.95,10.00
1,1,Brie Clark,Clemson,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.80,9.80
1,2,Madison Minner,Clemson,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.85
1,3,Maggie Holman,Clemson,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.80,9.80
1,4,Ella Cesario,Clemson,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.95,9.90,9.90,9.90
1,5,Tara Walsh,Clemson,VT,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.90,9.85,9.90
1,6,Paige Anastasi,Clemson,VT,9.725,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.70,9.75,9.75,9.70
1,1,Peyton Davis,Michigan,VT,9.725,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.70,9.75,9.70,9.75
1,2,Reyna Guggino,Michigan,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.80,9.80,9.85
1,3,Audrey Sanger,Michigan,VT,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.80,9.80,9.80,9.80
1,4,Ava Jordan,Michigan,VT,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,9.95,9.95,9.95,9.95,9.85,9.85,9.85,9.85
1,5,Sophia Diaz,Michigan,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.75,9.85,9.85,9.80
1,6,Jahzara Ranger,Michigan,VT,9.825,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.80,9.80,9.85
2,1,Lexi Zeiss,LSU,UB,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.80
2,2,Ashley Cowan,LSU,UB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.95,9.90,9.90
2,3,Madison Ulrich,LSU,UB,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.95,9.85,9.85,9.85
2,4,Kailin Chio,LSU,UB,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.70
2,5,Haley Mustari,LSU,UB,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.80,9.90,9.85
2,6,Konnor McClain,LSU,UB,4.600,,,2.0,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,6.40,7.30,7.30,7.30,5.50,6.60,6.60,6.60
2,1,Levi Jung-Ruivivar,Stanford,UB,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90
2,2,Ava Sorrento,Stanford,UB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.90,9.95,9.90
2,3,Sienna Robinson,Stanford,UB,9.725,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.70,9.85,9.75,9.70
2,4,Anna Roberts,Stanford,UB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.95
2,5,Ana Barbosu,Stanford,UB,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.75
2,6,Ui Soma,Stanford,UB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90
2,1,Lilly Lippeatt,Clemson,UB,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.75,9.90,9.85,9.90
2,2,Hannah Clark,Clemson,UB,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.75,9.85,9.75
2,3,Emma Malewski,Clemson,UB,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.90,9.85,9.90
2,4,Takoda Berry,Clemson,UB,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.80,9.80,9.80
2,5,Ella Cesario,Clemson,UB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.95,9.90,9.90,9.90
2,6,Quinn Kuhl,Clemson,UB,9.750,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.70,9.80,9.75,9.75
2,1,Ava Jordan,Michigan,UB,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.80,9.75,9.80
2,2,Lily Clapper,Michigan,UB,9.775,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.75,9.80,9.75
2,3,Sophia Diaz,Michigan,UB,9.875,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.95
2,4,Audrey Sanger,Michigan,UB,9.750,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.75,9.75,9.80,9.65
2,5,Carly Bauman,Michigan,UB,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85
2,6,Sophie Parenti,Michigan,UB,9.800,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.80,9.85,9.75,9.80
3,1,Kylie Coen,LSU,BB,9.900,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.95
3,2,Lexi Zeiss,LSU,BB,9.850,,,,,,,4/4/2026,NCAA Regional '26 @ LSU: Final,10.00,10.00,10.00,10.00,9.75,9.85,9.90,9.85
