Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D1,D2,E1,E2,E3,E4,E5,E6
1,1,Chase Davenport-Mills,Ohio State: FX,FX,13.825,4.9,8.925,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.1,1.2,1.3,1.0,1.0,1.0
1,2,Garrett Schooley,Big Ten Individuals: FX,FX,13.425,5.3,8.125,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.3,5.3,1.7,1.9,1.7,2.2,1.9,2.0
1,3,Solen Chiodi,Michigan: FX,FX,13.300,5.0,8.300,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,1.6,1.6,1.9,1.9,1.7,1.6
1,4,Tate Costa,Big Ten Individuals: FX,FX,13.100,4.9,8.200,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,1.7,1.9,1.9,1.8,1.7,1.8
1,5,Jacob Harmon,Ohio State: FX,FX,13.750,4.8,8.850,,0.1,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.4,1.0,1.3,1.0,1.0,1.3
1,6,Luke James,Big Ten Individuals: FX,FX,13.675,5.0,8.675,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,1.3,1.1,1.3,1.4,1.3,1.5
1,7,Jesse Pakele,Ohio State: FX,FX,9.950,5.4,4.850,0.3,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.4,5.4,5.0,4.9,5.1,5.0,5.5,5.6
1,8,Landen Blixt,Michigan: FX,FX,13.075,5.0,8.075,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,1.9,1.9,2.1,1.9,2.0,1.6
1,9,Chase Mondi,Big Ten Individuals: FX,FX,13.025,5.3,8.025,0.3,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.3,5.3,2.1,1.9,2.4,1.9,2.0,1.8
1,10,Charlie Larson,Michigan: FX,FX,13.550,5.5,8.050,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.5,5.5,2.0,2.0,2.2,2.0,1.8,1.6
2,1,Nik Tarca,Big Ten Individuals: PH,PH,12.850,5.1,7.750,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.1,5.1,2.5,2.3,1.8,2.5,2.1,2.1
2,2,Wyatt Reynolds,Big Ten Individuals: PH,PH,13.700,4.8,8.900,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.8,4.8,1.0,1.0,1.3,1.2,1.1,1.1
2,3,Ritam Malik,Big Ten Individuals: PH,PH,12.850,4.9,7.950,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.9,4.9,2.5,2.6,1.8,2.1,1.8,1.8
2,4,Caden Clinton,Big Ten Individuals: PH,PH,13.775,5.0,8.775,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.0,5.0,1.4,1.5,1.2,1.2,1.1,1.0
2,5,Zach Granados,Michigan: PH,PH,13.675,5.2,8.475,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.2,5.2,1.6,1.4,1.3,1.6,1.5,1.6
2,6,Aaronson Mansberger,Michigan: PH,PH,14.350,5.5,8.850,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.5,5.5,1.3,1.1,1.2,0.9,1.0,1.3
2,7,Parker Thackston,Ohio State: PH,PH,14.625,5.9,8.725,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.9,5.9,1.3,1.3,1.1,1.3,1.2,1.3
2,8,Preston Ngai,Big Ten Individuals: PH,PH,14.250,5.6,8.650,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.6,5.6,1.4,1.3,1.4,1.3,1.5,1.3
2,9,David Ramirez,Ohio State: PH,PH,12.875,5.1,7.775,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.1,5.1,2.4,2.5,2.0,2.4,2.1,2.0
2,10,Brandon Dang,Big Ten Individuals: PH,PH,14.850,6.0,8.850,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,6.0,6.0,1.2,1.1,1.2,1.2,1.1,1.1
3,1,Hasan Aydogdu,Big Ten Individuals: SR,SR,12.850,5.1,7.750,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,5.1,5.1,2.3,2.2,2.1,2.3,2.4,2.2
3,2,Sam Rakita,Big Ten Individuals: SR,SR,13.500,4.5,9.000,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,4.5,4.5,1.0,1.0,0.9,1.1,1.0,1.0
3,3,Max Odden,Big Ten Individuals: SR,SR,12.650,3.7,8.950,,,,,4/4/2026,Big Ten Championships '26 @ Nebraska: Event Finals,3.7,3.7,1.1,1.1,1.1,0.8,0.9,1.3
