Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,SV5,SV6,J1,J2,J3,J4,J5,J6
1,1,Keira Wells,Oklahoma,VT,9.9750,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,10.00,9.90,10.00,10.00
1,2,Hannah Scheible,Oklahoma,VT,9.9500,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,9.95,9.95,9.95,9.90
1,3,Faith Torrez,Oklahoma,VT,9.9375,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.90,9.95,9.95,9.90,9.95
1,4,Mackenzie Estep,Oklahoma,VT,9.7875,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.75,9.75,9.80,9.80,9.85,9.80
1,5,Elle Mueller,Oklahoma,VT,9.9375,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,9.90,10.00,9.90,9.95
1,6,Lily Pederson,Oklahoma,VT,9.9500,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,9.95,9.95,9.95,9.95
1,1,Tiana Sumanasekera,UCLA,VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal II,9.95,9.95,9.95,9.95,9.95,9.95,9.85,9.85,9.85,9.85,9.85,9.85
1,2,Katelyn Rosen,UCLA,VT,9.2125,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.10,9.20,9.25,9.25,9.20,9.20
1,3,Mika Webster-Longin,UCLA,VT,9.5875,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.50,9.45,9.60,9.60,9.65,9.65
1,4,Riley Jenkins,UCLA,VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal II,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.90,9.85,9.85
