Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,SV5,SV6,J1,J2,J3,J4,J5,J6
1,1,Lexi Zeiss,LSU,VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.85,9.85,9.85
1,2,Konnor McClain,LSU,VT,9.8250,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.80,9.75,9.85,9.80,9.90,9.85
1,3,Victoria Roberts,LSU,VT,9.7250,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,9.95,10.00,10.00,10.00,9.70,9.70,9.70,9.75,9.85,9.75
1,4,Kaliya Lincoln,LSU,VT,9.9625,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.95,10.00,9.95,9.95,9.95,10.00
1,5,Amari Drayton,LSU,VT,9.8750,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.85,9.90,9.85
1,6,Kailin Chio,LSU,VT,9.9625,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,9.95,10.00,9.95
1,1,Ja' Free Scott,Georgia,VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.85,9.85,9.90,9.85,9.85,9.80
1,2,Csenge Bacskay,Georgia,VT,9.8375,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.85,9.85,9.85
1,3,Avery Moll,Georgia,VT,9.8250,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.75,9.85,9.80
1,4,Nyla Aquino,Georgia,VT,9.9250,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.95,9.95,9.95
1,5,Ady Wahl,Georgia,VT,9.8875,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.85,9.85,9.90
1,6,CaMarah Williams,Georgia,VT,9.7625,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.75,9.75,9.85,9.75,9.75,9.80
1,1,Anya Pilgrim,Florida,VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.85,9.85,9.85,9.85,9.85
1,2,Skylar Draser,Florida,VT,9.7875,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.75,9.80,9.80,9.70,9.80
1,3,eMjae Frazier,Florida,VT,9.8750,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.90,9.90,9.90
1,4,Kayla DiCello,Florida,VT,9.8625,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85,9.85,9.90
1,5,Danie Ferris,Florida,VT,9.8250,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.80,9.85,9.80,9.85,9.80
1,6,Selena Harris-Miranda,Florida,VT,9.8125,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.75,9.85,9.80,9.80,9.80
1,1,Levi Jung-Ruivivar,Stanford,VT,9.7625,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.80,9.75,9.75,9.75,9.75,9.80
1,2,Ana Barbosu,Stanford,VT,9.7000,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.65,9.75,9.65,9.75,9.65
1,3,Summer Gronski,Stanford,VT,9.7875,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.80,9.75,9.80,9.80,9.75,9.85
1,4,Ui Soma,Stanford,VT,9.7875,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.85,9.80,9.80,9.75,9.75,9.80
1,5,Anna Roberts,Stanford,VT,9.6000,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.50,9.65,9.55,9.60,9.60,9.65
1,6,Taralyn Nguyen,Stanford,VT,9.8375,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.75,9.85,9.85,9.80,9.85
1,1,Nikki Smith,Michigan State: Michigan State (AA),VT,9.8500,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.80,9.90,9.80,9.90,9.85
1,1,Sage Kellerman,"Michigan State: Michigan State (UB, FX, VT)",VT,9.8000,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.80,9.80,9.75,9.85,9.75
1,1,Tory Vetter,Ohio State: Ohio State (AA),VT,9.7875,,,,,,,4/16/2026,NCAA '26: Semifinal I,9.95,9.95,9.95,9.95,9.95,9.95,9.80,9.75,9.75,9.80,9.80,9.80
1,1,Cameron Smith,Ohio State: Ohio State (VT),VT,9.8875,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.90,9.85,9.95
2,1,Lexi Zeiss,LSU,UB,9.8375,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.85,9.85,9.80,9.90,9.80
2,2,Ashley Cowan,LSU,UB,9.8375,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.90,9.85,9.85,9.80,9.80
2,3,Madison Ulrich,LSU,UB,9.7750,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.75,9.80,9.85,9.80,9.75,9.75
2,4,Kailin Chio,LSU,UB,9.8000,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.80,9.80,9.85,9.80,9.80
2,5,Haley Mustari,LSU,UB,9.8000,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.80,9.85,9.85,9.75,9.75
2,6,Konnor McClain,LSU,UB,9.9125,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.90,9.95,9.90,9.95,9.85
2,1,Csenge Bacskay,Georgia,UB,9.8125,,,,,,,4/16/2026,NCAA '26: Semifinal I,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85,9.75,9.75
