Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,SV3,SV4,SV5,SV6,J1,J2,J3,J4,J5,J6
1,1,Elizabeth Blessey,Oklahoma,VT,9.8375,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.85,9.80,9.85
1,2,Keira Wells,Oklahoma,VT,9.8875,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.90,9.90,9.85,9.90,9.90
1,3,Hannah Scheible,Oklahoma,VT,9.9625,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.95,9.95,9.95,10.00,9.95,10.00
1,4,Faith Torrez,Oklahoma,VT,9.9000,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.90,9.90,9.90,9.85,9.95
1,5,Mackenzie Estep,Oklahoma,VT,9.8625,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.85,9.85,9.90
1,6,Lily Pederson,Oklahoma,VT,9.9875,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.95,10.00,10.00,9.95,10.00
1,1,Ava Stewart,Minnesota,VT,9.8375,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.85,9.85,9.80,9.85,9.90
1,2,Sarah Moraw,Minnesota,VT,9.7750,,,,,,,4/18/2026,NCAA '26: National Championship,9.95,9.95,9.95,9.95,9.95,9.95,9.75,9.70,9.75,9.80,9.80,9.80
1,3,Teryn Crump,Minnesota,VT,9.8750,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.85,9.85,9.90,9.90,9.85,9.90
1,4,Emma Slevin,Minnesota,VT,9.8500,,,,,,,4/18/2026,NCAA '26: National Championship,9.95,9.95,9.95,9.95,9.95,9.95,9.85,9.80,9.85,9.85,9.85,9.85
1,5,Gianna Gerdes,Minnesota,VT,9.9000,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.90,9.85,9.90,9.90,9.90,9.90
1,6,Arianna Ostrum,Minnesota,VT,9.8125,,,,,,,4/18/2026,NCAA '26: National Championship,10.00,10.00,10.00,10.00,10.00,10.00,9.80,9.85,9.80,9.80,9.85,9.80
