Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Kennedy Griffin,Missouri,VT,9.775,,,,,,,1/4/2026,Missouri vs Iowa State,9.95,9.95,9.75,9.80
1,2,Kaia Tanskanen,Missouri,VT,9.800,,,,,Y,Y,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.80,9.80
1,3,Railey Jackson,Missouri,VT,9.875,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.85,9.90
1,4,Kimarra Echols,Missouri,VT,9.850,,,,,Y,,1/4/2026,Missouri vs Iowa State,9.95,9.95,9.85,9.85
1,5,Hannah Horton,Missouri,VT,9.875,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.85,9.90
1,6,Elise Tisler,Missouri,VT,9.800,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.80,9.80
1,7,Dakota Essenpries,Missouri,VT,9.725,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.75,9.70
1,1,Ella Schell,Iowa State,VT,9.650,,,,,Y,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.70,9.60
1,2,Paige Wills,Iowa State,VT,9.650,,,,,,Y,1/4/2026,Missouri vs Iowa State,9.95,9.95,9.65,9.65
1,3,Ella Roberts,Iowa State,VT,9.650,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.60,9.70
1,4,Aubree Guinee,Iowa State,VT,9.775,,,,,,,1/4/2026,Missouri vs Iowa State,9.95,9.95,9.80,9.75
1,5,Frederique Sgarbossa,Iowa State,VT,9.725,,,,,,,1/4/2026,Missouri vs Iowa State,9.95,9.95,9.75,9.70
1,6,Haylee Hardin,Iowa State,VT,9.725,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.70,9.75
1,7,Chloe Hammond,Iowa State,VT,9.575,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.55,9.60
2,1,Addison Lawrence,Missouri,UB,9.900,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.90,9.90
2,2,Lauren Macpherson,Missouri,UB,9.875,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.85,9.90
2,3,Rayna Light,Missouri,UB,9.250,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.20,9.30
2,4,Hannah Horton,Missouri,UB,9.925,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.95,9.90
2,5,Kimarra Echols,Missouri,UB,9.900,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.90,9.90
2,6,Makayla Green,Missouri,UB,9.850,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.85,9.85
2,7,Maiya Terry,Missouri,UB,9.800,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.80,9.80
2,1,Ella Schell,Iowa State,UB,9.725,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.80,9.65
2,2,Peyton Nock,Iowa State,UB,7.800,,,,,,,1/4/2026,Missouri vs Iowa State,9.20,9.20,7.90,7.70
2,3,Paige Wills,Iowa State,UB,9.050,,,,,,,1/4/2026,Missouri vs Iowa State,9.80,9.80,9.10,9.00
2,4,Kennedy Thomas,Iowa State,UB,8.800,,,,,,,1/4/2026,Missouri vs Iowa State,9.70,9.70,8.80,8.80
2,5,Kaia Bochow,Iowa State,UB,9.725,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.75,9.70
2,6,Frederique Sgarbossa,Iowa State,UB,9.750,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.70,9.80
3,1,Amy Wier,Missouri,BB,9.900,,,,,,,1/4/2026,Missouri vs Iowa State,10.00,10.00,9.90,9.90
