Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Josephine Kogler,Maryland: Maryland / LIU / UNH / GW,VT,9.700,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.70,9.70
1,2,Rayna Engelmayer,Maryland: Maryland / LIU / UNH / GW,VT,9.725,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.75,9.70
1,3,Aine Reade,Maryland: Maryland / LIU / UNH / GW,VT,9.800,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.80,9.80
1,4,Taylor Rech,Maryland: Maryland / LIU / UNH / GW,VT,9.775,,,,,,Y,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.75,9.80
1,5,Logan Buckmon,Maryland: Maryland / LIU / UNH / GW,VT,9.850,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.85,9.85
1,6,Katrina Mendez-Abolnik,Maryland: Maryland / LIU / UNH / GW,VT,9.850,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,10.00,10.00,9.85,9.85
1,7,Sydney Mullen,Maryland: Maryland / LIU / UNH / GW,VT,9.650,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.65,9.65
1,1,Aspen Tucker,GW: Maryland / LIU / UNH / GW,VT,9.700,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.90,9.90,9.70,9.70
1,2,Zoe Safran,GW: Maryland / LIU / UNH / GW,VT,9.725,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.70,9.75
1,3,Alexia Zakaryan,GW: Maryland / LIU / UNH / GW,VT,9.700,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.70,9.70
1,4,Lola Montevago,GW: Maryland / LIU / UNH / GW,VT,9.825,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.80,9.85
1,5,Alison Mun,GW: Maryland / LIU / UNH / GW,VT,9.875,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.85,9.90
1,6,Deana Sheremeta,GW: Maryland / LIU / UNH / GW,VT,9.650,,,,,Y,,1/9/2026,Maryland / GW / UNH / LIU,9.75,9.75,9.65,9.65
1,1,Poulina Minaev,UNH: Maryland / LIU / UNH / GW,VT,9.625,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.90,9.90,9.65,9.60
1,2,Leah Moreno,UNH: Maryland / LIU / UNH / GW,VT,9.700,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,9.95,9.95,9.75,9.65
1,3,Amelia Lannon,UNH: Maryland / LIU / UNH / GW,VT,9.700,,,,,,,1/9/2026,Maryland / GW / UNH / LIU,10.00,10.00,9.70,9.70
