Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Jake Islam,Michigan: Michigan / Greenville / Simpson,FX,13.150,4.9,8.350,0.1,,Y,Y,1/10/2026,Michigan / Simpson / Greenville,4.9,1.7,1.6
1,2,Eli Osuna,Michigan: Michigan / Greenville / Simpson,FX,13.000,5.0,8.400,0.4,,Y,Y,1/10/2026,Michigan / Simpson / Greenville,5.0,1.5,1.7
1,3,Solen Chiodi,Michigan: Michigan / Greenville / Simpson,FX,13.650,5.3,8.350,,,Y,Y,1/10/2026,Michigan / Simpson / Greenville,5.3,1.8,1.5
1,4,Chase Pappas,Michigan: Michigan / Greenville / Simpson,FX,12.700,4.5,8.200,,,,,1/10/2026,Michigan / Simpson / Greenville,4.5,1.9,1.7
1,1,Jake Smith,Simpson: Michigan / Greenville / Simpson,FX,12.000,4.8,7.200,,,,,1/10/2026,Michigan / Simpson / Greenville,4.8,2.8,2.8
1,2,Alex Campbell,Simpson: Michigan / Greenville / Simpson,FX,11.900,4.3,7.600,,,,,1/10/2026,Michigan / Simpson / Greenville,4.3,2.4,2.4
1,3,Braxton Jones,Simpson: Michigan / Greenville / Simpson,FX,13.200,4.7,8.500,,,,,1/10/2026,Michigan / Simpson / Greenville,4.7,1.4,1.6
1,4,Christopher Duane,Simpson: Michigan / Greenville / Simpson,FX,12.850,4.3,8.550,,,,,1/10/2026,Michigan / Simpson / Greenville,4.3,1.4,1.5
1,1,Kyler Hinson,Greenville: Michigan / Greenville / Simpson,FX,13.500,4.7,8.700,,0.1,,,1/10/2026,Michigan / Simpson / Greenville,4.7,1.3,1.3
1,2,Andres Esquivel-Garza,Greenville: Michigan / Greenville / Simpson,FX,11.650,4.4,7.250,,,Y,Y,1/10/2026,Michigan / Simpson / Greenville,4.4,2.8,2.7
1,3,Elijah Cruz,Greenville: Michigan / Greenville / Simpson,FX,13.000,4.7,8.300,,,Y,Y,1/10/2026,Michigan / Simpson / Greenville,4.7,1.8,1.6
1,4,Jaxon Clapper,Greenville: Michigan / Greenville / Simpson,FX,12.700,4.8,7.900,,,,,1/10/2026,Michigan / Simpson / Greenville,4.8,2.1,2.1
2,1,Zach Granados,Michigan: Michigan / Greenville / Simpson,PH,13.150,4.8,8.350,,,,,1/10/2026,Michigan / Simpson / Greenville,4.8,1.6,1.7
