Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Arianna Ostrum,Minnesota,VT,9.700,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.70,9.70
1,2,Ava Stewart,Minnesota,VT,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.85
1,3,Emma Slevin,Minnesota,VT,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.85,9.85
1,4,Teryn Crump,Minnesota,VT,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.80
1,5,Sarah Moraw,Minnesota,VT,9.750,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.75,9.75
1,6,Gianna Gerdes,Minnesota,VT,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.85
1,7,Isabella Nguyen,Minnesota,VT,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.70,9.75
1,8,Megan Steensland,Minnesota,VT,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.70,9.75
1,1,Ja’Leigh Lang,Arkansas,VT,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.80,9.80
1,2,Leah Smith,Arkansas,VT,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.80,9.75
1,3,Allison Cucci,Arkansas,VT,9.900,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.95
1,4,Hailey Klein,Arkansas,VT,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.70,9.75
1,5,Lauren Williams,Arkansas,VT,9.900,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.95,9.85
1,6,Morgan Price,Arkansas,VT,9.875,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.90
1,7,Priscilla Park,Arkansas,VT,9.675,,,,,,,1/10/2026,Minnesota vs Arkansas,9.95,9.95,9.65,9.70
2,1,Gianna Gerdes,Minnesota,UB,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.80
2,2,Teryn Crump,Minnesota,UB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.75
2,3,Arianna Ostrum,Minnesota,UB,9.600,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.65,9.55
2,4,Emma Slevin,Minnesota,UB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.75
2,5,Lacie Saltzmann,Minnesota,UB,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.85
2,6,Jordyn Lyden,Minnesota,UB,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.85
2,7,Sophia Nguyen,Minnesota,UB,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.75,9.70
2,8,Isabella Nguyen,Minnesota,UB,8.900,,,,,,,1/10/2026,Minnesota vs Arkansas,9.90,10.00,8.80,9.00
2,1,Joscelyn Roberson,Arkansas,UB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.75,9.80
2,2,Hailey Klein,Arkansas,UB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.75
2,3,Leah Smith,Arkansas,UB,9.875,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.90,9.85
2,4,Cally Swaney,Arkansas,UB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.70,9.85
2,5,Allison Cucci,Arkansas,UB,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.80
2,6,Morgan Price,Arkansas,UB,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.85
2,7,Avalon Campbell,Arkansas,UB,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.75,9.70
2,8,Addison Bare,Arkansas,UB,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.75
3,1,Arianna Ostrum,Minnesota,BB,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.90
3,2,Gianna Gerdes,Minnesota,BB,9.925,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.90,9.95
3,3,Sarah Moraw,Minnesota,BB,9.900,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.95,9.85
3,4,Brooklyn Rowray,Minnesota,BB,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.90
3,5,Lauren Pearl,Minnesota,BB,9.775,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.75
3,6,Jordyn Lyden,Minnesota,BB,9.900,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.90,9.90
3,7,Ava Stewart,Minnesota,BB,9.625,,,,,,,1/10/2026,Minnesota vs Arkansas,9.80,9.80,9.65,9.60
3,8,Emma Slevin,Minnesota,BB,9.750,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.70,9.80
3,1,Madison Gustitus,Arkansas,BB,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.80
3,2,Hailey Klein,Arkansas,BB,9.750,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.75,9.75
3,3,Allison Cucci,Arkansas,BB,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.85
3,4,Cami Weaver,Arkansas,BB,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.90,9.80
3,5,Morgan Price,Arkansas,BB,9.450,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.40,9.50
3,6,Joscelyn Roberson,Arkansas,BB,9.950,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.95,9.95
3,7,Priscilla Park,Arkansas,BB,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.70,9.75
4,1,Jordyn Lyden,Minnesota,FX,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.85
4,2,Lacie Saltzmann,Minnesota,FX,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.85
4,3,Sophie Swartzmiller,Minnesota,FX,9.875,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.90
4,4,Leah Gonsiorowski,Minnesota,FX,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.85
4,5,Arianna Ostrum,Minnesota,FX,9.875,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.90
4,6,Gianna Gerdes,Minnesota,FX,9.600,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.65,9.55
4,7,Lauren Pearl,Minnesota,FX,9.125,,,,,,,1/10/2026,Minnesota vs Arkansas,9.80,9.00,9.10,9.15
4,8,Megan Steensland,Minnesota,FX,9.725,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.65,9.80
4,1,Hailey Klein,Arkansas,FX,9.825,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.80
4,2,Cami Weaver,Arkansas,FX,9.800,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.80,9.80
4,3,Leah Smith,Arkansas,FX,9.850,,,,,,,1/10/2026,Minnesota vs Arkansas,10.00,10.00,9.85,9.85
