Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Matthew Underhill,Penn State,FX,13.350,5.0,8.350,,,,,1/11/2026,Penn State vs Army,5.0,1.5,1.8
1,2,Brayden Erickson,Penn State,FX,12.550,4.8,7.650,,0.1,,,1/11/2026,Penn State vs Army,4.8,2.3,2.4
1,3,Eliran Ioscovich,Penn State,FX,12.450,4.5,8.050,0.1,,,,1/11/2026,Penn State vs Army,4.5,2.0,1.9
1,4,Shaun Smith,Penn State,FX,13.150,5.1,8.050,,,,,1/11/2026,Penn State vs Army,5.1,2.0,1.9
1,1,Jaden Blank,Army,FX,12.850,4.5,8.350,,,,,1/11/2026,Penn State vs Army,4.5,1.5,1.8
1,2,Nick Lester,Army,FX,12.300,4.4,7.800,,0.1,,,1/11/2026,Penn State vs Army,4.4,2.2,2.2
1,3,Max Rubin,Army,FX,12.350,4.6,7.750,,,,,1/11/2026,Penn State vs Army,4.6,2.3,2.2
1,4,Thomas Morrow,Army,FX,12.400,4.3,8.000,,0.1,,,1/11/2026,Penn State vs Army,4.3,1.8,2.2
2,1,Bobby Alessio,Penn State,PH,12.600,4.6,8.000,,,,,1/11/2026,Penn State vs Army,4.6,1.9,2.1
2,2,Ricky Perez,Penn State,PH,12.350,4.7,7.650,,,,,1/11/2026,Penn State vs Army,4.7,2.2,2.5
2,3,Landon Simpson,Penn State,PH,13.350,4.7,8.650,,,,,1/11/2026,Penn State vs Army,4.7,1.4,1.3
2,4,Kacper Garnczarek,Penn State,PH,13.700,5.0,8.700,,,,,1/11/2026,Penn State vs Army,5.0,1.4,1.2
2,1,Felipe Junqueira,Army,PH,12.050,4.2,7.850,,,,,1/11/2026,Penn State vs Army,4.2,2.0,2.3
2,2,Noah Duran,Army,PH,12.050,4.8,7.250,,,,,1/11/2026,Penn State vs Army,4.8,2.7,2.8
2,3,Jake Prabhakaran,Army,PH,13.300,4.5,8.800,,,,,1/11/2026,Penn State vs Army,4.5,1.1,1.3
2,4,Maddox Pabellon,Army,PH,13.850,5.5,8.350,,,,,1/11/2026,Penn State vs Army,5.5,1.8,1.5
3,1,Ritam Malik,Penn State,SR,11.850,3.7,8.150,,,,,1/11/2026,Penn State vs Army,3.7,1.8,1.9
