Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Jordan Loock,TWU,VT,9.600,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.60,9.60
1,2,Sophie Hernandez,TWU,VT,9.700,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.65,9.75
1,3,Kyleigh Ghanbari,TWU,VT,9.600,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.55,9.65
1,4,Maddy Murphy,TWU,VT,9.625,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.70,9.55
1,5,Alaina Reid,TWU,VT,9.750,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.75,9.75
1,6,Sophia Isbell,TWU,VT,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.85
1,1,Layla Bobek,Pitt,VT,9.725,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.75,9.70
1,2,Lila Pileggi,Pitt,VT,9.700,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.70,9.70
1,3,Olivia Giunta,Pitt,VT,9.725,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.70,9.75
1,4,Lailah Green,Pitt,VT,9.750,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.70,9.80
1,5,Kennedy Duke,Pitt,VT,9.675,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.70,9.65
1,6,Makenzie Grant,Pitt,VT,9.700,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.95,9.65,9.75
1,7,Meika Lee,Pitt,VT,9.675,,,,,,,1/11/2026,TWU vs Pitt,9.95,9.90,9.65,9.70
2,1,Bailey Bourgeois,TWU,UB,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.75
2,2,Kami Zarlengo,TWU,UB,9.700,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.65,9.75
2,3,Juliaunna Baker,TWU,UB,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.85
2,4,Alaina Reid,TWU,UB,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.75,9.80
2,5,Brooke Ferrari,TWU,UB,9.900,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.90,9.90
2,6,Caroline Bowns,TWU,UB,9.800,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.80
2,7,Jordan Loock,TWU,UB,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,9.90,9.80,9.75
2,1,Kennedy Duke,Pitt,UB,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.75
2,2,Meika Lee,Pitt,UB,9.175,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.30,9.05
2,3,Jaime Pratt,Pitt,UB,9.850,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.85
2,4,Camryn Chiu,Pitt,UB,9.850,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.90,9.80
2,5,Emily Todd,Pitt,UB,9.850,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.85
2,6,Hallie Copperwheat,Pitt,UB,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.85
2,7,Julie Madso,Pitt,UB,9.675,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.65,9.70
3,1,Sophie Hernandez,TWU,BB,9.725,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.65
3,2,Alaina Reid,TWU,BB,9.800,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.75
3,3,Sofia Steffan,TWU,BB,8.750,,,,,,,1/11/2026,TWU vs Pitt,9.80,9.80,8.90,8.60
3,4,Caroline Bowns,TWU,BB,9.725,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.75,9.70
3,5,Ruby Goad,TWU,BB,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.75
3,6,Sophia Isbell,TWU,BB,9.850,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.85
3,7,Amane’ Glenn,TWU,BB,9.475,,,,,,,1/11/2026,TWU vs Pitt,9.80,9.80,9.40,9.25
3,1,Meika Lee,Pitt,BB,9.750,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.70
3,2,Emily Todd,Pitt,BB,9.125,,,,,,,1/11/2026,TWU vs Pitt,9.90,9.90,9.20,9.05
3,3,Layla Bobek,Pitt,BB,9.750,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.75,9.75
3,4,Camryn Chiu,Pitt,BB,9.850,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.85
3,5,Mali Morgan,Pitt,BB,9.375,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.40,9.35
3,6,Hallie Copperwheat,Pitt,BB,9.800,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.80
3,7,Julie Madso,Pitt,BB,9.800,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.75
4,1,Kami Zarlengo,TWU,FX,9.750,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.75,9.75
4,2,Bailey Bourgeois,TWU,FX,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.80
4,3,Kyleigh Ghanbari,TWU,FX,9.900,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.90,9.90
4,4,Sophia Isbell,TWU,FX,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.80
4,5,Sophie Hernandez,TWU,FX,9.825,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.85
4,1,Mali Morgan,Pitt,FX,9.775,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.75
4,2,Madi Bell,Pitt,FX,9.750,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.70
4,3,Jaime Pratt,Pitt,FX,9.675,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.65,9.70
4,4,McKenzie Clark,Pitt,FX,9.825,,,,,,Y,1/11/2026,TWU vs Pitt,10.00,10.00,9.80,9.85
4,5,Meika Lee,Pitt,FX,9.900,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.90,9.90
4,6,Hallie Copperwheat,Pitt,FX,9.800,,,,,,,1/11/2026,TWU vs Pitt,10.00,10.00,9.85,9.75
4,7,Kennedy Duke,Pitt,FX,8.450,,,,,,,1/11/2026,TWU vs Pitt,9.50,9.50,8.60,8.30
