Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Amaya McConkay,UW-Oshkosh,VT,9.725,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.90,9.90,9.70,9.75
1,2,Ome Ellis,UW-Oshkosh,VT,9.775,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.95,9.95,9.80,9.75
1,3,Kris Phillips,UW-Oshkosh,VT,9.675,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.95,9.95,9.70,9.65
1,4,Hannah Hughes,UW-Oshkosh,VT,9.775,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.95,9.95,9.75,9.80
1,5,Averie Evans,UW-Oshkosh,VT,9.600,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.95,9.95,9.60,9.60
1,6,Reanna McGibboney,UW-Oshkosh,VT,9.700,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.95,9.95,9.70,9.70
1,7,Kasha Muraski,UW-Oshkosh,VT,9.575,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.90,9.90,9.65,9.50
1,8,Talynn Rae Gallegos,UW-Oshkosh,VT,9.625,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.60,9.65
1,1,Clara Gilles,Hamline,VT,9.300,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.60,9.75,9.35,9.25
1,2,Ashley Savell,Hamline,VT,8.450,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.60,9.60,8.50,8.40
1,3,Cailey Price,Hamline,VT,9.350,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.60,9.60,9.35,9.35
1,4,Elena Bailey,Hamline,VT,9.525,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.75,9.75,9.55,9.50
1,5,Laurel Raymond,Hamline,VT,9.150,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.75,9.75,9.15,9.15
1,6,Sydney Stoenner,Hamline,VT,8.700,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.80,9.80,8.70,8.70
1,7,Maura Erickson,Hamline,VT,9.075,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.50,9.50,8.95,9.20
1,8,Anna Beaudry,Hamline,VT,8.525,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.50,9.50,8.50,8.55
2,1,Hannah Hughes,UW-Oshkosh,UB,9.675,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.75,9.60
2,2,Hadley Bretschneider,UW-Oshkosh,UB,9.500,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.50,9.50
2,3,Reanna McGibboney,UW-Oshkosh,UB,8.775,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.70,9.70,8.65,8.90
2,4,Averie Evans,UW-Oshkosh,UB,9.675,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.65,9.70
2,5,Lydia Hayden,UW-Oshkosh,UB,9.350,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.35,9.35
2,6,Amaya McConkay,UW-Oshkosh,UB,9.550,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.60,9.50
2,7,Brylie Chamness,UW-Oshkosh,UB,9.125,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.00,9.25
2,1,Emma Witterstaetter,Hamline,UB,7.200,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.70,9.70,6.80,7.60
2,2,Ashley Savell,Hamline,UB,6.975,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.20,9.50,7.25,6.70
2,3,Annelise Smaby,Hamline,UB,7.325,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.40,9.40,7.25,7.40
2,4,Clara Gilles,Hamline,UB,8.725,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.80,9.80,8.65,8.80
2,5,Carly Banta,Hamline,UB,8.125,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.40,9.40,8.35,7.90
2,6,Ava Walters,Hamline,UB,6.750,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.60,9.60,6.50,7.00
2,7,Elena Bailey,Hamline,UB,8.200,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.70,9.70,8.30,8.10
2,8,Avery Hitchcock,Hamline,UB,7.450,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.50,9.50,7.50,7.40
3,1,Jay Ratkowski,UW-Oshkosh,BB,9.500,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.40,9.60
3,2,Emma Steele,UW-Oshkosh,BB,9.000,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,9.80,9.80,9.10,8.90
3,3,Jurnee Warkentien,UW-Oshkosh,BB,9.300,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.30,9.30
3,4,Hannah Hughes,UW-Oshkosh,BB,9.500,,,,,,,1/15/2026,UW-Oshkosh vs Hamline,10.00,10.00,9.40,9.60
