Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Addisyn Hofseth,Kentucky,VT,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.75,9.80
1,2,Cecily Rizo,Kentucky,VT,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.85,9.85
1,3,Callie Gardner,Kentucky,VT,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.80
1,4,Ryan Noonan,Kentucky,VT,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.80
1,5,Delaynee Rodriguez,Kentucky,VT,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
1,6,Anna Flynn Cashion,Kentucky,VT,9.950,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.95,9.95
1,1,Safia El Mammann,Arizona State,VT,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.70,9.80
1,2,Lilia Purler,Arizona State,VT,9.800,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.80,9.80
1,3,Delanie Kelly,Arizona State,VT,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.70,9.80
1,4,Kylee Bromley,Arizona State,VT,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.80,9.75
1,5,Kimberly Smith,Arizona State,VT,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.80,9.85
1,6,Halle Gregoire,Arizona State,VT,9.800,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.80,9.80
1,7,Robyn Wilson,Arizona State,VT,9.625,,,,,,,1/16/2026,Kentucky vs Arizona State,9.95,9.95,9.55,9.70
2,1,Cecily Rizo,Kentucky,UB,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.80
2,2,Ryan Noonan,Kentucky,UB,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.80
2,3,Gabby Van Frayen,Kentucky,UB,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.75
2,4,Chesney Bennett,Kentucky,UB,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.80
2,5,Isabella Rivelli,Kentucky,UB,9.150,,,,,,,1/16/2026,Kentucky vs Arizona State,9.90,10.00,9.05,9.25
2,6,Delaynee Rodriguez,Kentucky,UB,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.80
2,7,Sabrina Nemcek,Kentucky,UB,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.70,9.85
2,1,Kayla Lee,Arizona State,UB,9.000,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.00,9.00
2,2,Safia El Mammann,Arizona State,UB,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.75
2,3,Halle Gregoire,Arizona State,UB,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.70,9.80
2,4,Kylee Bromley,Arizona State,UB,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
2,5,Reese Grolla,Arizona State,UB,9.650,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.70,9.60
2,6,Kimberly Smith,Arizona State,UB,9.875,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.90,9.85
2,7,Halle Braaflat,Arizona State,UB,9.675,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.65,9.70
3,1,Sharon Lee,Kentucky,BB,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.70,9.80
3,2,Cecily Rizo,Kentucky,BB,9.250,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.25,9.25
3,3,Chesney Bennett,Kentucky,BB,9.250,,,,,,,1/16/2026,Kentucky vs Arizona State,9.90,9.90,9.30,9.20
3,4,Cadence Gormley,Kentucky,BB,8.900,,,,,,,1/16/2026,Kentucky vs Arizona State,9.60,9.60,8.85,8.95
3,5,Gabby Van Frayen,Kentucky,BB,8.900,,,,,,,1/16/2026,Kentucky vs Arizona State,9.60,9.60,8.80,9.00
3,6,Delaynee Rodriguez,Kentucky,BB,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
3,7,Addisyn Hofseth,Kentucky,BB,8.925,,,,,,,1/16/2026,Kentucky vs Arizona State,9.60,9.60,8.90,8.95
3,1,Kayla Lee,Arizona State,BB,9.850,,,,,,Y,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
3,2,Delanie Kelly,Arizona State,BB,9.675,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.65,9.70
3,3,Safia El Mammann,Arizona State,BB,9.650,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.60,9.70
3,4,Kylee Bromley,Arizona State,BB,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
3,5,Reese Grolla,Arizona State,BB,9.675,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.65,9.70
3,6,Kimberly Smith,Arizona State,BB,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.80
3,7,Jessica Rosenberg,Arizona State,BB,9.650,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.60,9.70
4,1,Gabby Van Frayen,Kentucky,FX,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
4,2,Chesney Bennett,Kentucky,FX,9.800,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.80,9.80
4,3,Callie Gardner,Kentucky,FX,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.80
4,4,Cecily Rizo,Kentucky,FX,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.80,9.75
4,5,Delaynee Rodriguez,Kentucky,FX,9.875,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.90,9.85
4,6,Isabella Rivelli,Kentucky,FX,9.600,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,9.90,9.70,9.50
4,1,Kayla Lee,Arizona State,FX,9.775,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.80
4,2,Tiara Platkin,Arizona State,FX,9.800,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.75,9.85
4,3,Kylee Bromley,Arizona State,FX,9.750,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.80,9.70
4,4,Halle Gregoire,Arizona State,FX,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
4,5,Delanie Kelly,Arizona State,FX,9.850,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.85
4,6,Kimberly Smith,Arizona State,FX,9.825,,,,,,,1/16/2026,Kentucky vs Arizona State,10.00,10.00,9.85,9.80
4,7,Halle Braaflat,Arizona State,FX,8.700,,,,,,,1/16/2026,Kentucky vs Arizona State,9.00,9.30,8.70,8.70
