Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ja' Free Scott,Georgia,VT,9.825,,,,,,,1/16/2026,Georgia vs LSU,9.95,9.95,9.80,9.85
1,2,Avery Moll,Georgia,VT,9.900,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.90
1,3,CaMarah Williams,Georgia,VT,9.775,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.75
1,4,Nyla Aquino,Georgia,VT,9.900,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.90
1,5,Ady Wahl,Georgia,VT,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
1,6,Jaydah Battle,Georgia,VT,9.750,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.75,9.75
1,1,Lexi Zeiss,LSU,VT,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
1,2,Madison Ulrich,LSU,VT,9.800,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.80
1,3,Victoria Roberts,LSU,VT,9.650,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.65,9.65
1,4,Kathryn Weilbacher,LSU,VT,9.525,,,,,,,1/16/2026,Georgia vs LSU,10.00,9.95,9.60,9.45
1,5,Amari Drayton,LSU,VT,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
1,6,Kailin Chio,LSU,VT,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.90
2,1,Ady Wahl,Georgia,UB,9.775,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.75
2,2,Holly Snyder,Georgia,UB,9.875,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.90
2,3,Kelise Woolford,Georgia,UB,9.775,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.75
2,4,Ja' Free Scott,Georgia,UB,9.900,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.95
2,5,Autumn Reingold,Georgia,UB,9.200,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.20,9.20
2,6,Lily Smith,Georgia,UB,9.950,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.95
2,1,Lexi Zeiss,LSU,UB,9.900,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.95
2,2,Ashley Cowan,LSU,UB,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
2,3,Madison Ulrich,LSU,UB,9.825,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.80
2,4,Kailin Chio,LSU,UB,9.300,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.25,9.35
2,5,Courtney Blackson,LSU,UB,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.90
2,6,Konnor McClain,LSU,UB,9.950,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.95
3,1,Harley Tomlin,Georgia,BB,9.825,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.85
3,2,Anya Turner,Georgia,BB,9.075,,,,,,,1/16/2026,Georgia vs LSU,9.70,9.80,9.05,9.10
3,3,Kelise Woolford,Georgia,BB,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.80
3,4,Lily Smith,Georgia,BB,9.725,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.70,9.75
3,5,Ja' Free Scott,Georgia,BB,9.875,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.85
3,6,Holly Snyder,Georgia,BB,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.90
3,1,Kylie Coen,LSU,BB,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.80
3,2,Lexi Zeiss,LSU,BB,9.875,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.85
3,3,Amari Drayton,LSU,BB,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.90
3,4,Kailin Chio,LSU,BB,9.950,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.95
3,5,Madison Ulrich,LSU,BB,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.90
3,6,Konnor McClain,LSU,BB,9.800,,,,,Y,,1/16/2026,Georgia vs LSU,10.00,10.00,9.75,9.85
4,1,Harley Tomlin,Georgia,FX,9.825,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.85
4,2,Ady Wahl,Georgia,FX,9.825,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.85
4,3,Holly Snyder,Georgia,FX,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
4,4,CaMarah Williams,Georgia,FX,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.95
4,5,Nyla Aquino,Georgia,FX,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.95
4,6,Lily Smith,Georgia,FX,9.950,,,,,,Y,1/16/2026,Georgia vs LSU,10.00,10.00,9.95,9.95
4,1,Emily Innes,LSU,FX,9.800,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.80
4,2,Madison Ulrich,LSU,FX,9.800,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.80,9.80
4,3,Konnor McClain,LSU,FX,8.975,,,,,,,1/16/2026,Georgia vs LSU,9.80,9.70,9.00,8.95
4,4,Kailin Chio,LSU,FX,9.850,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.85,9.85
4,5,Amari Drayton,LSU,FX,9.575,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.55,9.60
4,6,Kaliya Lincoln,LSU,FX,9.925,,,,,,,1/16/2026,Georgia vs LSU,10.00,10.00,9.90,9.95
