Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Kennedy Griffin,Missouri,VT,9.850,,,,,,,1/16/2026,Missouri vs Oklahoma,9.95,9.95,9.85,9.85
1,2,Kaia Tanskanen,Missouri,VT,9.800,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.80,9.80
1,3,Railey Jackson,Missouri,VT,9.850,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.85,9.85
1,4,Kimarra Echols,Missouri,VT,9.850,,,,,,,1/16/2026,Missouri vs Oklahoma,9.95,9.95,9.80,9.90
1,5,Elise Tisler,Missouri,VT,9.850,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.85,9.85
1,6,Hannah Horton,Missouri,VT,9.900,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.90,9.90
1,1,Elizabeth Blessey,Oklahoma,VT,9.925,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.95,9.90
1,2,Addison Fatta,Oklahoma,VT,9.900,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.90,9.90
1,3,Keira Wells,Oklahoma,VT,9.925,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.90,9.95
1,4,Mackenzie Estep,Oklahoma,VT,9.925,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.95,9.90
1,5,Faith Torrez,Oklahoma,VT,9.900,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.90,9.90
1,6,Lily Pederson,Oklahoma,VT,9.800,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.75,9.85
2,1,Addison Lawrence,Missouri,UB,9.500,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.40,9.60
2,2,Lauren Macpherson,Missouri,UB,9.725,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.70,9.75
2,3,Olivia Kelly,Missouri,UB,9.750,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.70,9.80
2,4,Hannah Horton,Missouri,UB,9.800,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.80,9.80
2,5,Kimarra Echols,Missouri,UB,9.825,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.85,9.80
2,6,Makayla Green,Missouri,UB,9.725,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.70,9.75
2,1,Hannah Scheible,Oklahoma,UB,9.775,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.80,9.75
2,2,Lily Pederson,Oklahoma,UB,9.825,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.85,9.80
2,3,Mackenzie Estep,Oklahoma,UB,9.825,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.80,9.85
2,4,Ella Murphy,Oklahoma,UB,9.850,,,,,,,1/16/2026,Missouri vs Oklahoma,10.00,10.00,9.85,9.85
