Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lily Millington,UWL,VT,9.450,,,,,,,1/16/2026,UWL vs Greenville,9.90,9.90,9.50,9.40
1,2,Ava Kaspryzcki,UWL,VT,9.700,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.65,9.75
1,3,Ashley Dalton,UWL,VT,9.575,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.55,9.60
1,4,Cobi Powell,UWL,VT,9.800,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.80,9.80
1,5,Sarah Pastore,UWL,VT,9.700,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.65,9.75
1,6,Paige Breckwoldt,UWL,VT,9.675,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.70,9.65
1,7,Darby Savage,UWL,VT,9.400,,,,,,,1/16/2026,UWL vs Greenville,9.90,9.90,9.40,9.40
1,8,Adeline Snyder,UWL,VT,8.825,,,,,,,1/16/2026,UWL vs Greenville,9.90,9.90,8.85,8.80
1,1,Roya Zehtab,Greenville,VT,8.375,,,,,,,1/16/2026,UWL vs Greenville,9.80,9.80,8.35,8.40
1,2,Amara Nelson,Greenville,VT,9.675,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.65,9.70
1,3,Isabella Feltman,Greenville,VT,9.400,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.45,9.35
1,4,Reese Clapper,Greenville,VT,9.625,,,,,,,1/16/2026,UWL vs Greenville,9.95,9.95,9.60,9.65
1,5,Reagan Rodriguez,Greenville,VT,9.400,,,,,,,1/16/2026,UWL vs Greenville,9.80,9.80,9.40,9.40
1,6,Ellery Gilmer,Greenville,VT,9.650,,,,,,,1/16/2026,UWL vs Greenville,9.80,9.80,9.70,9.60
2,1,Ashlyn Barker,UWL,UB,8.850,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,8.80,8.90
2,2,Ava Sitek,UWL,UB,9.450,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.35,9.55
2,3,Azia Hawkins,UWL,UB,9.575,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.50,9.65
2,4,Morgan Engels,UWL,UB,8.650,,,,,,,1/16/2026,UWL vs Greenville,9.80,9.90,8.70,8.60
2,5,Claire Robbins,UWL,UB,9.675,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.70,9.65
2,6,Madalyn McCormick,UWL,UB,9.675,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.70,9.65
2,7,Lainey Vogt,UWL,UB,9.425,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.30,9.55
2,8,Ava Kaspryzcki,UWL,UB,9.275,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.30,9.25
2,1,Madison Carter,Greenville,UB,9.525,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.55,9.50
2,2,Aubrey Kenimer,Greenville,UB,9.475,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.45,9.50
2,3,Madison Ford,Greenville,UB,9.375,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.40,9.35
2,4,Reagan Rodriguez,Greenville,UB,8.875,,,,,,,1/16/2026,UWL vs Greenville,9.90,9.80,8.75,9.00
2,5,Emma Brannon,Greenville,UB,9.275,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.20,9.35
2,6,Amara Nelson,Greenville,UB,9.475,,,,,,,1/16/2026,UWL vs Greenville,9.90,9.90,9.45,9.50
3,1,Lucy Warren,UWL,BB,9.700,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.80,9.60
3,2,Lainey Vogt,UWL,BB,9.700,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.65,9.75
3,3,Darby Savage,UWL,BB,9.500,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.50,9.50
3,4,Claire Robbins,UWL,BB,9.725,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.65,9.80
3,5,Madalyn McCormick,UWL,BB,9.700,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.70,9.70
3,6,Raina Christenson,UWL,BB,9.600,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.65,9.55
3,7,Cobi Powell,UWL,BB,9.400,,,,,,,1/16/2026,UWL vs Greenville,10.00,10.00,9.35,9.45
3,8,Marisa Stewart,UWL,BB,9.400,,,,,,,1/16/2026,UWL vs Greenville,10.00,9.90,9.30,9.50
