Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Alexandra Reddick,CMU,VT,9.525,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.55,9.50
1,2,Luciana Alvarado-Reid,CMU,VT,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.65,9.75
1,3,Samantha Shannon,CMU,VT,9.725,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.75,9.70
1,4,Avah Bootz,CMU,VT,9.800,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.80,9.80
1,5,Ava Wellmeier,CMU,VT,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.65,9.75
1,6,Lia Kmieciak,CMU,VT,8.800,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,8.80,8.80
1,7,Jenna Germond,CMU,VT,9.525,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.55,9.50
1,8,Paige Hasling,CMU,VT,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.75,9.65
1,1,Hannah Milton,Western Michigan,VT,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.75,9.65
1,2,Aliyah Kelly,Western Michigan,VT,9.600,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.65,9.55
1,3,Kennedy Cooper,Western Michigan,VT,9.650,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.65,9.65
1,4,Brooke Gelesko,Western Michigan,VT,9.800,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.75,9.85
1,5,Isabella Ciolfi,Western Michigan,VT,9.775,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.75,9.80
1,6,Makenna King,Western Michigan,VT,9.825,,,,,,,1/18/2026,CMU vs Western Michigan,9.95,9.95,9.80,9.85
2,1,Kaitlyn Schwab,CMU,UB,9.825,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.80,9.85
2,2,Ava Wellmeier,CMU,UB,9.825,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.85,9.80
2,3,Samantha Shannon,CMU,UB,9.750,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.75,9.75
2,4,Gabrielle Johnson,CMU,UB,9.200,,,,,,,1/18/2026,CMU vs Western Michigan,9.80,9.70,9.30,9.10
2,5,Luciana Alvarado-Reid,CMU,UB,9.850,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.85,9.85
2,6,Lia Kmieciak,CMU,UB,9.900,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.90,9.90
2,7,Maylee Wendle,CMU,UB,9.000,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.10,8.90
2,1,Reilan Garvey,Western Michigan,UB,9.725,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.75,9.70
2,2,Aliyah Kelly,Western Michigan,UB,9.250,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.30,9.20
2,3,Reese Samuelson,Western Michigan,UB,9.750,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.70,9.80
2,4,Kate Parks,Western Michigan,UB,9.725,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.75,9.70
2,5,Makenna King,Western Michigan,UB,9.750,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.70,9.80
2,6,Julie Korfhage,Western Michigan,UB,9.775,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.85,9.70
2,7,Amy Robins,Western Michigan,UB,9.000,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.00,9.00
2,8,Sidnei Heubach,Western Michigan,UB,9.550,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.50,9.60
3,1,Ashlyn Richards,CMU,BB,9.675,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.60,9.75
3,2,Avah Bootz,CMU,BB,9.650,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.65,9.65
3,3,Gabrielle Johnson,CMU,BB,9.500,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.50,9.50
3,4,Zoie Pelfrey,CMU,BB,9.800,,,,,,Y,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.75,9.85
3,5,Samantha Shannon,CMU,BB,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.70,9.70
3,6,Luciana Alvarado-Reid,CMU,BB,9.600,,,,,Y,Y,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.65,9.55
3,7,Jenna Germond,CMU,BB,9.000,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,9.90,9.10,8.90
3,8,Alisia Murray,CMU,BB,8.675,,,,,,,1/18/2026,CMU vs Western Michigan,9.60,9.60,8.60,8.75
3,1,Reilan Garvey,Western Michigan,BB,9.550,,,,,,,1/18/2026,CMU vs Western Michigan,9.70,10.00,9.45,9.65
3,2,Isabella Ciolfi,Western Michigan,BB,9.675,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.65,9.70
3,3,Molly Sabin,Western Michigan,BB,9.600,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.60,9.60
3,4,Linda Uro,Western Michigan,BB,9.025,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.05,9.00
3,5,Reese Samuelson,Western Michigan,BB,9.700,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.75,9.65
3,6,Hannah Milton,Western Michigan,BB,9.750,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.70,9.80
3,7,Julie Korfhage,Western Michigan,BB,9.750,,,,,,,1/18/2026,CMU vs Western Michigan,10.00,10.00,9.80,9.70
