Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Madelynn Farragher,Ithaca,VT,9.325,,,,,,,1/18/2026,Ithaca vs Ursinus,9.75,9.75,9.40,9.25
1,2,Sh'Nai Thompson,Ithaca,VT,9.300,,,,,,,1/18/2026,Ithaca vs Ursinus,9.75,9.75,9.30,9.30
1,3,Mya John,Ithaca,VT,9.400,,,,,,,1/18/2026,Ithaca vs Ursinus,9.75,9.75,9.30,9.50
1,4,Lauren Babineaux,Ithaca,VT,9.525,,,,,,,1/18/2026,Ithaca vs Ursinus,9.80,9.80,9.50,9.55
1,5,Natalie Steed,Ithaca,VT,9.475,,,,,,,1/18/2026,Ithaca vs Ursinus,9.95,9.95,9.50,9.45
1,6,Grace Murray,Ithaca,VT,9.700,,,,,,,1/18/2026,Ithaca vs Ursinus,9.90,9.90,9.65,9.75
1,1,Lily Stewart,Ursinus,VT,9.350,,,,,,,1/18/2026,Ithaca vs Ursinus,9.75,9.75,9.30,9.40
1,2,Valentina Hurtado,Ursinus,VT,9.300,,,,,,,1/18/2026,Ithaca vs Ursinus,9.80,9.80,9.40,9.20
1,3,LeeLee Sanders,Ursinus,VT,9.325,,,,,,,1/18/2026,Ithaca vs Ursinus,9.75,9.75,9.30,9.35
1,4,Michaela Duffy,Ursinus,VT,9.550,,,,,,,1/18/2026,Ithaca vs Ursinus,9.90,9.90,9.50,9.60
1,5,Sidney Schreiber,Ursinus,VT,9.700,,,,,,,1/18/2026,Ithaca vs Ursinus,9.95,9.95,9.70,9.70
1,6,Erin Roe,Ursinus,VT,9.725,,,,,,,1/18/2026,Ithaca vs Ursinus,9.95,9.95,9.70,9.75
2,1,Lucy Kaupp,Ithaca,UB,9.075,,,,,,,1/18/2026,Ithaca vs Ursinus,9.70,9.70,9.25,8.90
2,2,Sh'Nai Thompson,Ithaca,UB,9.100,,,,,,,1/18/2026,Ithaca vs Ursinus,9.60,9.60,8.90,9.30
2,3,Olivia Lane,Ithaca,UB,8.100,,,,,,,1/18/2026,Ithaca vs Ursinus,9.40,9.40,8.20,8.00
2,4,Sienna Blake,Ithaca,UB,9.275,,,,,,,1/18/2026,Ithaca vs Ursinus,9.90,9.90,9.30,9.25
2,5,Mya John,Ithaca,UB,9.600,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,9.90,9.65,9.55
2,6,Lauren Babineaux,Ithaca,UB,8.650,,,,,,,1/18/2026,Ithaca vs Ursinus,9.40,9.40,8.65,8.65
2,1,Lauren Coleman,Ursinus,UB,8.500,,,,,,,1/18/2026,Ithaca vs Ursinus,9.60,9.60,8.50,8.50
2,2,Brianna Duffy,Ursinus,UB,9.225,,,,,,,1/18/2026,Ithaca vs Ursinus,9.80,9.80,9.15,9.30
2,3,Lucy Warburton,Ursinus,UB,9.425,,,,,,,1/18/2026,Ithaca vs Ursinus,9.90,10.00,9.35,9.50
2,4,LeeLee Sanders,Ursinus,UB,8.775,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,9.90,8.75,8.80
2,5,Erin Roe,Ursinus,UB,9.675,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.60,9.75
2,6,Kylie Ruggiero,Ursinus,UB,8.175,,,,,,,1/18/2026,Ithaca vs Ursinus,9.40,9.40,8.15,8.20
3,1,Emili Horike,Ithaca,BB,9.550,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.60,9.50
3,2,Leanne Desjardins,Ithaca,BB,9.600,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.65,9.55
3,3,Mya John,Ithaca,BB,9.700,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.70,9.70
3,4,Corey Foster,Ithaca,BB,9.650,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.65,9.65
3,5,Jillian Freyman,Ithaca,BB,9.625,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.70,9.55
3,6,Emily Kobusky,Ithaca,BB,9.200,,,,,,,1/18/2026,Ithaca vs Ursinus,10.00,10.00,9.15,9.25
3,7,Camden Contakos,Ithaca,BB,8.700,,,,,,,1/18/2026,Ithaca vs Ursinus,9.80,9.90,8.70,8.70
3,8,Lucy Kaupp,Ithaca,BB,8.800,,,,,,,1/18/2026,Ithaca vs Ursinus,9.80,9.80,8.60,9.00
