Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Haley Miller,Utica,VT,9.325,,,,,,Y,1/23/2026,Utica vs Cortland,9.75,9.60,9.45,9.20
1,2,Joscelyn Wabick,Utica,VT,9.025,,,,,,,1/23/2026,Utica vs Cortland,9.80,9.80,9.10,8.95
1,3,Olivia Rosen,Utica,VT,9.275,,,,,,,1/23/2026,Utica vs Cortland,9.60,9.60,9.30,9.25
1,4,Jenna DiPalo,Utica,VT,9.450,,,,,,,1/23/2026,Utica vs Cortland,9.75,9.75,9.50,9.40
1,5,Alisya Dorman,Utica,VT,9.600,,,,,,,1/23/2026,Utica vs Cortland,9.80,9.80,9.55,9.65
1,6,Grace Marra,Utica,VT,9.475,,,,,,,1/23/2026,Utica vs Cortland,9.75,9.75,9.50,9.45
1,1,Marisa Frascatore,Cortland,VT,9.450,,,,,,,1/23/2026,Utica vs Cortland,9.75,9.75,9.40,9.50
1,2,Tessa Sutton,Cortland,VT,9.450,,,,,,,1/23/2026,Utica vs Cortland,9.75,9.75,9.50,9.40
1,3,Gianna Mirigliano,Cortland,VT,9.550,,,,,,,1/23/2026,Utica vs Cortland,9.95,9.95,9.55,9.55
1,4,Kyleigh Brown,Cortland,VT,9.475,,,,,,,1/23/2026,Utica vs Cortland,9.95,9.95,9.50,9.45
1,5,Olivia Chapman,Cortland,VT,9.450,,,,,,,1/23/2026,Utica vs Cortland,9.95,9.95,9.35,9.55
1,6,Tayah Graham,Cortland,VT,9.400,,,,,,,1/23/2026,Utica vs Cortland,9.95,9.95,9.30,9.50
1,7,Samantha Meadows,Cortland,VT,9.175,,,,,,,1/23/2026,Utica vs Cortland,9.95,9.95,9.15,9.20
2,1,Alisya Dorman,Utica,UB,8.475,,,,,,,1/23/2026,Utica vs Cortland,9.30,9.30,8.45,8.50
2,2,Grace Marra,Utica,UB,8.850,,,,,,,1/23/2026,Utica vs Cortland,9.70,9.70,8.90,8.80
2,3,Christina Troche,Utica,UB,7.525,,,,,,,1/23/2026,Utica vs Cortland,9.20,9.20,7.50,7.55
2,4,Claire Rieder,Utica,UB,9.050,,,,,,,1/23/2026,Utica vs Cortland,9.60,9.60,9.00,9.10
2,5,Camille Lindley,Utica,UB,9.700,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.75,9.65
2,6,Alyssa Langston,Utica,UB,9.600,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.60,9.60
2,1,Aria Roberts,Cortland,UB,9.575,,,,,,,1/23/2026,Utica vs Cortland,9.90,10.00,9.55,9.60
2,2,Olivia Chapman,Cortland,UB,9.700,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.70,9.70
2,3,Emily Baradic,Cortland,UB,9.550,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.55,9.55
2,4,Kiana Wong,Cortland,UB,9.550,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.60,9.50
2,5,Kathryn McSweeney,Cortland,UB,8.925,,,,,,,1/23/2026,Utica vs Cortland,9.70,9.70,8.95,8.90
2,6,Autumn Adkins,Cortland,UB,9.600,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,9.65,9.55
2,7,Amy Hamilton,Cortland,UB,8.925,,,,,,,1/23/2026,Utica vs Cortland,10.00,10.00,8.95,8.90
