Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Safia El Mammann,Arizona State,VT,9.725,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.70,9.75
1,2,Jessica Rosenberg,Arizona State,VT,9.800,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.80,9.80
1,3,Lilia Purler,Arizona State,VT,9.775,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.80,9.75
1,4,Delanie Kelly,Arizona State,VT,9.750,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.75,9.75
1,5,Kimberly Smith,Arizona State,VT,9.850,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.85,9.85
1,6,Halle Gregoire,Arizona State,VT,9.725,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.70
1,7,Halle Braaflat,Arizona State,VT,9.625,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.60,9.65
1,1,Mya Kirkham,BYU,VT,9.775,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.80,9.75
1,2,Daisy Stephenson,BYU,VT,9.775,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.75,9.80
1,3,Scarlett Sonnenberg,BYU,VT,9.750,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.75
1,4,Deb Silva,BYU,VT,9.800,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.80,9.80
1,5,Ava Jorgensen,BYU,VT,9.825,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.80
1,6,Kylie Eaquinto,BYU,VT,9.800,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.80,9.80
1,7,Chloee Hoke,BYU,VT,9.750,,,,,,,1/23/2026,Arizona State vs BYU,9.95,9.95,9.75,9.75
2,1,Kayla Lee,Arizona State,UB,9.650,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.60,9.70
2,2,Delanie Kelly,Arizona State,UB,9.750,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.75
2,3,Nina Laurito,Arizona State,UB,9.475,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.55,9.40
2,4,Kylee Bromley,Arizona State,UB,9.800,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.80
2,5,Reese Grolla,Arizona State,UB,9.775,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.75
2,6,Kimberly Smith,Arizona State,UB,9.875,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.90
2,7,Adele Ossi,Arizona State,UB,9.600,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.65,9.55
2,1,Mya Kirkham,BYU,UB,9.750,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.75
2,2,Addilyn Glazier,BYU,UB,9.800,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.75
2,3,Deb Silva,BYU,UB,9.850,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.85
2,4,Kylie Eaquinto,BYU,UB,9.750,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.75
2,5,Ava Jorgensen,BYU,UB,9.900,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.90,9.90
2,6,Alilah Alvarado,BYU,UB,9.775,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.75
2,7,Zoe Hale,BYU,UB,9.000,,,,,,,1/23/2026,Arizona State vs BYU,9.85,9.60,9.10,8.90
3,1,Kayla Lee,Arizona State,BB,9.825,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.85
3,2,Jessica Rosenberg,Arizona State,BB,9.775,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.75
3,3,Safia El Mammann,Arizona State,BB,8.850,,,,,,,1/23/2026,Arizona State vs BYU,9.70,9.60,8.80,8.90
3,4,Kylee Bromley,Arizona State,BB,9.800,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.85
3,5,Reese Grolla,Arizona State,BB,9.825,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.85
3,6,Kimberly Smith,Arizona State,BB,9.850,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.85
3,7,Isabella Kowan,Arizona State,BB,9.550,,,,,,,1/23/2026,Arizona State vs BYU,10.00,9.70,9.65,9.45
3,1,Scarlett Sonnenberg,BYU,BB,9.825,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.80
3,2,Hazel Smith,BYU,BB,8.950,,,,,,,1/23/2026,Arizona State vs BYU,9.70,9.70,8.90,9.00
3,3,Ava Jorgensen,BYU,BB,9.025,,,,,,,1/23/2026,Arizona State vs BYU,9.70,9.70,9.00,9.05
3,4,Chloee Hoke,BYU,BB,9.775,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.75,9.80
3,5,Alilah Alvarado,BYU,BB,9.800,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.80,9.80
3,6,Brynlee Andersen-Broekman,BYU,BB,9.875,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.90,9.85
3,7,Kylie Eaquinto,BYU,BB,9.825,,,,,,,1/23/2026,Arizona State vs BYU,10.00,10.00,9.85,9.80
