Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lexi Zeiss,LSU,VT,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.90
1,2,Konnor McClain,LSU,VT,9.825,,,,,,,1/23/2026,LSU vs Kentucky,9.95,9.95,9.80,9.85
1,3,Nina Ballou,LSU,VT,9.750,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.70,9.80
1,4,Amari Drayton,LSU,VT,9.700,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.70,9.70
1,5,Kaliya Lincoln,LSU,VT,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.80,9.85
1,6,Kailin Chio,LSU,VT,9.950,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.95
1,1,Addisyn Hofseth,Kentucky,VT,9.650,,,,,,,1/23/2026,LSU vs Kentucky,9.95,9.95,9.65,9.65
1,2,Cecily Rizo,Kentucky,VT,9.825,,,,,,,1/23/2026,LSU vs Kentucky,9.95,9.95,9.80,9.85
1,3,Callie Gardner,Kentucky,VT,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.80
1,4,Ryan Noonan,Kentucky,VT,9.875,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.90
1,5,Delaynee Rodriguez,Kentucky,VT,9.775,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.75,9.80
1,6,Anna Flynn Cashion,Kentucky,VT,9.875,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.90
2,1,Lexi Zeiss,LSU,UB,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.90
2,2,Ashley Cowan,LSU,UB,9.875,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.85
2,3,Madison Ulrich,LSU,UB,9.850,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.85
2,4,Kailin Chio,LSU,UB,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.90
2,5,Courtney Blackson,LSU,UB,9.950,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.95
2,6,Konnor McClain,LSU,UB,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.90
2,1,Cecily Rizo,Kentucky,UB,9.725,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.75,9.70
2,2,Ryan Noonan,Kentucky,UB,9.875,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.85
2,3,Gabby Van Frayen,Kentucky,UB,9.725,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.75,9.70
2,4,Chesney Bennett,Kentucky,UB,9.775,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.80,9.75
2,5,Isabella Rivelli,Kentucky,UB,9.275,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.20,9.35
2,6,Delaynee Rodriguez,Kentucky,UB,9.875,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.85
3,1,Kylie Coen,LSU,BB,9.850,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.85
3,2,Lexi Zeiss,LSU,BB,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.80,9.85
3,3,Amari Drayton,LSU,BB,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.90
3,4,Kaliya Lincoln,LSU,BB,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.95
3,5,Konnor McClain,LSU,BB,9.950,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.95
3,6,Kailin Chio,LSU,BB,10.000,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,10.00,10.00
3,1,Sharon Lee,Kentucky,BB,9.075,,,,,,,1/23/2026,LSU vs Kentucky,10.00,9.90,9.05,9.10
3,2,Cecily Rizo,Kentucky,BB,9.125,,,,,Y,Y,1/23/2026,LSU vs Kentucky,10.00,10.00,9.00,9.25
3,3,Chesney Bennett,Kentucky,BB,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.80
3,4,Creslyn Brose,Kentucky,BB,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.80,9.85
3,5,Gabby Van Frayen,Kentucky,BB,9.850,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.85
3,6,Delaynee Rodriguez,Kentucky,BB,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.90
4,1,Emily Innes,LSU,FX,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.90
4,2,Nina Ballou,LSU,FX,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.95
4,3,Kylie Coen,LSU,FX,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.75
4,4,Amari Drayton,LSU,FX,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.95
4,5,Kailin Chio,LSU,FX,9.925,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.95
4,6,Kaliya Lincoln,LSU,FX,9.950,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.95,9.95
4,1,Gabby Van Frayen,Kentucky,FX,9.775,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.70,9.85
4,2,Chesney Bennett,Kentucky,FX,9.825,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.80
4,3,Callie Gardner,Kentucky,FX,9.725,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.80,9.65
4,4,Cecily Rizo,Kentucky,FX,9.725,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.65,9.80
4,5,Delaynee Rodriguez,Kentucky,FX,9.850,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.85,9.85
4,6,Creslyn Brose,Kentucky,FX,9.900,,,,,,,1/23/2026,LSU vs Kentucky,10.00,10.00,9.90,9.90
