Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Malia Narciso,Gustavus,VT,9.375,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.80,9.80,9.40,9.35
1,2,Ella Nash,Gustavus,VT,9.275,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.75,9.80,9.30,9.25
1,3,Cecilia Athie,Gustavus,VT,8.650,,,,,,Y,1/23/2026,Gustavus vs UW-Oshkosh,9.90,9.90,8.50,8.80
1,4,Zara Reboks,Gustavus,VT,9.275,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.75,9.75,9.25,9.30
1,5,Kate Clairmont,Gustavus,VT,9.650,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.95,9.95,9.70,9.60
1,6,Cara Wong,Gustavus,VT,9.625,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.90,9.90,9.65,9.60
1,7,Taylor Hall,Gustavus,VT,8.950,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.50,9.50,8.85,9.05
1,1,Amaya McConkay,UW-Oshkosh,VT,9.700,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.90,9.90,9.70,9.70
1,2,Kris Phillips,UW-Oshkosh,VT,9.725,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.95,9.95,9.70,9.75
1,3,Averie Evans,UW-Oshkosh,VT,9.575,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.95,9.95,9.50,9.65
1,4,Ome Ellis,UW-Oshkosh,VT,9.650,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.95,9.95,9.70,9.60
1,5,Hannah Hughes,UW-Oshkosh,VT,9.650,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.95,9.95,9.75,9.55
1,6,Talynn Rae Gallegos,UW-Oshkosh,VT,9.725,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,1.00,1.00,9.75,9.70
1,7,Kasha Muraski,UW-Oshkosh,VT,9.725,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.90,9.90,9.75,9.70
2,1,Makenna Aldrich,Gustavus,UB,7.975,,,,,,,1/23/2026,Gustavus vs UW-Oshkosh,9.00,9.30,7.60,8.35
