Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Tamyra Singletary,Bridgeport,VT,9.625,,,,,Y,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.90,9.90,9.70,9.55
1,2,Lena Coxon,Bridgeport,VT,9.600,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.90,9.90,9.65,9.55
1,3,Emily Hernandez,Bridgeport,VT,9.725,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.95,9.95,9.75,9.70
1,4,Brooklyn Weingardt,Bridgeport,VT,9.200,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.95,9.95,9.15,9.25
1,5,Abigail Kenney,Bridgeport,VT,9.775,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.95,9.95,9.80,9.75
1,6,Nova Staruk,Bridgeport,VT,9.850,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,10.00,10.00,9.90,9.80
1,7,Rae Solis,Bridgeport,VT,9.350,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.75,9.75,9.40,9.30
1,1,Sophie Tressler,Brown,VT,9.550,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.75,9.75,9.55,9.55
1,2,Gabby Mautner,Brown,VT,9.550,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.90,9.90,9.50,9.60
1,3,Emily Ford,Brown,VT,9.725,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.90,9.90,9.75,9.70
1,4,Lulu Ton-That,Brown,VT,9.750,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.95,9.95,9.75,9.75
1,5,Sophia Dewar,Brown,VT,9.775,,,,,,,1/24/2026,Bridgeport / Brown / LIU / Springfield,9.95,9.95,9.80,9.75
