Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Annalise Newman-Achee,California,VT,9.775,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.80,9.75
1,2,Tonya Paulsson,California,VT,9.775,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.80,9.75
1,3,Casey Brown,California,VT,9.850,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.85,9.85
1,4,Mya Wiley,California,VT,9.700,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.70,9.70
1,5,Jayden Silvers,California,VT,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.85
1,6,Kyen Mayhew,California,VT,9.850,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.85
1,7,Sarah Lee,California,VT,9.700,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.70,9.70
1,1,Lauren Wright,NC State,VT,9.750,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.80,9.70
1,2,Emerson Fisk,NC State,VT,9.650,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.65,9.65
1,3,Autumn Rardin,NC State,VT,9.700,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.65,9.75
1,4,Ava Myers,NC State,VT,9.825,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.85,9.80
1,5,Syniya Thomas,NC State,VT,9.825,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.85,9.80
1,6,Ashley Knight,NC State,VT,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
1,7,Jenna Rusk,NC State,VT,9.800,,,,,,,1/24/2026,California vs NC State,9.95,9.95,9.80,9.80
2,1,Miki Aderinto,California,UB,9.750,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.70
2,2,Mya Wiley,California,UB,9.850,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.85
2,3,Annalise Newman-Achee,California,UB,9.875,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.90
2,4,Sage Melkonian,California,UB,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
2,5,Casey Brown,California,UB,9.625,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.65,9.60
2,6,Tonya Paulsson,California,UB,9.750,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.70
2,7,Sarah Lee,California,UB,9.600,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.55,9.65
2,1,Ava Myers,NC State,UB,9.775,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.75
2,2,Jenna Rusk,NC State,UB,9.650,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.60,9.70
2,3,Madeline Reid,NC State,UB,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.85
2,4,Caroline Volk,NC State,UB,9.675,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.70,9.65
2,5,Elle Hadrick,NC State,UB,9.875,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.90,9.85
2,6,Katie Harper,NC State,UB,9.750,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.75
2,7,Emerson Fisk,NC State,UB,9.700,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.65
3,1,Sage Melkonian,California,BB,9.750,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.70,9.80
3,2,Sarah Lee,California,BB,9.750,,,,,Y,,1/24/2026,California vs NC State,10.00,9.90,9.80,9.70
3,3,Tonya Paulsson,California,BB,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.85
3,4,Miki Aderinto,California,BB,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.85
3,5,Abbey Scanlon,California,BB,9.250,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.25,9.25
3,6,Annalise Newman-Achee,California,BB,9.725,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.70
3,7,Casey Brown,California,BB,9.700,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.65,9.75
3,1,Katie Harper,NC State,BB,9.225,,,,,,,1/24/2026,California vs NC State,9.90,9.90,9.20,9.25
3,2,Caroline Volk,NC State,BB,9.575,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.60,9.55
3,3,Autumn Rardin,NC State,BB,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
3,4,Maddie Hall,NC State,BB,9.725,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.70
3,5,Adasyn Tackett,NC State,BB,9.850,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.85
3,6,Syniya Thomas,NC State,BB,9.775,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.80
3,7,Meg Adler,NC State,BB,9.100,,,,,,,1/24/2026,California vs NC State,9.80,9.80,9.10,9.10
4,1,Annalise Newman-Achee,California,FX,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
4,2,Jayden Silvers,California,FX,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.80
4,3,CJ Keuneke,California,FX,9.850,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.90
4,4,Sarah Lee,California,FX,9.750,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.75
4,5,Kyen Mayhew,California,FX,9.150,,,,,,,1/24/2026,California vs NC State,9.90,9.90,9.10,9.20
4,6,Tonya Paulsson,California,FX,9.875,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.90,9.85
4,7,Casey Brown,California,FX,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.80
4,1,Katie Harper,NC State,FX,9.775,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.75,9.80
4,2,Jenna Rusk,NC State,FX,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
4,3,Emerson Fisk,NC State,FX,9.525,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.45,9.60
4,4,Autumn Rardin,NC State,FX,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.80
4,5,Elle Hadrick,NC State,FX,9.825,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.85
4,6,Syniya Thomas,NC State,FX,9.850,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.85,9.85
4,7,Meg Adler,NC State,FX,9.800,,,,,,,1/24/2026,California vs NC State,10.00,10.00,9.80,9.80
