Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Alana Walker,Stanford,VT,9.700,,,,,,,1/25/2026,Stanford vs Clemson,9.95,9.95,9.70,9.70
1,2,Ana Barbosu,Stanford,VT,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.85
1,3,Summer Gronski,Stanford,VT,9.825,,,,,,,1/25/2026,Stanford vs Clemson,9.95,9.95,9.85,9.80
1,4,Ui Soma,Stanford,VT,7.800,,,,,,,1/25/2026,Stanford vs Clemson,8.80,8.80,7.90,7.70
1,5,Taralyn Nguyen,Stanford,VT,9.725,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.75,9.70
1,6,Anna Roberts,Stanford,VT,9.900,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.90,9.90
1,7,Levi Jung-Ruivivar,Stanford,VT,9.650,,,,,,,1/25/2026,Stanford vs Clemson,9.95,9.95,9.65,9.65
1,1,Madison Minner,Clemson,VT,9.725,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.75,9.70
1,2,Eve Jackson,Clemson,VT,9.725,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.70,9.75
1,3,Maggie Holman,Clemson,VT,9.775,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.75,9.80
1,4,Brie Clark,Clemson,VT,9.675,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.65,9.70
1,5,Ella Cesario,Clemson,VT,9.725,,,,,,,1/25/2026,Stanford vs Clemson,9.95,9.95,9.75,9.70
1,6,Tara Walsh,Clemson,VT,9.775,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.80,9.75
1,7,Paige Anastasi,Clemson,VT,9.750,,,,,,,1/25/2026,Stanford vs Clemson,9.95,9.95,9.75,9.75
2,1,Levi Jung-Ruivivar,Stanford,UB,9.900,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.90,9.90
2,2,Ava Sorrento,Stanford,UB,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.85
2,3,Sienna Robinson,Stanford,UB,9.925,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.95,9.90
2,4,Anna Roberts,Stanford,UB,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.80,9.90
2,5,Ana Barbosu,Stanford,UB,9.825,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.80
2,6,Ui Soma,Stanford,UB,9.825,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.80
2,7,Jaime Dugan,Stanford,UB,9.825,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.80,9.85
2,1,Lilly Lippeatt,Clemson,UB,9.775,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.75,9.80
2,2,Hannah Clark,Clemson,UB,9.875,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.90
2,3,Emma Malewski,Clemson,UB,9.825,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.80
2,4,Eve Jackson,Clemson,UB,9.200,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.20,9.20
2,5,Ella Cesario,Clemson,UB,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.90,9.80
2,6,Takoda Berry,Clemson,UB,9.825,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.80,9.85
2,7,Quinn Kuhl,Clemson,UB,9.600,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.55,9.65
3,1,Claire Dean,Stanford,BB,9.875,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.85,9.90
3,2,Levi Jung-Ruivivar,Stanford,BB,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.80,9.90
3,3,Sienna Robinson,Stanford,BB,9.850,,,,,,,1/25/2026,Stanford vs Clemson,10.00,10.00,9.90,9.80
