Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,MaKayla Tucker,Michigan State,VT,9.750,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.75
1,2,Korynne Marquart,Michigan State,VT,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.70,9.85
1,3,Cady Duplissis,Michigan State,VT,9.900,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.90
1,4,Nikki Smith,Michigan State,VT,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.85
1,5,Olivia Zsarmani,Michigan State,VT,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.90
1,6,Sage Kellerman,Michigan State,VT,9.925,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.90
1,7,Retoshia Halsell,Michigan State,VT,9.800,,,,,,,1/25/2026,Michigan State vs UCLA,9.95,9.95,9.80,9.80
1,1,Tiana Sumanasekera,UCLA,VT,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,9.95,9.95,9.75,9.80
1,2,Jordis Eichman,UCLA,VT,9.750,,,,,,,1/25/2026,Michigan State vs UCLA,9.95,9.95,9.75,9.75
1,3,Katelyn Rosen,UCLA,VT,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.90
1,4,Riley Jenkins,UCLA,VT,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.85
1,5,Ashlee Sullivan,UCLA,VT,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.85
1,6,Jordan Chiles,UCLA,VT,9.975,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,10.00
1,7,Madisyn Anyimi,UCLA,VT,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,9.95,9.95,9.85,9.80
2,1,Naya Howard,Michigan State,UB,9.800,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.80
2,2,MaKayla Tucker,Michigan State,UB,9.000,,,,,,,1/25/2026,Michigan State vs UCLA,9.90,9.80,9.10,8.90
2,3,Nikki Smith,Michigan State,UB,9.725,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.70
2,4,Lilia Cosman,Michigan State,UB,9.725,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.70,9.75
2,5,Olivia Zsarmani,Michigan State,UB,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.85
2,6,Sage Kellerman,Michigan State,UB,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.85
2,7,Kendall Abney,Michigan State,UB,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.80
2,1,Katelyn Rosen,UCLA,UB,9.525,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.55,9.50
2,2,Ciena Alipio,UCLA,UB,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.90
2,3,Sydney Barros,UCLA,UB,9.900,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.85
2,4,Tiana Sumanasekera,UCLA,UB,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.90
2,5,Ashlee Sullivan,UCLA,UB,9.750,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.75
2,6,Jordan Chiles,UCLA,UB,9.950,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.95
2,7,Jordis Eichman,UCLA,UB,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.80
3,1,Cady Duplissis,Michigan State,BB,9.750,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.70
3,2,Kendall Abney,Michigan State,BB,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.85
3,3,MaKayla Tucker,Michigan State,BB,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.90
3,4,Nikki Smith,Michigan State,BB,9.925,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.95
3,5,Isabella Trostel,Michigan State,BB,9.100,,,,,,,1/25/2026,Michigan State vs UCLA,9.70,9.70,9.15,9.05
3,6,Lilia Cosman,Michigan State,BB,9.900,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.85
3,7,Naya Howard,Michigan State,BB,9.225,,,,,,,1/25/2026,Michigan State vs UCLA,9.90,9.90,9.25,9.20
3,1,Katelyn Rosen,UCLA,BB,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.75
3,2,Ashlee Sullivan,UCLA,BB,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.80,9.75
3,3,Tiana Sumanasekera,UCLA,BB,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.80
3,4,Jordis Eichman,UCLA,BB,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.80
3,5,Jordan Chiles,UCLA,BB,9.950,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,10.00,9.90
3,6,Ciena Alipio,UCLA,BB,9.950,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.95
3,7,Sydney Barros,UCLA,BB,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.80
4,1,Stephanie Lebster,Michigan State,FX,9.875,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.85
4,2,Lilia Cosman,Michigan State,FX,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.80
4,3,Cady Duplissis,Michigan State,FX,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.70
4,4,Gabi Ortiz,Michigan State,FX,9.775,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.80
4,5,MaKayla Tucker,Michigan State,FX,9.925,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.95,9.90
4,6,Nikki Smith,Michigan State,FX,9.925,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.95
4,7,Emma Misenheimer,Michigan State,FX,9.800,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.75,9.85
4,1,Katelyn Rosen,UCLA,FX,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.85
4,2,Ciena Alipio,UCLA,FX,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.80
4,3,Sydney Barros,UCLA,FX,9.900,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.95
4,4,Tiana Sumanasekera,UCLA,FX,9.850,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.90,9.80
4,5,Ashlee Sullivan,UCLA,FX,9.825,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,9.85,9.80
4,6,Jordan Chiles,UCLA,FX,10.000,,,,,,,1/25/2026,Michigan State vs UCLA,10.00,10.00,10.00,10.00
