Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Lily Aucoin,Yale,VT,9.600,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.65,9.55
1,2,Annie Bilbe,Yale,VT,9.625,,,,,,,1/27/2026,Yale vs UNH,9.90,9.90,9.55,9.70
1,3,Ashley Stafford,Yale,VT,9.700,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.70,9.70
1,4,Ella Tashjian,Yale,VT,9.800,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.80,9.80
1,5,Gigi Sabatini,Yale,VT,9.625,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.65,9.60
1,6,Lauren Burt,Yale,VT,9.850,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.85,9.85
1,7,Ella Hargreaves,Yale,VT,9.500,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.50,9.50
1,1,Poulina Minaev,UNH,VT,9.550,,,,,,,1/27/2026,Yale vs UNH,9.90,9.90,9.65,9.45
1,2,Leah Moreno,UNH,VT,9.375,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.40,9.35
1,3,Amelia Lannon,UNH,VT,9.475,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.50,9.45
1,4,Serena Mullin,UNH,VT,9.800,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.80,9.80
1,5,Mady Harvey,UNH,VT,9.775,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.80,9.75
1,6,Gwen Ockerbloom,UNH,VT,9.800,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.80,9.80
1,7,Stacy Boss,UNH,VT,9.675,,,,,,,1/27/2026,Yale vs UNH,9.95,9.95,9.65,9.70
2,1,Lauren Holt,Yale,UB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.65
2,2,Gigi Sabatini,Yale,UB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.60,9.70
2,3,Lily Aucoin,Yale,UB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.60,9.70
2,4,Charlotte Zaun,Yale,UB,9.750,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.75
2,5,Ellie Kearns,Yale,UB,9.625,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.60,9.65
2,6,Chloe DeJoy,Yale,UB,9.425,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.45,9.40
2,7,Hailey Kriz,Yale,UB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.55,9.75
2,1,Poulina Minaev,UNH,UB,9.600,,,,,,Y,1/27/2026,Yale vs UNH,9.90,9.90,9.60,9.60
2,2,Mady Harvey,UNH,UB,9.800,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.80,9.80
2,3,Leah Moreno,UNH,UB,9.700,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.75
2,4,Peyton Novinger,UNH,UB,8.900,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,8.90,8.90
2,5,Serena Mullin,UNH,UB,9.825,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.85,9.80
2,6,Zoe Arthur,UNH,UB,9.050,,,,,,Y,1/27/2026,Yale vs UNH,10.00,10.00,9.10,9.00
2,7,Abby Scherban,UNH,UB,9.675,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.70
2,8,Gwen Ockerbloom,UNH,UB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.60,9.70
3,1,Hailey Kriz,Yale,BB,9.725,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.80
3,2,Gigi Sabatini,Yale,BB,9.750,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.75
3,3,Charlotte Zaun,Yale,BB,9.750,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.80
3,4,Ella Tashjian,Yale,BB,9.675,,,,,,,1/27/2026,Yale vs UNH,9.90,9.90,9.65,9.70
3,5,Allie Forbes,Yale,BB,9.550,,,,,,,1/27/2026,Yale vs UNH,9.80,9.80,9.55,9.55
3,6,Hana Strause,Yale,BB,9.525,,,,,,,1/27/2026,Yale vs UNH,9.90,9.90,9.50,9.55
3,7,Ella Hargreaves,Yale,BB,8.275,,,,,,,1/27/2026,Yale vs UNH,9.60,9.60,8.25,8.30
3,8,Megan Brueck,Yale,BB,9.425,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.40,9.45
3,1,Poulina Minaev,UNH,BB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.65
3,2,Riley Himes,UNH,BB,9.800,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.85
3,3,Amelia Lannon,UNH,BB,9.250,,,,,,,1/27/2026,Yale vs UNH,9.60,10.00,9.10,9.40
3,4,Gwen Ockerbloom,UNH,BB,9.775,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.80,9.75
3,5,Serena Mullin,UNH,BB,9.725,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.70
3,6,Mady Harvey,UNH,BB,9.875,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.85,9.90
3,7,McCall McMullen,UNH,BB,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.60
3,8,Shannon Stivala,UNH,BB,9.675,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.65
4,1,Hana Strause,Yale,FX,9.750,,,,,,Y,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.80
4,2,Megan Brueck,Yale,FX,9.700,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.65
4,3,Gigi Sabatini,Yale,FX,9.850,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.80,9.90
4,4,Chloe DeJoy,Yale,FX,9.750,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.75
4,5,Ella Tashjian,Yale,FX,9.025,,,,,,,1/27/2026,Yale vs UNH,9.90,9.80,9.10,8.95
4,6,Annie Bilbe,Yale,FX,9.775,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.80
4,7,Lauren Burt,Yale,FX,9.525,,,0.1,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.65,9.60
4,1,Riley Himes,UNH,FX,9.675,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.65
4,2,Stacy Boss,UNH,FX,9.750,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.70,9.80
4,3,Gwen Ockerbloom,UNH,FX,9.800,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.85
4,4,McCall McMullen,UNH,FX,9.850,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.80,9.90
4,5,Poulina Minaev,UNH,FX,9.675,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.75,9.60
4,6,Serena Mullin,UNH,FX,9.875,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.85,9.90
4,7,Peyton Novinger,UNH,FX,9.650,,,,,,,1/27/2026,Yale vs UNH,10.00,10.00,9.60,9.70
4,8,Cléante Théorêt,UNH,FX,9.450,,,,,,,1/27/2026,Yale vs UNH,9.90,10.00,9.35,9.55
