Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Abby Brushwood,Eastern Michigan,VT,9.575,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.50,9.65
1,2,Kyrie Lowe,Eastern Michigan,VT,9.400,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.40,9.40
1,3,Gwendelyn Cantu,Eastern Michigan,VT,9.700,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.75,9.65
1,4,Savanna Dunwoody,Eastern Michigan,VT,9.675,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.65,9.70
1,5,Kendall Landry,Eastern Michigan,VT,9.625,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.60,9.65
1,6,Georgie Slack,Eastern Michigan,VT,9.625,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.95,9.95,9.70,9.55
1,7,Macy Nihart,Eastern Michigan,VT,9.550,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.90,9.90,9.50,9.60
1,1,Mikayla Clements,Wilberforce,VT,9.025,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.50,9.50,8.90,9.15
1,2,Mackenzie Butler,Wilberforce,VT,9.100,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.60,9.50,9.00,9.20
1,3,Diamond Cook,Wilberforce,VT,9.425,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.75,9.75,9.45,9.40
1,4,Kaleigh Garner,Wilberforce,VT,9.225,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.75,9.75,9.30,9.15
1,5,Mya Caines,Wilberforce,VT,9.200,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.75,9.75,9.20,9.20
1,6,Sadara Mayhorn,Wilberforce,VT,8.925,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,9.80,9.05,8.80
1,7,Jaidyn Bryant,Wilberforce,VT,9.150,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.75,9.75,9.10,9.20
2,1,Analiah Solorio,Eastern Michigan,UB,9.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.65,9.65
2,2,Gwendelyn Cantu,Eastern Michigan,UB,8.875,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.70,9.70,8.70,9.05
2,3,Sanai Evans,Eastern Michigan,UB,8.800,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,9.90,8.50,9.10
2,4,Keeley Kohler,Eastern Michigan,UB,9.175,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.90,9.90,9.00,9.35
2,5,Kyrie Lowe,Eastern Michigan,UB,9.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.65,9.65
2,6,Georgie Slack,Eastern Michigan,UB,9.525,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.60,9.45
2,7,Jaelyn Stetz,Eastern Michigan,UB,9.300,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.20,9.40
2,1,Mya Caines,Wilberforce,UB,8.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.50,9.50,8.40,8.90
2,1,Mya Caines,Wilberforce,UB,8.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.50,9.50,8.40,8.90
2,2,Madison Kelly,Wilberforce,UB,9.075,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.60,9.60,9.05,9.10
3,1,Katin Childress,Eastern Michigan,BB,9.725,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.70,9.75
3,2,Keeley Kohler,Eastern Michigan,BB,8.850,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,9.80,8.90,8.80
3,3,Macy Nihart,Eastern Michigan,BB,9.625,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.60,9.65
3,4,Jacquelyn Patterson,Eastern Michigan,BB,9.850,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.85,9.85
3,5,Analiah Solorio,Eastern Michigan,BB,9.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.80,9.50
3,6,Kyrie Lowe,Eastern Michigan,BB,9.150,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,9.80,9.15,9.15
3,7,Genae Daniel,Eastern Michigan,BB,9.700,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.75,9.65
3,1,Sydney Smith,Wilberforce,BB,8.775,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.50,9.50,8.85,8.70
3,2,Mya Caines,Wilberforce,BB,8.400,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.60,9.60,8.30,8.50
3,3,Saniah Smith,Wilberforce,BB,9.500,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.45,9.55
3,4,Madison Kelly,Wilberforce,BB,9.500,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,10.00,9.45,9.55
3,5,Jaidyn Bryant,Wilberforce,BB,9.600,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.55,9.65
3,6,Myca Kelly,Wilberforce,BB,7.150,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.30,9.20,7.10,7.20
3,7,Mackenzie Butler,Wilberforce,BB,8.200,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.70,9.70,8.20,8.20
4,1,Kyrie Lowe,Eastern Michigan,FX,9.675,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.60,9.75
4,2,Sanai Evans,Eastern Michigan,FX,9.500,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.50,9.50
4,3,Savanna Dunwoody,Eastern Michigan,FX,9.650,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.75,9.55
4,4,Macy Nihart,Eastern Michigan,FX,9.600,,,0.1,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.65,9.75
4,5,Priya Karle,Eastern Michigan,FX,9.750,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.70,9.80
4,6,Abby Brushwood,Eastern Michigan,FX,9.825,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.80,9.85
4,1,Madison Kelly,Wilberforce,FX,9.375,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.80,9.90,9.25,9.50
4,2,Kaleigh Garner,Wilberforce,FX,8.400,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.60,9.60,8.30,8.50
4,3,Mya Caines,Wilberforce,FX,8.500,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,9.50,9.70,8.40,8.60
4,4,Saniah Smith,Wilberforce,FX,9.575,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.55,9.60
4,5,Diamond Cook,Wilberforce,FX,9.700,,,,,,,1/29/2026,Eastern Michigan vs Wilberforce,10.00,10.00,9.65,9.75
