Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Kennedy Griffin,Missouri,VT,9.800,,,,,,,1/30/2026,Missouri vs LSU,9.95,9.95,9.80,9.80
1,2,Railey Jackson,Missouri,VT,9.950,,,,,,,1/30/2026,Missouri vs LSU,9.95,9.95,9.95,9.95
1,3,Kaia Tanskanen,Missouri,VT,9.850,,,,,,,1/30/2026,Missouri vs LSU,10.00,9.95,9.85,9.85
1,4,Kimarra Echols,Missouri,VT,9.800,,,,,,,1/30/2026,Missouri vs LSU,9.95,9.95,9.85,9.75
1,5,Elise Tisler,Missouri,VT,9.775,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.75,9.80
1,6,Hannah Horton,Missouri,VT,9.875,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.85,9.90
1,1,Lexi Zeiss,LSU,VT,9.775,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.75,9.80
1,2,Konnor McClain,LSU,VT,9.825,,,,,,,1/30/2026,Missouri vs LSU,9.95,9.95,9.85,9.80
1,3,Courtney Blackson,LSU,VT,9.900,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.90,9.90
1,4,Amari Drayton,LSU,VT,9.950,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.95,9.95
1,5,Kaliya Lincoln,LSU,VT,9.800,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.80,9.80
1,6,Kailin Chio,LSU,VT,9.950,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.95,9.95
2,1,Lauren Macpherson,Missouri,UB,9.800,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.85,9.75
2,2,Olivia Kelly,Missouri,UB,9.825,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.85,9.80
2,3,Makayla Green,Missouri,UB,9.825,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.80,9.85
2,4,Maiya Terry,Missouri,UB,9.825,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.85,9.80
2,5,Hannah Horton,Missouri,UB,9.950,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.95,9.95
2,6,Kimarra Echols,Missouri,UB,9.925,,,,,,,1/30/2026,Missouri vs LSU,10.00,10.00,9.90,9.95
