Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Sydney Kho,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.750,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.70,9.80
1,2,Miraya Nero,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.725,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.80,9.65
1,3,Bridget Kemp,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.775,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.75,9.80
1,4,Lexi Caffall,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.650,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.60,9.70
1,5,Noelle Ball,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.775,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,10.00,10.00,9.70,9.85
1,6,Isabella Delarosa,Boise State: Boise State / Air Force / Utah State / Sac State,VT,9.725,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.90,9.90,9.70,9.75
1,1,Mya Witte,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.725,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.75,9.70
1,2,Olivia Orengo,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.700,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.65,9.75
1,3,Anabelle Dewey,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.525,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.50,9.55
1,4,Chelsea Southam,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.700,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.70,9.70
1,5,Nyla Morabito,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.800,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.80,9.80
1,6,Alianna Valdez,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.775,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.75,9.80
1,7,Isabella Vater,Utah State: Boise State / Air Force / Utah State / Sac State,VT,9.675,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,10.00,10.00,9.65,9.70
1,1,Gabriella Hartley,Air Force: Boise State / Air Force / Utah State / Sac State,VT,9.525,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.90,9.90,9.55,9.50
1,2,Sarah Willis,Air Force: Boise State / Air Force / Utah State / Sac State,VT,9.675,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.65,9.70
1,3,Olivia Raife,Air Force: Boise State / Air Force / Utah State / Sac State,VT,9.650,,,,,,,1/30/2026,Boise State / Utah State / Air Force / Sac State,9.95,9.95,9.70,9.60
