Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ja' Free Scott,Georgia: Georgia / Temple / Fisk / CMU,VT,9.825,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.80,9.85
1,2,Avery Moll,Georgia: Georgia / Temple / Fisk / CMU,VT,9.825,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.80,9.85
1,3,CaMarah Williams,Georgia: Georgia / Temple / Fisk / CMU,VT,9.875,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.90,9.85
1,4,Nyla Aquino,Georgia: Georgia / Temple / Fisk / CMU,VT,9.825,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.80,9.85
1,5,Ady Wahl,Georgia: Georgia / Temple / Fisk / CMU,VT,9.800,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.80,9.80
1,6,Jaydah Battle,Georgia: Georgia / Temple / Fisk / CMU,VT,9.825,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.85,9.80
1,7,Brooke Pierson,Georgia: Georgia / Temple / Fisk / CMU,VT,9.775,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.75,9.80
1,8,Csenge Bacskay,Georgia: Georgia / Temple / Fisk / CMU,VT,9.850,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,10.00,10.00,9.80,9.90
1,1,Samantha Shannon,CMU: Georgia / Temple / Fisk / CMU,VT,9.775,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.80,9.75
1,2,Paige Hasling,CMU: Georgia / Temple / Fisk / CMU,VT,9.750,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.75,9.75
1,3,Luciana Alvarado-Reid,CMU: Georgia / Temple / Fisk / CMU,VT,9.800,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.80,9.80
1,4,Avah Bootz,CMU: Georgia / Temple / Fisk / CMU,VT,9.750,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.75,9.75
1,5,Ava Wellmeier,CMU: Georgia / Temple / Fisk / CMU,VT,9.825,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.80,9.85
1,6,Lia Kmieciak,CMU: Georgia / Temple / Fisk / CMU,VT,9.875,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.85,9.90
1,7,Alexandra Reddick,CMU: Georgia / Temple / Fisk / CMU,VT,9.800,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.85,9.75
1,1,Hailey Best,Temple: Georgia / Temple / Fisk / CMU,VT,9.525,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.55,9.50
1,2,Anjali Buradagunta,Temple: Georgia / Temple / Fisk / CMU,VT,9.500,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.50,9.50
1,3,Brooklyn Thomas,Temple: Georgia / Temple / Fisk / CMU,VT,9.675,,,,,,,1/30/2026,Georgia / CMU / Temple / Fisk,9.95,9.95,9.65,9.70
