Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Molly Osborne,UC Davis,VT,9.675,,,,,,,1/30/2026,UC Davis vs TWU,9.90,9.90,9.65,9.70
1,2,Avah Reichow,UC Davis,VT,9.725,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.75,9.70
1,3,Sierra Muns,UC Davis,VT,9.075,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.10,9.05
1,4,Chloe Gann,UC Davis,VT,9.600,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.55,9.65
1,5,Amelia Moneymaker,UC Davis,VT,9.750,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.80,9.70
1,6,Alana Kim,UC Davis,VT,9.725,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.75,9.70
1,1,Jordan Loock,TWU,VT,9.525,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.40,9.65
1,2,Sophie Hernandez,TWU,VT,9.700,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.70,9.70
1,3,Alaina Reid,TWU,VT,9.700,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.75,9.65
1,4,Maddy Murphy,TWU,VT,9.750,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.70,9.80
1,5,Kyleigh Ghanbari,TWU,VT,9.575,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.65,9.50
1,6,Sophia Isbell,TWU,VT,9.800,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.80,9.80
1,7,Juliaunna Baker,TWU,VT,9.625,,,,,,,1/30/2026,UC Davis vs TWU,9.95,9.95,9.60,9.65
2,1,Jehaan Poonja,UC Davis,UB,9.025,,,,,,,1/30/2026,UC Davis vs TWU,9.90,9.90,8.90,9.15
2,2,McKenna Knecht,UC Davis,UB,9.200,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.10,9.30
2,3,Molly Osborne,UC Davis,UB,9.825,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.80,9.85
2,4,Milla Gideon,UC Davis,UB,8.250,,,,,,,1/30/2026,UC Davis vs TWU,9.40,9.40,8.30,8.20
2,5,Amelia Moneymaker,UC Davis,UB,9.825,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.85,9.80
2,6,Adia Friesen,UC Davis,UB,9.675,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.60,9.75
2,1,Bailey Bourgeois,TWU,UB,9.700,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.65,9.75
2,2,Kami Zarlengo,TWU,UB,9.600,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.60,9.60
2,3,Juliaunna Baker,TWU,UB,9.575,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.50,9.65
2,4,Alaina Reid,TWU,UB,9.750,,,,,,,1/30/2026,UC Davis vs TWU,10.00,10.00,9.80,9.70
