Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Katelynne Tatum,West Chester,VT,9.475,,,,,,,1/31/2026,West Chester vs Cortland,9.75,9.75,9.50,9.45
1,2,Karah Vargo,West Chester,VT,9.450,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.60,9.30
1,3,Ava Griffith,West Chester,VT,9.625,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.65,9.60
1,4,Alyson Sobczak,West Chester,VT,9.575,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.60,9.55
1,5,Gianna Smith,West Chester,VT,9.625,,,,,,,1/31/2026,West Chester vs Cortland,9.80,9.80,9.65,9.60
1,6,Sarah Eskew,West Chester,VT,9.700,,,,,,,1/31/2026,West Chester vs Cortland,9.95,9.95,9.75,9.65
1,7,Corinne Gruber,West Chester,VT,9.450,,,,,,,1/31/2026,West Chester vs Cortland,9.75,9.75,9.45,9.45
1,8,Hannah Shelton,West Chester,VT,9.300,,,,,,,1/31/2026,West Chester vs Cortland,9.75,9.60,9.40,9.20
1,1,Marisa Frascatore,Cortland,VT,9.375,,,,,,,1/31/2026,West Chester vs Cortland,9.75,9.75,9.35,9.40
1,2,Tessa Sutton,Cortland,VT,9.300,,,,,,,1/31/2026,West Chester vs Cortland,9.75,9.75,9.35,9.25
1,3,Gianna Mirigliano,Cortland,VT,9.600,,,,,,,1/31/2026,West Chester vs Cortland,9.95,9.95,9.55,9.65
1,4,Kyleigh Brown,Cortland,VT,9.425,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.95,9.45,9.40
1,5,Olivia Chapman,Cortland,VT,9.425,,,,,,,1/31/2026,West Chester vs Cortland,9.95,9.95,9.55,9.30
1,6,Tayah Graham,Cortland,VT,9.675,,,,,,,1/31/2026,West Chester vs Cortland,9.95,9.95,9.60,9.75
2,1,Maddie McCullough,West Chester,UB,9.675,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.75,9.60
2,2,Karah Vargo,West Chester,UB,9.200,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.80,9.30,9.10
2,3,Grace McNamara,West Chester,UB,9.650,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.70
2,4,Gianna Smith,West Chester,UB,9.825,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.80,9.85
2,5,Melina Ringas,West Chester,UB,9.600,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.60
2,6,Sarah Eskew,West Chester,UB,9.600,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.60
2,7,Lianna Schultz,West Chester,UB,9.625,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.65
2,8,Ava Griffith,West Chester,UB,9.200,,,,,,,1/31/2026,West Chester vs Cortland,9.80,9.80,9.20,9.20
2,1,Aria Roberts,Cortland,UB,8.625,,,,,,,1/31/2026,West Chester vs Cortland,9.60,9.60,8.65,8.60
2,2,Olivia Chapman,Cortland,UB,9.000,,,,,,,1/31/2026,West Chester vs Cortland,9.80,9.80,8.90,9.10
2,3,Kyleigh Brown,Cortland,UB,8.575,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,8.40,8.75
2,4,Kiana Wong,Cortland,UB,9.600,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.60
2,5,Kathryn McSweeney,Cortland,UB,9.300,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.40,9.20
2,6,Autumn Adkins,Cortland,UB,9.575,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.55
2,7,Taylor Goldstein,Cortland,UB,8.250,,,,,,,1/31/2026,West Chester vs Cortland,9.60,9.60,8.40,8.10
3,1,Anna Lacey,West Chester,BB,9.450,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.50,9.40
3,2,Melina Ringas,West Chester,BB,9.425,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.40,9.45
3,3,EmmaGrace Kelly,West Chester,BB,9.700,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.75,9.65
3,4,Gianna Smith,West Chester,BB,9.450,,,,,,,1/31/2026,West Chester vs Cortland,9.80,10.00,9.30,9.60
3,5,Lydia Stoner,West Chester,BB,8.775,,,,,,,1/31/2026,West Chester vs Cortland,9.60,10.00,8.70,8.85
3,6,Tatum McGuinn,West Chester,BB,9.825,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.85,9.80
3,7,Macarthy Keane,West Chester,BB,9.525,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.45,9.60
3,8,Katelynne Tatum,West Chester,BB,8.775,,,,,,,1/31/2026,West Chester vs Cortland,9.50,9.50,9.00,8.55
3,1,Gianna Mirigliano,Cortland,BB,9.575,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.55,9.60
3,2,Lexi Weber,Cortland,BB,9.400,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.40,9.40
3,3,Shyann Bootman,Cortland,BB,9.725,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.70,9.75
3,4,Tayah Graham,Cortland,BB,9.075,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.00,9.15
3,5,Tessa Sutton,Cortland,BB,9.475,,,,,,,1/31/2026,West Chester vs Cortland,9.90,9.90,9.45,9.50
3,6,Samantha Meadows,Cortland,BB,9.575,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.60,9.55
3,7,Rylee Fishkin,Cortland,BB,8.450,,,,,,,1/31/2026,West Chester vs Cortland,9.40,9.70,8.20,8.70
3,8,Anna Lee Dobson,Cortland,BB,9.425,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.55,9.30
4,1,Anna Lacey,West Chester,FX,9.650,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.65,9.65
4,2,Corinne Gruber,West Chester,FX,9.725,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.75,9.70
4,3,Alyson Sobczak,West Chester,FX,9.650,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.65,9.65
4,4,Cat Keener,West Chester,FX,9.675,,,,,,,1/31/2026,West Chester vs Cortland,10.00,10.00,9.65,9.70
