Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Maliyah Pound,UW-Whitewater,VT,9.525,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.80,9.80,9.55,9.50
1,2,Danielle Dudziak,UW-Whitewater,VT,9.575,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.90,9.90,9.60,9.55
1,3,Siena Vavala,UW-Whitewater,VT,9.650,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.90,9.90,9.65,9.65
1,4,Sofia Spadafora,UW-Whitewater,VT,9.650,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.95,9.95,9.70,9.60
1,5,Juliette Rider,UW-Whitewater,VT,9.775,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.75,9.80
1,6,Gaby Hinkle,UW-Whitewater,VT,9.450,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.90,9.90,9.50,9.40
1,7,Avery Friend,UW-Whitewater,VT,9.250,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.95,9.95,9.10,9.40
1,8,Lindsey Hollifield,UW-Whitewater,VT,8.550,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.80,9.80,8.65,8.45
1,1,Malia Narciso,Gustavus,VT,9.350,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.80,9.80,9.25,9.45
1,2,Ella Nash,Gustavus,VT,9.200,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.75,9.75,9.15,9.25
1,3,Taylor Hall,Gustavus,VT,9.300,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.75,9.75,9.30,9.30
1,4,Zara Reboks,Gustavus,VT,9.200,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.75,9.75,9.20,9.20
1,5,Kate Clairmont,Gustavus,VT,9.200,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.95,9.95,9.05,9.35
1,6,Cara Wong,Gustavus,VT,9.650,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.90,9.90,9.60,9.70
2,1,Gaby Hinkle,UW-Whitewater,UB,8.450,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.80,9.80,8.40,8.50
2,2,Brianna Balian,UW-Whitewater,UB,9.600,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.50,9.70
2,3,Jane Heffernan,UW-Whitewater,UB,9.625,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.55,9.70
2,4,Elaine Copeland,UW-Whitewater,UB,9.675,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.75,9.60
2,5,Paige Magel,UW-Whitewater,UB,9.750,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.75,9.75
2,6,Ariana Goodwin,UW-Whitewater,UB,9.200,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.15,9.25
2,7,Fabiana Sadun,UW-Whitewater,UB,9.375,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.90,10.00,9.25,9.50
2,8,Gracie Talley,UW-Whitewater,UB,9.250,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,10.00,10.00,9.30,9.20
2,1,Makenna Aldrich,Gustavus,UB,8.925,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.60,9.60,8.90,8.95
2,2,Zara Reboks,Gustavus,UB,9.050,,,,,,,1/31/2026,UW-Whitewater vs Gustavus,9.80,9.80,8.90,9.20
2,3,Mariah Sikon,Gustavus,UB,8.775,,,,,Y,,1/31/2026,UW-Whitewater vs Gustavus,9.50,9.50,8.70,8.85
