Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Ja' Free Scott,Georgia,VT,9.850,,,,,,,2/1/2026,Georgia vs Auburn,9.95,9.95,9.85,9.85
1,2,Avery Moll,Georgia,VT,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.90
1,3,Jaydah Battle,Georgia,VT,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.90
1,4,CaMarah Williams,Georgia,VT,9.950,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.95,9.95
1,5,Nyla Aquino,Georgia,VT,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.90
1,6,Ady Wahl,Georgia,VT,9.800,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.85
1,1,Olivia Greaves,Auburn,VT,9.825,,,,,,Y,2/1/2026,Georgia vs Auburn,9.95,9.95,9.80,9.85
1,2,Mia Leverton,Auburn,VT,9.850,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.85
1,3,Marissa Neal,Auburn,VT,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.80
1,4,Julianne Huff,Auburn,VT,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.90
1,5,Sophia Bell,Auburn,VT,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.85
1,6,Paige Zancan,Auburn,VT,9.250,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.30,9.20
2,1,Ady Wahl,Georgia,UB,9.775,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.75
2,2,Csenge Bacskay,Georgia,UB,9.775,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.75
2,3,Kelise Woolford,Georgia,UB,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.90
2,4,Ja' Free Scott,Georgia,UB,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.85
2,5,Autumn Reingold,Georgia,UB,9.800,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.75
2,6,Lily Smith,Georgia,UB,9.950,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.95,9.95
2,1,Marissa Neal,Auburn,UB,9.700,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.70,9.70
2,2,Hannah Hagle,Auburn,UB,9.550,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.50,9.60
2,3,Charlotte Booth,Auburn,UB,9.750,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.75
2,4,Katelyn Jong,Auburn,UB,9.725,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.70
2,5,Olivia Greaves,Auburn,UB,9.700,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.65
2,6,Alex Irvine,Auburn,UB,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.80
3,1,Harley Tomlin,Georgia,BB,9.800,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.80
3,2,Brooke Gleichowski,Georgia,BB,9.850,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.85
3,3,Kelise Woolford,Georgia,BB,9.700,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.65,9.75
3,4,Lily Smith,Georgia,BB,9.600,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.70,9.50
3,5,Ja' Free Scott,Georgia,BB,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.90
3,6,CaMarah Williams,Georgia,BB,9.950,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,10.00
3,1,Olivia Ahern,Auburn,BB,9.775,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.80
3,2,Emma Wehry,Auburn,BB,9.800,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.80
3,3,Hannah Hagle,Auburn,BB,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.85
3,4,Alex Irvine,Auburn,BB,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.90
3,5,Olivia Greaves,Auburn,BB,9.800,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.80
3,6,Marissa Neal,Auburn,BB,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.95,9.85
4,1,Eryn Williams,Georgia,FX,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.90
4,2,Ady Wahl,Georgia,FX,9.900,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.90,9.90
4,3,Harley Tomlin,Georgia,FX,9.850,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.85
4,4,Nyla Aquino,Georgia,FX,9.875,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.90
4,5,CaMarah Williams,Georgia,FX,9.975,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.95,10.00
4,6,Lily Smith,Georgia,FX,9.975,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.95,10.00
4,1,Bryn Bartman,Auburn,FX,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.80,9.85
4,2,Alex Irvine,Auburn,FX,9.750,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.75,9.75
4,3,Olivia Ahern,Auburn,FX,9.675,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.65,9.70
4,4,Marissa Neal,Auburn,FX,9.825,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.80
4,5,Olivia Greaves,Auburn,FX,8.950,,,,,,,2/1/2026,Georgia vs Auburn,9.80,9.90,8.90,9.00
4,6,Sophia Bell,Auburn,FX,9.850,,,,,,,2/1/2026,Georgia vs Auburn,10.00,10.00,9.85,9.85
