Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Carl Jacob Soederqvist,Springfield,FX,12.800,4.7,8.100,,,,Y,2/1/2026,Springfield vs William & Mary,4.7,1.8,2.0
1,2,Evan Reichert,Springfield,FX,13.500,4.8,8.700,,,,Y,2/1/2026,Springfield vs William & Mary,4.8,1.3,1.3
1,3,Michael Dalton,Springfield,FX,12.800,4.4,8.400,,,,Y,2/1/2026,Springfield vs William & Mary,4.4,1.5,1.7
1,4,Will Wilson,Springfield,FX,12.900,4.9,8.000,,,,,2/1/2026,Springfield vs William & Mary,4.9,1.9,2.1
1,1,Trenton Peazant,William & Mary,FX,12.700,4.6,8.200,0.1,,Y,Y,2/1/2026,Springfield vs William & Mary,4.6,1.9,1.7
1,2,Nicholas Kosarikov,William & Mary,FX,12.550,4.5,8.050,,,,,2/1/2026,Springfield vs William & Mary,4.5,1.9,2.0
1,3,Michael Weiner,William & Mary,FX,13.300,4.5,8.800,,,,,2/1/2026,Springfield vs William & Mary,4.5,1.2,1.2
1,4,Niko Greenly,William & Mary,FX,13.600,4.7,8.900,,,,,2/1/2026,Springfield vs William & Mary,4.7,1.0,1.2
2,1,Carl Jacob Soederqvist,Springfield,PH,11.750,4.7,7.050,,,,,2/1/2026,Springfield vs William & Mary,4.7,2.8,3.1
2,2,Evan Reichert,Springfield,PH,13.350,4.2,9.150,,,,,2/1/2026,Springfield vs William & Mary,4.2,0.8,0.9
2,3,Devon Felsenstein,Springfield,PH,14.300,4.8,9.500,,,,,2/1/2026,Springfield vs William & Mary,4.8,0.5,0.5
2,4,Peyton Cramer,Springfield,PH,14.450,5.2,9.250,,,,,2/1/2026,Springfield vs William & Mary,5.2,0.7,0.8
2,1,Ricky Pizem,William & Mary,PH,13.200,4.1,9.100,,,,,2/1/2026,Springfield vs William & Mary,4.1,1.0,0.8
2,2,Nicholas Kosarikov,William & Mary,PH,11.350,4.0,7.350,,,,,2/1/2026,Springfield vs William & Mary,4.0,2.5,2.8
2,3,Sam Smith,William & Mary,PH,12.300,4.5,7.800,,,,,2/1/2026,Springfield vs William & Mary,4.5,2.0,2.4
2,4,Gavin Zborowski,William & Mary,PH,13.900,4.7,9.200,,,,,2/1/2026,Springfield vs William & Mary,4.7,0.8,0.8
3,1,Will Wilson,Springfield,SR,12.600,3.9,8.700,,,,,2/1/2026,Springfield vs William & Mary,3.9,1.2,1.4
3,2,Brian Delf,Springfield,SR,12.300,3.8,8.500,,,,,2/1/2026,Springfield vs William & Mary,3.8,1.4,1.6
3,3,Gustavin Suess,Springfield,SR,12.100,3.9,8.200,,,,Y,2/1/2026,Springfield vs William & Mary,3.9,1.8,1.8
3,4,Blaise Rousseau,Springfield,SR,13.850,4.8,9.050,,,,,2/1/2026,Springfield vs William & Mary,4.8,1.0,0.9
3,5,Carl Jacob Soederqvist,Springfield,SR,11.600,3.1,8.500,,,,,2/1/2026,Springfield vs William & Mary,3.1,1.4,1.6
3,1,Jonathan Irwin,William & Mary,SR,11.900,4.2,7.700,,,,,2/1/2026,Springfield vs William & Mary,4.2,2.4,2.2
3,2,Michael Weiner,William & Mary,SR,11.750,3.3,8.450,,,,,2/1/2026,Springfield vs William & Mary,3.3,1.4,1.7
3,3,Nicholas Kosarikov,William & Mary,SR,11.650,3.2,8.450,,,,,2/1/2026,Springfield vs William & Mary,3.2,1.6,1.5
3,4,Gavin Zborowski,William & Mary,SR,12.800,4.2,8.600,,0.1,,Y,2/1/2026,Springfield vs William & Mary,4.2,1.4,1.4
4,1,Will Wilson,Springfield,VT,13.250,4.4,8.950,0.1,,,,2/1/2026,Springfield vs William & Mary,4.4,1.0,1.1
4,2,Joshua Szitanko,Springfield,VT,13.100,4.4,8.800,0.1,,,,2/1/2026,Springfield vs William & Mary,4.4,1.2,1.2
4,3,Michael Dalton,Springfield,VT,13.350,4.4,9.050,0.1,,,,2/1/2026,Springfield vs William & Mary,4.4,1.0,0.9
4,4,Evan Reichert,Springfield,VT,13.950,4.4,9.450,,0.1,,,2/1/2026,Springfield vs William & Mary,4.4,0.6,0.5
4,5,Carl Jacob Soederqvist,Springfield,VT,13.100,3.6,9.400,,0.1,,,2/1/2026,Springfield vs William & Mary,3.6,0.6,0.6
4,1,Evan Sikra,William & Mary,VT,13.350,4.0,9.350,,,,,2/1/2026,Springfield vs William & Mary,4.0,0.7,0.6
4,2,Trenton Peazant,William & Mary,VT,13.500,4.4,9.100,,,,,2/1/2026,Springfield vs William & Mary,4.4,0.9,0.9
4,3,Ricky Pizem,William & Mary,VT,13.750,4.4,9.350,,,,,2/1/2026,Springfield vs William & Mary,4.4,0.7,0.6
4,4,Niko Greenly,William & Mary,VT,13.450,4.4,9.050,,,,,2/1/2026,Springfield vs William & Mary,4.4,1.0,0.9
4,5,Nicholas Kosarikov,William & Mary,VT,13.050,3.6,9.450,,,,,2/1/2026,Springfield vs William & Mary,3.6,0.5,0.6
5,1,Skyler Cook,Springfield,PB,12.400,4.0,8.400,,,,,2/1/2026,Springfield vs William & Mary,4.0,1.5,1.7
5,2,Brian Delf,Springfield,PB,12.100,3.8,8.300,,,,,2/1/2026,Springfield vs William & Mary,3.8,1.8,1.6
5,3,Blaise Rousseau,Springfield,PB,12.950,4.4,8.550,,,,,2/1/2026,Springfield vs William & Mary,4.4,1.5,1.4
5,4,Devon Felsenstein,Springfield,PB,12.700,3.0,9.600,,0.1,,,2/1/2026,Springfield vs William & Mary,3.0,0.4,0.4
5,5,Carl Jacob Soederqvist,Springfield,PB,10.700,3.3,7.400,,,,,2/1/2026,Springfield vs William & Mary,3.3,2.5,2.7
5,1,Will Harrington,William & Mary,PB,11.200,3.5,7.700,,,,,2/1/2026,Springfield vs William & Mary,3.5,2.2,2.4
5,2,Evan Wilkins,William & Mary,PB,12.700,4.6,8.100,,,,,2/1/2026,Springfield vs William & Mary,4.6,2.0,1.8
5,3,Nicholas Kosarikov,William & Mary,PB,12.850,4.3,8.550,,,,,2/1/2026,Springfield vs William & Mary,4.3,1.4,1.5
