Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,D,E1,E2
1,1,Brayden Erickson,Penn State,FX,13.200,4.8,8.300,,0.1,,,2/1/2026,Penn State vs Illinois,4.8,1.7,1.7
1,2,Matthew Underhill,Penn State,FX,13.300,5.0,8.300,,,,,2/1/2026,Penn State vs Illinois,5.0,1.6,1.8
1,3,Shaun Smith,Penn State,FX,13.200,5.1,8.100,,,,,2/1/2026,Penn State vs Illinois,5.1,1.8,2.0
1,4,Luke Esparo,Penn State,FX,13.150,5.1,8.350,0.3,,,,2/1/2026,Penn State vs Illinois,5.1,1.7,1.6
1,1,Vahe Petrosyan,Illinois,FX,11.250,4.7,6.650,0.1,,,,2/1/2026,Penn State vs Illinois,4.7,3.3,3.4
1,2,Preston Ngai,Illinois,FX,10.100,4.9,5.200,,,,,2/1/2026,Penn State vs Illinois,4.9,5.0,4.6
1,3,Garrett Schooley,Illinois,FX,13.400,5.1,8.300,,,,,2/1/2026,Penn State vs Illinois,5.1,1.7,1.7
1,4,Nathan Whitaker,Illinois,FX,13.600,5.2,8.300,,0.1,,,2/1/2026,Penn State vs Illinois,5.2,1.6,1.8
2,1,Kacper Garnczarek,Penn State,PH,13.300,5.0,8.300,,,,,2/1/2026,Penn State vs Illinois,5.0,1.8,1.6
2,2,Ricky Perez,Penn State,PH,13.900,5.3,8.600,,,,Y,2/1/2026,Penn State vs Illinois,5.3,1.4,1.4
2,3,Ritam Malik,Penn State,PH,12.550,4.6,7.950,,,,,2/1/2026,Penn State vs Illinois,4.6,2.2,1.9
2,4,Landon Simpson,Penn State,PH,13.600,4.7,8.900,,,,,2/1/2026,Penn State vs Illinois,4.7,1.0,1.2
2,1,Tate Costa,Illinois,PH,13.000,4.3,8.700,,,,Y,2/1/2026,Penn State vs Illinois,4.3,1.4,1.2
2,2,Sam Kaplan,Illinois,PH,12.950,5.0,7.950,,,,Y,2/1/2026,Penn State vs Illinois,5.0,2.2,1.9
2,3,Preston Ngai,Illinois,PH,12.900,5.3,7.600,,,,Y,2/1/2026,Penn State vs Illinois,5.3,2.5,2.3
2,4,Brandon Dang,Illinois,PH,13.800,5.6,8.200,,,,,2/1/2026,Penn State vs Illinois,5.6,2.0,1.6
3,1,Ritam Malik,Penn State,SR,12.150,3.7,8.450,,,,,2/1/2026,Penn State vs Illinois,3.7,1.7,1.4
3,2,Akseli Karsikas,Penn State,SR,13.650,4.8,8.750,,0.1,,,2/1/2026,Penn State vs Illinois,4.8,1.3,1.2
3,3,Matthew Underhill,Penn State,SR,13.700,5.3,8.400,,,,,2/1/2026,Penn State vs Illinois,5.3,1.6,1.6
3,4,Luke Esparo,Penn State,SR,14.100,5.4,8.700,,,,,2/1/2026,Penn State vs Illinois,5.4,1.2,1.4
3,1,Garrett Schooley,Illinois,SR,11.850,3.6,8.250,,,,,2/1/2026,Penn State vs Illinois,3.6,1.9,1.6
3,2,Logan Myers,Illinois,SR,11.700,4.5,7.200,,,,,2/1/2026,Penn State vs Illinois,4.5,2.6,3.0
3,3,Preston Ngai,Illinois,SR,12.850,4.3,8.550,,,,,2/1/2026,Penn State vs Illinois,4.3,1.5,1.4
3,4,Hasan Aydogdu,Illinois,SR,13.800,5.1,8.700,,,,,2/1/2026,Penn State vs Illinois,5.1,1.4,1.2
4,1,Kellen Ryan,Penn State,VT,13.300,4.8,8.500,,,,,2/1/2026,Penn State vs Illinois,4.8,1.6,1.4
4,2,Matthew Underhill,Penn State,VT,13.450,4.8,8.650,,,,,2/1/2026,Penn State vs Illinois,4.8,1.4,1.3
4,3,Landon Simpson,Penn State,VT,13.950,4.8,9.150,,,,,2/1/2026,Penn State vs Illinois,4.8,0.9,0.8
4,4,Shaun Smith,Penn State,VT,13.750,4.8,8.950,,,,,2/1/2026,Penn State vs Illinois,4.8,1.0,1.1
4,1,Nathan Whitaker,Illinois,VT,13.900,4.4,9.400,,0.1,,,2/1/2026,Penn State vs Illinois,4.4,0.6,0.6
4,2,Tate Costa,Illinois,VT,13.350,4.4,8.950,,,,,2/1/2026,Penn State vs Illinois,4.4,1.0,1.1
4,3,Preston Ngai,Illinois,VT,13.300,4.4,8.900,,,,,2/1/2026,Penn State vs Illinois,4.4,1.1,1.1
4,4,Garrett Schooley,Illinois,VT,14.350,5.2,9.150,,,,,2/1/2026,Penn State vs Illinois,5.2,0.8,0.9
5,1,Luke Esparo,Penn State,PB,13.550,4.8,8.650,,0.1,,,2/1/2026,Penn State vs Illinois,4.8,1.4,1.3
5,2,Kacper Garnczarek,Penn State,PB,12.900,4.9,8.000,,,,,2/1/2026,Penn State vs Illinois,4.9,2.1,1.9
5,3,Landon Simpson,Penn State,PB,13.650,4.8,8.850,,,,,2/1/2026,Penn State vs Illinois,4.8,1.1,1.2
5,4,Eliran Ioscovich,Penn State,PB,13.100,4.9,8.200,,,,,2/1/2026,Penn State vs Illinois,4.9,1.7,1.9
5,1,Nathan Whitaker,Illinois,PB,13.000,4.4,8.600,,,,Y,2/1/2026,Penn State vs Illinois,4.4,1.4,1.4
