Round,Order,Name,Team,Event,Score,Difficulty,Execution,Neutral Deduction,Stick Bonus,Inquiry,Edited,Date,Event,SV1,SV2,J1,J2
1,1,Leah Smith,Arkansas,VT,9.825,,,,,,,2/6/2026,Arkansas vs Georgia,9.95,9.95,9.85,9.80
1,2,Allison Cucci,Arkansas,VT,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
1,3,Joscelyn Roberson,Arkansas,VT,9.775,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.75
1,4,Hailey Klein,Arkansas,VT,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.80
1,5,Lauren Williams,Arkansas,VT,9.925,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.95,9.90
1,6,Morgan Price,Arkansas,VT,9.825,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.80
1,1,Ja' Free Scott,Georgia,VT,9.750,,,,,,,2/6/2026,Arkansas vs Georgia,9.95,9.95,9.75,9.75
1,2,Avery Moll,Georgia,VT,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.85
1,3,Jaydah Battle,Georgia,VT,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.80
1,4,CaMarah Williams,Georgia,VT,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
1,5,Nyla Aquino,Georgia,VT,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.90
1,6,Ady Wahl,Georgia,VT,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.80
2,1,Joscelyn Roberson,Arkansas,UB,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
2,2,Hailey Klein,Arkansas,UB,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.85
2,3,Leah Smith,Arkansas,UB,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
2,4,Avalon Campbell,Arkansas,UB,9.825,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.85
2,5,Allison Cucci,Arkansas,UB,9.725,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.70,9.75
2,6,Morgan Price,Arkansas,UB,9.950,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.95,9.95
2,1,Ady Wahl,Georgia,UB,9.850,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.80
2,2,Csenge Bacskay,Georgia,UB,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.90
2,3,Kelise Woolford,Georgia,UB,9.725,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.70,9.75
2,4,Ja' Free Scott,Georgia,UB,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
2,5,Autumn Reingold,Georgia,UB,9.850,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.85
2,6,Lily Smith,Georgia,UB,9.925,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.95,9.90
3,1,Madison Gustitus,Arkansas,BB,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.80
3,2,Hailey Klein,Arkansas,BB,9.850,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.85
3,3,Allison Cucci,Arkansas,BB,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.85
3,4,Cami Weaver,Arkansas,BB,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.75
3,5,Morgan Price,Arkansas,BB,9.875,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.90
3,6,Joscelyn Roberson,Arkansas,BB,9.950,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.95,9.95
3,1,Harley Tomlin,Georgia,BB,9.600,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,9.70,9.70,9.50
3,2,Brooke Gleichowski,Georgia,BB,9.250,,,,,,,2/6/2026,Arkansas vs Georgia,9.90,9.90,9.20,9.30
3,3,Kelise Woolford,Georgia,BB,9.825,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.85,9.80
3,4,Lily Smith,Georgia,BB,9.750,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.70
3,5,Ja' Free Scott,Georgia,BB,9.925,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.95
3,6,CaMarah Williams,Georgia,BB,9.900,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.90,9.90
4,1,Hailey Klein,Arkansas,FX,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.75,9.85
4,2,Leah Smith,Arkansas,FX,9.850,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.90
4,3,Morgan Price,Arkansas,FX,9.800,,,,,,,2/6/2026,Arkansas vs Georgia,10.00,10.00,9.80,9.80
